Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.281,0.289,0.676,0.048,0.339,4.124,9.699,4.38,1.716,1.069,0.063,0.533
1981,0.977,0.338,0.471,0.022,0.961,5.566,8.51,3.392,2.212,0.011,1.247,0.069
1982,1.716,0.648,1.573,4.384,3.234,2.542,7.482,11.515,0.719,0.883,0.271,0.341
1983,1.145,0.179,0.188,3.12,1.936,1.891,7.446,6.338,5.432,1.823,0.0,0.248
1984,0.041,0.263,0.003,0.498,0.061,1.211,5.564,8.906,4.293,0.018,0.013,0.011
1985,0.261,0.0,0.026,0.329,0.295,3.56,12.426,5.406,5.273,3.812,0.0,0.757
1986,0.934,1.34,0.229,0.125,0.381,1.642,2.979,3.933,2.193,0.112,0.005,0.495
1987,1.126,0.345,0.248,0.05,1.154,0.539,1.65,3.583,1.505,0.178,0.0,0.137
1988,0.136,0.72,1.17,0.098,0.065,2.411,8.124,12.07,4.299,0.068,0.001,0.13
1989,1.497,0.111,0.874,0.005,0.109,0.661,2.051,4.06,3.99,0.079,0.231,0.284
1990,0.001,3.78,0.236,0.153,1.476,2.509,6.656,9.228,7.778,0.034,0.606,0.072
1991,0.024,1.073,0.135,0.076,0.448,2.037,3.156,12.62,4.493,0.004,0.258,0.851
1992,0.465,0.538,0.046,0.002,0.118,0.322,3.151,6.378,3.376,1.27,0.483,0.0
1993,0.399,0.546,0.594,0.15,0.398,4.681,7.946,4.063,6.147,0.021,0.002,0.0
1994,0.805,0.899,0.014,0.629,0.252,2.364,12.561,9.857,0.46,0.003,0.001,0.007
1995,1.79,0.826,0.578,0.032,0.001,1.989,3.253,12.067,4.778,0.024,0.016,0.077
1996,0.826,2.036,0.173,0.157,0.485,5.37,6.627,11.138,5.487,0.674,0.0,0.014
1997,0.223,0.091,0.322,0.806,1.222,3.895,3.993,5.206,1.673,1.227,0.57,1.582
1998,0.016,0.434,0.643,0.429,1.02,3.689,5.406,7.748,5.443,3.71,0.328,0.0
1999,1.199,0.033,0.011,0.0,0.315,1.526,6.805,3.578,5.064,0.539,0.001,0.041
2000,0.544,0.806,0.315,0.361,1.479,5.541,6.598,7.72,1.002,0.001,0.012,0.079
2001,0.305,0.456,0.117,0.533,1.327,4.364,8.558,2.806,1.081,0.154,0.004,0.043
2002,1.146,1.428,0.102,0.415,2.6,1.642,0.442,7.172,6.898,0.089,0.001,0.985
2003,0.95,0.528,0.208,0.165,0.202,3.093,13.403,8.182,6.86,0.663,0.028,0.701
2004,0.799,0.002,0.0,2.345,0.321,3.947,5.069,7.932,1.3,2.338,0.0,0.03
2005,0.437,1.238,0.908,0.401,0.26,2.529,8.011,3.786,9.342,0.015,0.012,0.036
2006,0.061,0.005,0.93,0.142,1.593,3.208,9.314,3.242,3.284,0.394,0.028,0.154
2007,0.036,2.688,1.129,0.043,1.696,4.859,8.802,6.508,4.085,0.028,0.023,0.042
2008,0.054,0.102,0.025,0.76,2.485,5.505,10.109,8.946,6.697,0.251,0.067,0.0
2009,0.084,0.192,0.158,0.242,1.22,1.404,5.631,8.18,6.069,2.032,0.603,0.085
2010,0.208,0.892,0.039,0.085,0.239,0.405,11.904,10.044,11.757,0.162,0.722,0.294
2011,0.029,1.322,0.09,0.456,1.242,6.05,6.872,9.112,6.822,0.068,0.0,0.044
2012,0.921,0.051,0.102,0.571,0.06,0.54,6.262,10.684,3.861,0.138,0.032,0.172
2013,0.936,2.843,0.336,0.136,0.373,8.31,11.937,10.811,3.882,2.443,0.05,0.326
2014,1.084,1.936,0.719,0.379,0.967,1.233,4.685,4.718,2.733,0.386,0.001,0.802
2015,0.995,0.173,2.786,1.177,0.2,2.958,7.115,6.562,1.365,0.311,0.04,0.044
2016,0.003,0.086,0.704,0.005,1.372,2.294,10.735,5.397,1.007,0.143,0.0,0.002
2017,0.906,0.017,0.449,0.374,0.761,4.825,4.877,4.979,4.599,0.0,0.006,0.156
2018,0.097,0.091,0.037,0.68,0.406,1.771,12.133,5.975,6.045,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
