Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.651,1.246,2.468,3.77,5.599,10.501,9.4,10.641,6.756,8.629,0.676,0.0
1981,0.553,1.135,2.755,3.767,5.011,8.029,8.468,5.437,5.15,1.329,0.637,1.186
1982,0.32,1.923,0.547,7.323,2.573,10.699,5.839,5.279,4.647,0.934,1.02,0.121
1983,0.507,0.723,3.259,7.023,3.59,5.423,4.162,5.323,5.198,3.643,1.493,1.052
1984,0.255,0.248,0.075,2.035,4.658,6.353,7.105,3.335,3.56,2.98,0.02,0.381
1985,0.129,0.419,2.74,4.671,4.18,4.932,9.607,2.767,5.371,0.654,0.17,0.739
1986,0.244,0.505,0.771,3.257,1.122,4.687,4.219,3.272,3.543,4.359,1.523,0.134
1987,0.463,1.001,1.244,4.076,2.431,4.408,7.082,5.108,8.236,1.298,0.688,0.141
1988,0.066,0.859,2.836,2.009,7.439,4.182,7.545,7.177,4.861,3.343,1.728,0.377
1989,0.254,1.702,0.312,2.82,2.661,4.549,8.656,3.191,4.881,3.699,0.53,0.123
1990,0.263,2.331,1.57,6.9,5.1,7.146,8.799,3.175,6.554,2.867,0.584,0.0
1991,0.084,0.05,0.113,0.779,2.718,6.821,5.248,5.931,7.032,4.622,0.598,1.113
1992,0.184,1.385,1.313,1.729,3.505,4.537,6.111,3.747,2.577,2.57,0.285,0.701
1993,0.698,3.007,1.95,2.679,5.54,6.996,4.189,9.466,4.012,1.016,0.051,0.074
1994,0.266,0.685,3.03,2.359,3.538,7.523,3.445,5.663,2.345,1.814,0.283,0.002
1995,0.21,0.844,0.673,1.345,4.82,7.881,7.838,5.856,6.078,1.571,2.401,0.133
1996,0.155,0.446,1.821,1.125,6.226,3.226,4.369,5.052,3.41,2.542,0.153,0.0
1997,0.231,0.701,1.849,2.169,3.819,6.793,7.178,4.08,6.265,0.393,0.361,0.994
1998,0.644,0.538,2.319,1.741,3.894,5.881,5.553,6.617,2.181,3.857,0.506,0.032
1999,0.027,0.001,0.791,1.077,4.092,3.101,4.285,6.388,3.682,3.108,0.065,0.142
2000,0.46,0.152,1.227,3.046,3.91,5.099,3.702,4.076,2.807,2.3,0.49,0.124
2001,0.056,1.372,0.685,2.024,2.636,4.465,2.456,3.235,2.388,2.011,0.535,0.061
2002,0.207,0.212,1.25,3.063,3.757,4.149,6.168,5.982,3.131,1.525,1.243,1.099
2003,0.127,0.419,1.433,2.271,3.341,4.079,6.684,3.126,5.257,3.244,0.512,0.797
2004,0.115,0.27,0.748,7.651,4.706,3.777,5.009,4.643,2.933,3.844,0.05,0.14
2005,0.207,0.768,2.328,2.952,3.388,2.885,4.598,6.235,5.198,3.186,0.205,0.274
2006,0.007,1.773,0.189,2.148,5.891,5.442,3.937,2.434,2.754,0.936,0.737,0.33
2007,0.569,2.517,0.407,4.838,5.406,6.191,5.152,3.635,5.142,2.796,1.87,0.208
2008,0.72,0.488,2.12,1.844,4.564,6.261,7.959,8.026,3.297,3.166,0.117,0.096
2009,0.126,0.574,1.454,2.953,4.204,4.958,6.121,7.773,3.894,4.309,0.42,0.342
2010,0.136,0.164,4.446,7.004,6.017,10.75,8.67,4.88,6.632,4.235,0.72,0.925
2011,0.603,0.191,2.401,2.478,7.416,7.946,9.156,9.171,5.072,0.593,0.658,0.119
2012,0.454,0.192,1.345,6.037,3.422,8.777,6.857,4.364,7.125,3.743,1.361,0.333
2013,0.03,0.152,1.102,3.277,9.389,5.28,10.272,8.699,6.962,3.468,0.011,0.09
2014,0.018,0.885,0.995,0.894,7.167,9.123,4.125,7.522,6.418,1.143,0.104,0.048
2015,0.89,0.431,0.69,6.228,4.461,9.463,11.389,9.148,5.617,2.883,0.547,0.462
2016,0.39,0.752,1.536,5.85,8.442,7.194,9.287,4.93,6.587,2.703,2.229,0.164
2017,0.159,0.978,4.143,5.96,6.293,9.585,11.809,7.209,8.976,6.381,0.167,1.392
2018,0.307,0.314,1.897,3.496,6.685,11.921,11.083,9.547,3.371,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
