Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.524,0.155,0.495,0.439,0.345,14.723,16.689,12.515,18.008,1.837,0.001,0.471
1981,1.527,0.227,0.979,0.399,1.243,6.805,14.794,9.417,7.958,0.457,0.088,0.367
1982,2.842,1.766,1.23,0.469,2.328,8.472,12.863,16.318,3.532,2.447,0.228,0.0
1983,0.024,0.405,0.057,0.307,1.66,3.919,9.949,8.338,9.764,2.124,0.0,0.442
1984,1.03,0.838,0.016,0.498,0.536,6.518,13.853,14.417,2.725,0.757,0.0,0.0
1985,1.795,0.576,0.004,0.199,0.543,2.79,12.628,10.78,7.581,2.239,0.0,0.002
1986,0.609,1.972,0.754,1.109,0.723,8.168,10.222,7.991,4.063,1.103,1.442,1.119
1987,0.478,0.527,0.512,0.021,1.515,4.409,10.144,6.205,5.442,2.457,1.104,0.173
1988,0.174,0.855,0.663,0.725,0.501,8.79,9.113,8.774,4.427,0.289,0.005,0.003
1989,0.006,0.0,0.233,0.001,0.202,9.509,7.162,10.87,5.324,0.29,0.046,0.779
1990,0.0,1.314,0.311,0.591,3.716,9.728,10.01,8.561,9.308,5.073,0.214,0.001
1991,0.011,0.0,0.038,0.012,0.01,4.842,11.765,15.811,3.485,0.885,0.531,0.491
1992,0.001,0.075,0.275,0.653,1.35,3.973,10.015,11.002,7.148,0.36,0.316,0.0
1993,0.001,0.383,0.458,0.467,0.963,7.043,12.189,9.768,13.744,1.564,0.164,0.0
1994,0.473,0.274,0.012,0.518,0.48,13.595,16.874,11.187,8.489,2.14,0.27,0.0
1995,1.419,0.816,2.006,0.398,1.135,3.057,13.351,12.538,5.539,1.203,0.96,0.599
1996,1.437,0.748,0.637,0.738,0.253,5.062,13.212,12.824,3.102,1.682,0.007,0.0
1997,0.55,0.009,0.128,2.063,1.12,6.53,12.617,16.777,4.6,2.635,2.684,2.266
1998,3.172,0.292,1.112,0.618,0.528,4.263,7.944,7.457,10.373,2.244,2.103,0.0
1999,0.005,0.285,0.0,0.0,1.118,6.986,7.792,13.468,8.579,2.419,0.037,0.008
2000,0.183,0.459,0.015,0.029,2.321,7.491,7.412,3.293,4.859,0.095,0.0,0.011
2001,0.077,0.023,0.726,0.903,1.536,9.464,16.526,13.905,2.566,2.124,0.083,0.0
2002,0.77,0.448,1.089,0.136,1.098,7.117,3.302,10.686,6.107,0.897,0.017,0.035
2003,0.075,1.651,1.124,0.475,0.026,6.72,7.685,12.231,13.193,4.665,0.014,0.533
2004,1.139,0.015,1.122,1.684,1.473,10.318,9.045,12.38,4.906,1.382,0.086,0.111
2005,2.592,0.223,0.406,1.135,0.872,6.813,13.323,10.094,8.213,2.889,0.005,0.247
2006,0.0,0.0,2.33,0.536,2.495,2.623,11.493,10.093,5.447,0.985,0.286,0.033
2007,0.0,1.99,0.242,0.326,1.015,7.44,12.018,7.801,11.259,0.597,0.385,0.01
2008,0.323,0.405,1.63,0.414,0.392,10.865,11.973,8.837,8.471,0.446,0.196,0.0
2009,0.487,0.004,0.126,0.324,1.355,2.151,10.839,9.765,2.49,2.167,2.17,0.216
2010,0.129,0.144,0.007,0.403,0.793,3.646,8.893,7.803,9.143,1.667,0.287,1.161
2011,0.024,0.361,0.237,2.403,2.307,7.499,8.002,13.417,14.09,0.187,0.0,0.52
2012,2.582,0.523,0.026,0.811,0.286,3.853,13.114,14.995,6.204,0.783,1.433,0.082
2013,0.061,1.036,0.407,2.203,0.145,9.733,11.153,12.87,6.238,10.925,0.0,0.0
2014,0.363,2.41,0.979,2.151,0.688,3.708,10.902,11.122,7.277,4.186,0.0,0.641
2015,0.695,0.317,1.381,1.147,0.246,5.376,9.952,10.319,7.715,0.806,0.007,0.156
2016,0.417,0.254,0.981,0.14,3.059,3.624,10.821,12.484,8.374,1.993,0.0,0.0
2017,0.145,0.303,0.198,0.003,0.891,7.085,14.298,9.649,6.288,1.209,0.012,0.0
2018,0.0,0.579,0.049,0.796,1.076,4.955,12.547,10.022,3.701,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
