Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.042,0.237,0.096,0.006,0.091,3.613,5.363,5.517,1.869,0.056,0.017,0.47
1981,0.359,0.056,0.82,0.061,0.545,2.073,8.155,4.703,3.17,0.96,0.547,0.145
1982,1.792,0.124,0.106,2.524,0.781,0.871,7.098,11.941,0.826,0.235,1.25,0.039
1983,0.135,0.004,0.0,0.51,2.165,1.195,6.507,5.018,4.326,0.814,0.0,0.005
1984,0.503,0.023,0.0,0.002,0.0,0.698,5.701,8.179,3.296,0.006,0.0,0.004
1985,0.003,0.0,0.179,0.245,0.048,0.749,4.261,9.022,3.905,3.628,0.0,0.081
1986,0.148,1.933,0.061,0.0,0.736,1.327,14.966,7.24,0.278,0.121,0.006,0.006
1987,0.29,0.211,0.039,0.0,0.415,2.169,1.589,6.024,1.571,2.103,0.035,0.72
1988,0.283,0.0,0.072,0.077,0.083,2.503,7.705,4.863,4.239,0.418,0.006,0.001
1989,0.32,0.001,0.214,0.001,0.044,1.28,3.952,10.801,0.837,0.0,0.0,0.028
1990,0.013,0.808,0.005,0.005,0.639,3.516,5.087,6.051,5.971,0.176,0.009,0.006
1991,0.0,0.218,0.082,0.013,0.0,0.523,7.431,8.009,1.798,0.02,0.13,0.288
1992,0.091,0.045,0.126,0.0,0.373,0.426,5.315,8.356,5.114,2.656,0.149,0.0
1993,0.001,0.419,0.023,0.05,0.155,2.984,8.384,5.158,5.997,0.343,0.009,0.006
1994,0.916,0.122,0.0,0.267,0.081,3.573,9.32,6.987,3.024,0.024,0.019,0.0
1995,0.824,0.081,0.641,0.026,0.032,0.833,10.995,10.185,2.813,0.13,0.001,0.491
1996,0.466,0.216,0.205,0.029,0.093,0.995,9.492,10.77,3.215,0.555,0.002,0.0
1997,0.051,0.0,0.023,0.564,0.328,2.309,4.871,11.415,1.463,1.083,0.677,0.724
1998,0.006,0.14,0.172,0.032,0.013,1.844,8.553,2.95,4.567,0.396,0.055,0.0
1999,0.046,1.634,0.0,0.0,0.126,1.446,6.823,3.14,3.274,0.565,0.0,0.0
2000,0.002,0.042,0.004,0.0,1.607,1.56,5.569,3.564,0.967,0.145,0.001,0.028
2001,0.001,0.002,0.091,0.151,1.671,5.288,12.693,3.389,0.208,0.585,0.0,0.0
2002,0.02,1.491,0.034,0.081,0.048,1.377,1.648,7.06,2.038,0.001,0.056,0.125
2003,0.25,0.956,0.005,0.456,0.046,2.939,6.508,4.387,3.29,0.592,0.001,0.119
2004,0.235,0.0,0.0,0.028,0.273,1.412,4.8,14.533,0.782,1.017,0.025,0.001
2005,0.023,0.004,0.332,0.267,0.122,1.914,11.342,1.751,5.371,0.0,0.0,0.001
2006,0.0,0.012,0.978,0.019,0.528,3.171,8.407,13.954,2.538,0.132,0.024,0.003
2007,0.086,1.0,0.075,0.034,0.342,3.125,10.073,6.401,4.53,0.0,0.0,0.089
2008,0.0,0.0,0.102,0.524,0.676,6.772,6.298,4.489,3.695,0.012,0.323,0.005
2009,0.052,0.0,0.16,0.068,0.266,1.751,8.451,3.184,0.988,1.128,0.929,0.138
2010,0.051,0.184,0.003,0.047,0.005,1.339,6.351,10.041,3.036,0.267,2.191,0.059
2011,0.0,0.26,0.0,0.009,0.23,10.089,8.884,10.5,5.674,0.003,0.0,0.093
2012,0.047,0.0,0.0,0.533,0.55,0.932,7.229,10.597,5.776,0.001,0.0,0.0
2013,0.047,0.699,0.173,0.111,0.065,4.331,15.703,8.781,4.083,3.074,0.066,0.378
2014,1.073,0.976,0.124,0.131,0.165,0.59,9.77,10.739,3.567,0.038,0.004,0.54
2015,0.641,0.31,2.776,0.538,0.045,3.225,11.587,8.966,1.195,0.121,0.002,0.043
2016,0.104,0.003,0.024,0.0,0.332,3.085,11.059,18.773,1.679,1.176,0.0,0.0
2017,0.194,0.033,0.255,0.015,0.361,2.636,6.803,4.436,2.26,0.013,0.006,0.196
2018,0.0,0.003,0.01,0.097,0.112,2.846,7.678,6.197,6.245,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
