Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.967,0.78,1.004,0.399,0.15,2.649,12.775,4.218,2.584,0.631,0.633,1.824
1981,2.273,1.091,2.188,0.221,0.933,0.976,12.556,2.95,2.231,0.008,2.476,0.041
1982,0.842,3.006,4.609,8.144,3.589,1.383,3.551,3.836,0.173,0.065,0.714,0.385
1983,0.551,0.504,0.537,1.718,0.967,0.641,1.64,3.225,1.949,0.104,0.001,0.069
1984,0.054,1.206,0.525,0.834,0.014,1.775,5.965,6.099,3.644,0.07,0.036,0.21
1985,0.17,0.083,0.594,0.458,0.408,1.206,9.308,4.359,1.062,1.793,0.012,0.971
1986,0.068,0.994,1.007,0.165,0.812,1.787,2.968,4.165,1.46,0.369,0.296,0.389
1987,0.958,0.978,0.436,0.06,2.217,2.231,1.352,2.737,0.118,0.766,0.0,0.147
1988,0.192,0.547,0.926,0.135,0.028,0.913,6.638,4.666,7.547,0.053,0.021,0.997
1989,1.258,0.159,0.791,0.092,0.553,1.055,5.636,2.946,1.402,0.006,0.379,1.739
1990,0.096,2.217,2.083,0.487,0.245,0.813,5.834,4.434,6.726,0.052,0.164,0.121
1991,0.001,0.104,0.011,1.115,0.013,3.898,2.385,6.668,2.318,0.074,0.005,0.694
1992,0.981,1.424,0.685,0.061,0.756,1.191,3.551,6.246,3.561,0.364,0.484,0.079
1993,0.357,0.934,1.954,0.46,0.761,1.638,12.488,1.034,3.808,0.0,0.027,0.0
1994,0.736,0.984,0.143,0.416,1.109,2.061,8.24,8.821,2.483,0.098,0.007,0.312
1995,1.193,2.86,0.88,0.662,0.023,2.551,4.435,10.528,2.959,0.06,0.112,0.063
1996,1.515,2.074,0.791,0.721,0.283,7.342,3.444,8.639,3.177,0.963,0.005,0.014
1997,0.599,0.323,0.661,1.367,0.941,2.538,4.485,8.462,0.51,0.963,0.828,0.633
1998,0.015,1.11,0.552,0.315,0.186,2.027,4.714,3.757,1.997,1.182,0.003,0.0
1999,1.273,0.062,0.061,0.011,0.234,2.057,3.009,3.989,2.185,0.102,0.061,0.0
2000,1.034,0.719,0.151,0.034,0.821,4.446,7.437,1.997,1.838,0.0,0.062,0.249
2001,0.414,0.145,0.408,0.745,1.401,3.19,7.279,3.449,0.939,0.007,0.017,0.262
2002,0.152,1.199,0.532,0.283,0.55,0.964,2.406,4.32,4.571,0.092,0.001,0.258
2003,1.218,2.126,0.472,0.249,0.275,2.003,7.98,5.071,2.613,0.059,0.226,0.476
2004,1.487,0.237,0.0,1.324,1.241,2.164,2.772,8.228,0.308,1.02,0.019,0.498
2005,1.361,1.887,1.599,0.329,0.168,3.13,5.212,2.723,4.631,0.074,0.074,0.001
2006,0.383,0.127,1.646,0.041,1.047,2.373,7.581,3.336,4.193,0.827,0.333,0.465
2007,0.074,4.318,1.531,0.238,0.5,3.172,2.457,5.175,1.468,0.13,0.176,0.103
2008,0.644,0.208,0.006,1.24,3.097,9.351,5.361,10.607,5.505,0.353,0.081,0.164
2009,0.706,0.819,1.158,1.206,0.465,1.268,4.585,4.589,3.032,0.23,0.179,0.0
2010,0.246,0.502,0.049,0.035,0.209,3.246,9.599,5.092,6.738,0.122,0.04,0.786
2011,0.079,1.087,0.283,0.657,0.764,4.98,5.18,8.264,5.882,0.041,0.063,0.135
2012,0.824,0.131,0.123,1.197,0.064,0.565,4.411,4.6,4.859,0.207,0.062,0.59
2013,0.813,3.289,0.556,0.165,0.149,4.72,8.081,10.631,1.287,0.871,0.249,0.15
2014,1.372,1.185,1.381,1.473,0.866,1.482,3.048,1.987,10.176,0.311,0.161,0.429
2015,0.912,1.689,4.046,1.735,0.423,3.51,9.722,4.885,3.006,0.328,0.131,0.302
2016,0.384,0.426,1.995,0.298,2.238,3.441,7.303,5.837,1.568,0.097,0.045,0.094
2017,2.778,0.372,1.077,1.042,1.071,5.011,6.261,8.664,3.041,0.0,0.168,0.648
2018,0.517,0.985,0.348,0.918,0.595,5.82,10.152,6.83,9.153,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
