Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,1.108,1.558,3.754,7.744,14.844,19.696,17.578,22.839,7.082,3.683,0.005,0.0
1981,0.864,0.83,2.366,6.228,8.68,6.782,17.381,7.958,9.189,0.29,0.042,1.912
1982,0.066,0.414,1.231,13.639,8.168,13.714,9.185,8.665,4.414,0.498,1.513,0.013
1983,0.199,0.591,0.288,2.882,4.535,7.938,7.406,6.86,11.077,4.701,0.011,0.316
1984,0.354,0.438,0.116,4.18,7.447,10.455,15.185,4.378,11.509,1.764,0.011,0.226
1985,0.002,0.641,1.144,4.5,3.15,5.209,9.899,4.529,10.491,1.24,0.107,0.55
1986,0.053,0.119,0.213,7.287,2.227,8.052,7.163,8.042,6.386,6.719,0.984,0.12
1987,0.285,2.722,2.483,5.645,3.612,6.665,16.011,8.453,12.302,3.834,0.204,0.016
1988,0.216,0.962,2.01,5.619,17.025,12.346,13.373,12.059,6.004,2.2,2.347,0.35
1989,0.164,1.478,0.457,5.078,7.538,12.32,15.083,7.787,11.471,3.161,0.105,0.143
1990,0.105,0.575,2.646,11.514,5.275,8.017,19.736,3.512,7.505,4.762,0.028,0.0
1991,0.033,0.078,0.299,2.916,5.343,8.53,7.926,12.62,7.335,4.723,0.114,0.425
1992,0.267,0.925,1.153,3.713,7.762,10.662,10.917,11.951,6.303,1.803,0.194,0.4
1993,1.874,2.047,1.973,3.642,10.784,17.673,11.705,13.192,8.381,1.049,0.015,0.065
1994,0.523,0.796,3.153,5.009,6.397,12.036,7.548,11.347,1.729,4.152,0.175,0.001
1995,0.302,0.637,0.954,4.168,5.624,14.913,18.718,11.751,12.364,1.047,1.638,0.094
1996,0.276,0.904,1.266,1.489,13.987,6.426,11.558,7.256,4.615,3.874,0.013,0.0
1997,0.34,0.676,1.468,3.651,7.607,10.316,8.628,9.516,6.242,0.485,0.19,0.76
1998,0.046,0.415,3.057,5.911,4.307,7.853,10.137,11.249,7.28,5.99,0.208,0.005
1999,0.005,0.043,0.55,1.487,8.415,9.215,9.581,14.801,6.953,4.761,0.126,0.023
2000,0.155,0.684,0.738,8.367,11.655,13.395,9.13,12.845,5.454,1.818,0.374,0.068
2001,0.053,0.795,0.829,8.267,12.249,10.876,8.745,6.799,5.979,5.331,0.532,0.013
2002,0.352,0.213,2.372,9.585,8.259,12.526,11.17,8.311,5.271,1.151,1.632,0.34
2003,0.188,1.509,4.187,6.574,5.567,17.154,12.564,6.52,6.993,8.07,0.593,0.399
2004,0.328,0.313,0.967,18.201,6.004,8.884,16.358,4.597,4.626,10.612,0.114,0.064
2005,0.48,0.327,4.366,5.835,9.157,4.69,8.323,26.551,3.765,5.846,0.065,0.003
2006,0.002,0.674,0.496,7.213,10.162,7.815,9.289,5.689,4.072,3.563,0.565,0.255
2007,0.039,2.979,0.713,9.741,4.385,11.509,12.646,6.422,10.304,3.517,1.519,0.136
2008,1.107,0.131,4.685,5.541,4.856,13.001,10.304,9.243,3.996,3.661,0.351,0.174
2009,0.003,0.051,1.384,3.236,6.948,6.073,13.913,11.899,6.693,6.177,0.173,0.357
2010,0.0,0.008,1.844,12.118,10.787,17.628,11.012,8.4,9.54,3.82,0.108,0.109
2011,0.1,0.615,1.44,1.687,6.06,15.412,8.612,14.447,8.81,0.289,0.407,0.022
2012,0.462,0.308,0.453,8.09,6.619,21.118,14.949,6.851,6.104,3.309,0.114,0.164
2013,0.001,0.47,0.67,4.272,16.36,11.3,10.924,6.14,5.096,6.93,0.0,0.007
2014,0.058,1.032,0.399,1.019,8.317,13.48,6.158,7.98,13.645,1.905,0.007,0.004
2015,0.249,0.595,0.84,7.353,10.918,11.212,9.008,12.714,9.196,2.098,0.378,0.829
2016,0.385,0.193,1.998,15.062,11.292,10.085,13.365,2.885,3.692,2.736,0.04,0.039
2017,0.016,1.395,2.628,9.794,6.415,11.012,11.221,10.1,7.523,4.615,0.269,0.022
2018,0.019,0.614,2.352,4.602,8.774,10.137,8.63,7.755,8.446,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
