Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.011,0.052,0.721,0.602,0.884,6.542,4.423,5.097,3.322,1.558,0.785,0.287
1981,0.687,0.012,1.32,0.606,1.916,6.981,5.203,5.737,7.724,3.941,0.614,0.072
1982,0.061,0.0,0.004,1.126,1.88,4.902,6.227,2.495,5.597,2.71,1.761,0.0
1983,0.0,0.022,0.001,0.009,0.388,3.08,5.826,6.978,5.218,3.169,0.109,0.323
1984,0.038,0.485,0.257,0.066,0.12,3.326,5.985,2.57,3.639,2.433,0.342,0.049
1985,0.798,0.0,0.588,0.155,0.196,6.088,5.242,2.614,0.989,4.281,0.206,0.368
1986,1.262,0.27,0.003,0.789,0.216,4.188,2.515,4.966,1.977,0.887,1.39,0.304
1987,0.424,0.002,1.323,0.192,0.661,1.946,3.45,5.108,2.068,4.684,6.327,0.445
1988,0.0,1.062,0.023,1.239,0.089,2.202,9.969,5.619,4.517,0.615,0.094,0.737
1989,0.003,0.0,1.498,0.017,0.188,3.388,12.119,4.362,3.13,1.149,0.537,0.09
1990,0.038,0.349,0.886,0.123,5.493,3.613,3.292,6.468,3.212,3.957,0.262,0.002
1991,0.034,0.0,0.002,0.244,0.001,6.543,4.041,5.268,4.875,1.958,1.898,0.13
1992,0.096,0.006,0.0,0.181,1.237,3.202,3.376,7.361,3.074,1.894,3.355,0.004
1993,0.006,0.0,0.137,0.538,0.538,1.928,4.676,4.938,3.701,4.161,0.308,0.968
1994,0.38,0.495,0.0,0.727,0.229,2.478,5.259,5.642,1.5,7.608,2.791,0.182
1995,1.334,0.0,0.933,0.15,3.153,3.39,5.566,4.81,4.502,8.267,0.511,0.007
1996,0.047,0.174,0.021,1.309,0.336,4.534,5.193,7.94,4.442,4.748,1.05,0.223
1997,1.25,0.0,0.405,1.957,0.639,1.842,5.391,4.258,5.645,1.111,2.078,1.406
1998,0.097,0.372,0.002,0.333,0.323,2.145,5.804,6.331,5.866,6.324,0.808,0.005
1999,0.001,0.193,0.0,0.21,1.996,1.576,3.653,3.325,3.429,1.581,0.139,0.015
2000,0.0,2.004,0.01,0.05,1.555,7.129,2.905,11.371,2.405,1.158,0.358,0.082
2001,0.174,0.0,0.864,1.543,0.199,4.608,2.051,5.895,4.273,3.86,0.433,0.184
2002,0.598,0.025,0.285,0.064,1.908,3.956,2.277,6.32,0.995,4.433,0.376,0.19
2003,0.024,0.127,0.346,0.521,0.096,2.409,6.918,4.179,2.719,4.874,0.075,0.938
2004,0.891,0.15,0.469,1.613,1.527,1.352,5.864,1.943,3.872,2.812,0.177,0.001
2005,0.997,0.042,0.315,0.759,1.251,2.896,9.177,3.771,7.201,7.832,0.311,0.11
2006,0.001,0.0,1.21,1.628,2.423,3.255,4.775,5.236,6.718,3.651,2.087,0.02
2007,0.0,0.053,0.002,0.576,0.683,7.011,3.67,6.331,7.214,1.873,0.097,0.046
2008,0.008,1.539,4.617,0.255,0.461,2.049,3.782,10.617,5.382,1.633,2.052,0.004
2009,0.0,0.0,0.108,0.435,1.744,2.68,1.968,8.002,4.827,1.269,2.035,0.181
2010,0.203,0.073,0.001,0.258,2.025,2.722,9.171,5.197,5.506,2.908,1.644,0.711
2011,0.0,0.322,0.027,0.201,0.629,1.681,4.862,5.195,1.034,1.44,0.111,0.109
2012,0.348,0.0,0.045,0.549,0.548,2.673,5.309,3.805,4.189,2.68,1.714,0.0
2013,0.01,1.21,0.006,1.13,0.401,4.831,4.562,7.162,4.737,8.613,0.625,0.0
2014,0.0,0.086,0.966,0.174,1.402,0.886,3.67,5.155,3.847,2.829,0.502,0.095
2015,0.065,0.007,0.29,1.358,0.164,3.833,1.756,2.652,3.366,0.512,0.594,0.039
2016,0.046,0.025,0.006,0.045,2.422,4.804,3.532,2.776,6.264,0.924,0.002,0.086
2017,0.001,0.0,0.139,0.044,1.682,4.451,6.802,6.064,5.903,2.383,0.085,0.0
2018,0.0,0.0,0.026,0.982,0.885,3.691,3.673,4.561,2.568,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
