Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,1.402,1.197,1.039,0.488,0.152,3.274,12.261,3.797,2.781,0.465,0.684,1.602
1981,2.614,1.353,3.186,0.533,1.717,1.095,16.027,5.637,3.802,0.009,3.047,0.089
1982,0.59,4.755,5.784,10.353,5.767,2.426,4.744,4.384,0.292,0.062,0.479,0.272
1983,0.344,0.675,0.499,1.107,0.524,0.834,1.41,3.412,3.551,0.088,0.003,0.042
1984,0.042,1.312,0.421,1.07,0.032,1.504,6.076,6.8,4.686,0.025,0.031,0.131
1985,0.627,0.091,1.118,0.352,0.708,1.471,12.727,6.618,1.307,1.782,0.009,0.738
1986,0.084,0.807,1.135,0.131,0.841,2.385,2.001,3.444,1.935,0.54,0.397,0.33
1987,1.299,1.266,0.392,0.073,2.911,2.864,2.104,3.831,0.138,1.013,0.0,0.135
1988,0.257,0.796,1.349,0.098,0.033,0.725,7.226,4.173,9.447,0.061,0.011,1.114
1989,1.535,0.209,0.937,0.081,0.606,1.391,7.927,3.771,2.163,0.025,0.476,2.657
1990,0.131,2.444,2.728,0.525,0.356,0.762,6.999,5.497,8.971,0.05,0.193,0.076
1991,0.006,0.128,0.009,1.362,0.016,6.09,2.839,8.725,4.131,0.069,0.007,0.736
1992,1.122,1.727,0.887,0.054,0.875,1.632,3.83,8.206,4.513,0.416,0.501,0.068
1993,0.746,1.372,2.707,0.517,0.891,2.838,16.494,3.323,5.984,0.001,0.043,0.0
1994,0.998,1.45,0.173,0.895,1.141,3.149,11.999,12.247,2.747,0.104,0.002,0.391
1995,1.339,3.232,1.036,0.785,0.016,3.244,6.423,13.249,4.048,0.071,0.121,0.116
1996,1.72,2.748,1.08,0.69,0.69,8.757,4.865,11.773,4.58,1.193,0.019,0.02
1997,0.719,0.455,0.938,2.103,1.938,3.904,7.106,11.077,0.876,0.888,1.034,0.601
1998,0.033,1.068,0.874,0.478,0.554,2.777,7.497,7.108,2.783,2.017,0.006,0.0
1999,1.477,0.048,0.114,0.013,0.218,3.136,4.463,5.205,3.417,0.351,0.105,0.0
2000,1.309,0.935,0.345,0.076,1.085,5.566,10.306,3.641,2.92,0.001,0.059,0.283
2001,0.653,0.171,0.458,1.141,2.04,5.244,10.979,5.488,1.32,0.023,0.042,0.293
2002,0.383,1.999,0.798,0.657,0.476,1.596,3.44,6.916,6.205,0.175,0.002,0.209
2003,1.678,2.402,0.739,0.425,0.382,2.817,10.565,7.816,4.44,0.198,0.271,0.713
2004,2.153,0.279,0.003,1.72,1.501,3.466,5.176,11.62,0.544,1.34,0.011,0.498
2005,1.746,2.264,1.749,0.359,0.21,3.774,7.85,4.526,6.365,0.111,0.043,0.005
2006,0.529,0.176,2.352,0.132,1.849,2.99,10.971,5.428,5.279,0.861,0.333,0.573
2007,0.086,5.427,2.224,0.317,0.592,3.595,5.944,9.271,2.05,0.174,0.158,0.119
2008,0.811,0.353,0.029,1.649,3.557,12.911,8.872,13.756,7.164,0.571,0.118,0.176
2009,0.784,1.056,1.124,1.442,0.856,1.882,6.688,6.539,4.42,0.749,0.198,0.001
2010,0.341,0.857,0.055,0.05,0.477,4.235,14.833,8.973,10.144,0.24,0.154,0.981
2011,0.154,1.389,0.363,0.794,1.606,7.059,8.904,11.975,7.461,0.178,0.067,0.177
2012,1.155,0.205,0.257,1.576,0.065,0.888,7.514,8.012,6.153,0.127,0.101,0.75
2013,1.444,4.601,0.644,0.15,0.242,9.525,11.918,14.755,2.24,1.011,0.29,0.185
2014,2.107,2.102,1.834,1.657,1.087,2.088,4.955,4.63,11.899,0.527,0.112,0.6
2015,0.982,1.918,4.957,2.071,0.373,4.175,12.673,7.241,3.156,0.449,0.134,0.841
2016,0.859,1.23,3.933,1.205,2.944,3.773,9.026,8.368,1.923,0.144,0.01,0.102
2017,4.273,1.287,1.601,2.251,1.932,5.549,7.76,9.017,3.377,0.009,0.175,0.832
2018,0.422,1.567,0.987,1.694,1.215,5.193,10.739,11.717,10.353,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
