Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.024,0.154,0.066,0.039,0.819,1.587,3.058,3.813,3.218,3.321,13.349,1.48
1981,1.226,0.058,0.384,0.503,0.976,1.86,2.626,4.356,6.677,11.933,5.231,2.941
1982,0.103,0.0,0.004,0.083,0.141,3.259,3.137,1.779,2.962,7.051,6.515,0.145
1983,0.008,0.001,0.003,0.0,0.503,0.93,2.763,4.723,5.958,6.57,1.635,3.256
1984,0.628,6.204,0.213,0.035,0.024,0.623,3.805,0.313,5.169,3.366,12.051,1.485
1985,1.929,0.0,0.195,0.195,0.227,0.926,3.978,1.629,2.204,3.924,9.264,4.025
1986,4.727,0.596,0.015,0.035,0.088,0.597,1.064,1.485,1.772,5.72,6.204,0.596
1987,0.325,0.393,0.867,0.303,0.093,1.411,1.044,4.105,0.686,6.992,9.204,4.864
1988,0.001,0.015,0.059,0.433,0.406,0.379,3.421,6.62,3.773,1.041,6.125,3.221
1989,0.054,0.0,0.428,0.004,0.067,0.86,5.678,1.623,3.337,1.428,6.574,2.731
1990,0.066,0.152,0.372,1.741,9.16,1.286,3.05,2.324,2.131,9.951,5.146,0.047
1991,0.024,0.0,0.0,0.005,0.009,9.447,1.425,3.401,3.572,9.023,17.391,0.389
1992,0.571,0.0,0.0,0.007,0.154,0.383,3.832,4.711,1.416,3.647,13.712,0.523
1993,0.0,0.023,0.116,0.041,0.477,0.776,3.056,5.076,1.734,10.391,11.909,5.116
1994,0.089,0.708,0.0,0.056,0.493,0.621,2.114,3.968,0.545,12.839,14.902,5.241
1995,2.612,0.0,0.127,0.045,8.706,0.818,4.486,3.866,3.72,7.212,3.02,0.248
1996,0.038,0.018,0.0,0.547,0.624,10.358,1.952,2.78,3.64,14.223,4.626,8.555
1997,1.487,0.0,0.052,1.458,0.397,0.855,1.966,2.219,5.747,2.924,13.851,9.084
1998,0.047,0.01,0.001,0.092,0.227,0.639,2.011,3.978,4.811,4.058,10.878,1.217
1999,0.042,0.053,0.0,0.378,0.393,0.908,0.8,3.26,2.175,5.004,6.015,0.675
2000,0.003,3.692,0.056,0.106,1.497,2.159,3.806,6.163,3.668,4.379,5.198,3.164
2001,0.004,0.0,0.004,2.457,0.296,1.065,1.548,1.98,4.813,9.848,6.783,4.79
2002,3.864,0.028,0.019,0.007,0.624,0.506,1.137,3.686,2.417,13.46,4.68,0.575
2003,0.017,0.002,1.171,0.022,0.077,0.752,7.183,2.676,3.336,7.707,1.684,2.709
2004,0.271,0.002,0.045,0.325,6.178,0.935,2.509,0.552,5.963,10.593,7.343,0.052
2005,0.051,0.082,0.037,1.295,2.269,0.444,1.708,2.049,2.85,18.493,9.536,4.014
2006,0.037,0.0,0.901,0.708,0.729,1.764,2.338,1.66,4.253,11.184,9.138,0.687
2007,0.0,0.298,0.0,0.441,0.318,4.579,5.963,4.557,2.767,16.46,2.106,2.181
2008,0.247,0.373,2.099,0.007,0.137,0.473,2.239,3.674,2.245,9.228,9.944,0.075
2009,0.114,0.0,0.048,0.024,0.762,1.513,1.094,6.698,3.572,0.706,14.315,3.821
2010,0.293,0.0,0.001,0.093,5.201,3.186,3.514,6.236,2.689,8.374,9.144,3.347
2011,0.116,0.411,0.0,1.346,0.425,1.652,2.776,4.382,2.1,10.672,7.477,2.017
2012,0.774,0.0,0.023,0.282,0.572,1.591,2.89,2.277,2.36,8.063,2.538,3.574
2013,0.001,0.796,0.153,0.445,0.372,2.95,4.891,5.076,4.348,7.865,4.184,0.157
2014,0.006,0.207,0.068,0.013,0.747,1.308,1.963,2.77,2.567,6.279,4.318,4.407
2015,0.027,0.01,0.111,0.791,0.74,2.063,1.984,5.406,5.257,3.054,25.151,2.563
2016,0.285,0.0,0.013,0.0,4.716,3.189,2.236,1.827,1.828,1.171,0.331,4.98
2017,0.093,0.0,0.089,0.04,0.285,3.417,3.956,5.758,6.221,4.094,6.868,0.081
2018,0.005,0.213,0.405,0.136,0.41,1.28,1.099,3.44,2.611,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
