Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.059,0.056,0.172,0.15,0.937,3.462,3.304,4.613,2.961,4.362,6.579,0.651
1981,0.621,0.041,0.756,0.498,0.89,3.177,3.295,4.405,6.194,8.825,2.843,0.95
1982,0.191,0.0,0.003,0.25,0.515,3.409,4.666,1.985,4.028,5.53,5.058,0.02
1983,0.004,0.009,0.001,0.0,0.466,1.778,3.678,5.559,7.695,4.378,0.872,1.193
1984,0.213,2.996,0.187,0.046,0.107,0.786,3.933,0.673,3.08,2.786,4.897,0.392
1985,2.367,0.0,0.631,0.042,0.204,1.441,3.563,2.372,1.154,5.978,2.903,1.842
1986,3.027,0.267,0.0,0.081,0.301,1.462,1.451,2.817,1.195,3.015,4.91,0.142
1987,0.705,0.0,1.441,0.254,0.252,1.196,1.332,5.145,1.512,7.735,9.86,2.269
1988,0.0,0.16,0.055,0.419,0.228,0.89,5.573,5.358,3.809,0.403,1.99,2.361
1989,0.007,0.0,0.663,0.004,0.407,1.589,7.965,2.971,3.762,1.053,3.331,0.814
1990,0.019,0.617,0.749,1.177,7.1,1.875,2.93,3.193,2.883,6.411,2.451,0.015
1991,0.092,0.0,0.0,0.019,0.002,8.77,2.171,3.918,5.431,5.598,11.154,0.344
1992,0.279,0.004,0.0,0.023,0.352,0.889,3.579,5.185,3.117,3.972,9.965,0.103
1993,0.004,0.001,0.144,0.221,0.388,0.705,3.205,4.001,2.408,8.101,4.974,2.626
1994,0.302,0.704,0.0,0.117,0.247,0.983,4.761,4.008,1.032,12.326,12.22,2.21
1995,1.577,0.0,0.07,0.012,6.337,1.095,3.712,3.355,4.276,8.077,1.269,0.1
1996,0.022,0.101,0.0,0.531,0.44,8.986,3.303,3.784,3.296,10.784,1.788,3.101
1997,1.253,0.0,0.148,1.312,0.344,1.271,3.935,2.717,8.684,2.227,9.001,5.017
1998,0.23,0.043,0.004,0.216,0.087,1.493,2.664,4.357,6.411,6.405,5.473,0.18
1999,0.012,0.126,0.0,0.111,0.616,1.196,2.182,2.783,2.171,3.867,2.492,0.209
2000,0.0,2.85,0.006,0.057,1.646,3.945,4.008,8.28,3.912,2.638,2.55,1.342
2001,0.035,0.0,0.101,2.978,0.359,1.5,1.562,3.468,4.786,7.102,3.534,2.22
2002,2.023,0.007,0.071,0.022,0.949,1.105,1.434,4.431,1.673,10.202,2.753,0.798
2003,0.06,0.008,0.817,0.039,0.097,1.293,6.218,2.466,3.682,6.27,0.729,3.402
2004,0.292,0.012,0.069,0.67,3.501,1.316,3.169,1.206,4.983,6.291,2.916,0.004
2005,0.199,0.062,0.076,0.656,2.096,0.958,3.634,2.428,5.529,14.028,3.71,1.187
2006,0.013,0.0,0.825,0.838,1.06,2.712,2.646,1.862,4.644,13.902,6.362,0.284
2007,0.0,0.174,0.002,0.358,0.512,6.731,6.078,4.693,3.85,9.661,0.839,0.736
2008,0.013,0.992,2.667,0.012,0.224,1.307,3.627,5.383,3.507,4.681,6.964,0.018
2009,0.008,0.0,0.044,0.029,2.293,2.26,1.309,6.169,4.764,0.618,8.547,1.474
2010,0.195,0.001,0.001,0.25,5.888,3.505,5.736,5.119,6.554,6.917,6.122,2.262
2011,0.013,0.928,0.0,0.89,0.775,1.345,3.066,4.433,1.468,4.625,2.212,0.815
2012,1.051,0.0,0.051,0.277,0.855,2.056,2.952,3.06,4.704,7.936,4.001,0.751
2013,0.005,1.482,0.011,1.334,0.349,2.549,4.18,5.543,4.373,8.984,2.511,0.006
2014,0.003,0.115,0.105,0.04,1.19,0.554,3.66,2.699,3.868,4.795,4.222,2.078
2015,0.053,0.002,0.056,0.781,0.367,4.343,1.63,4.529,3.249,1.821,7.464,1.046
2016,0.113,0.005,0.001,0.0,4.664,3.986,2.102,4.552,6.067,0.856,0.123,1.413
2017,0.01,0.0,0.098,0.044,0.767,3.433,4.754,6.441,4.966,3.424,1.436,0.011
2018,0.0,0.012,0.12,0.761,0.615,2.209,2.643,3.938,1.921,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
