Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.897,1.049,1.177,1.029,0.327,3.63,15.935,8.286,1.79,0.446,0.442,0.836
1981,2.993,1.648,2.601,0.195,0.942,0.423,17.038,3.719,1.391,0.062,1.491,0.059
1982,0.961,4.535,7.011,8.658,2.909,1.156,2.802,5.326,0.291,0.302,1.44,0.859
1983,0.725,0.711,1.831,2.327,2.281,0.394,2.094,4.966,2.453,0.37,0.019,0.043
1984,0.054,1.885,1.423,0.978,0.09,1.701,9.133,8.557,5.172,0.104,0.207,0.544
1985,0.209,0.234,0.753,1.261,0.757,1.411,10.799,4.671,1.09,3.071,0.04,1.705
1986,0.121,1.923,1.472,0.865,0.736,1.535,5.746,7.54,1.621,0.587,0.69,1.032
1987,0.724,1.839,1.084,0.203,3.292,1.094,2.123,3.511,0.19,1.394,0.0,0.145
1988,0.405,0.833,1.336,0.731,0.04,1.159,8.39,5.166,8.375,0.103,0.067,1.469
1989,1.061,0.42,1.129,0.336,0.483,1.057,7.827,2.481,0.552,0.13,0.375,1.306
1990,0.369,2.826,3.927,1.091,0.377,1.1,4.903,6.735,6.692,0.134,0.062,0.407
1991,0.022,0.339,0.048,1.445,0.026,1.48,3.678,4.603,1.859,0.116,0.032,0.591
1992,1.968,1.862,2.071,0.259,1.342,0.848,3.722,7.256,5.089,0.236,0.638,0.164
1993,0.465,1.305,1.962,0.652,0.596,2.121,15.107,1.12,2.694,0.003,0.116,0.0
1994,0.957,1.023,0.422,0.764,1.952,1.727,5.504,6.444,2.985,0.344,0.005,0.906
1995,1.579,4.303,1.167,0.889,0.12,1.523,6.56,11.836,2.218,0.238,0.268,0.127
1996,1.318,2.566,1.36,0.392,0.382,8.241,4.01,11.855,1.148,1.265,0.093,0.036
1997,0.981,0.519,0.91,1.322,0.813,2.444,6.042,6.946,0.324,1.038,0.762,0.117
1998,0.035,0.695,0.291,0.501,0.165,0.865,3.151,2.752,0.621,0.758,0.0,0.0
1999,1.442,0.049,0.303,0.019,0.225,1.989,1.532,4.503,2.354,0.029,0.262,0.0
2000,1.689,0.845,0.129,0.044,0.752,1.858,4.199,4.659,2.158,0.0,0.119,0.157
2001,0.152,0.229,0.618,0.589,1.252,3.384,11.698,1.074,1.018,0.05,0.106,0.203
2002,0.102,0.631,0.546,0.419,0.275,1.32,2.526,6.29,3.747,0.172,0.047,0.226
2003,0.602,4.487,1.137,0.313,0.281,2.222,6.525,6.376,2.886,0.047,0.416,1.275
2004,1.287,0.45,0.011,1.249,0.588,2.148,5.527,6.069,0.153,1.041,0.03,0.706
2005,1.85,2.096,2.444,0.552,0.201,2.85,5.543,3.338,3.168,0.224,0.07,0.0
2006,0.752,0.351,1.562,0.062,0.748,3.191,11.17,4.608,6.68,1.654,0.435,0.862
2007,0.017,4.265,3.41,0.072,0.785,4.283,4.616,7.331,1.334,0.024,0.354,0.098
2008,1.182,0.362,0.041,1.771,1.067,6.896,10.087,12.116,2.775,0.798,0.053,0.481
2009,1.239,1.254,1.145,0.75,0.493,0.517,4.495,4.546,1.782,0.038,0.393,0.01
2010,0.239,0.852,0.127,0.105,0.87,1.389,12.517,7.154,4.682,0.282,0.069,0.798
2011,0.057,1.425,0.298,1.167,0.574,4.103,5.709,10.304,2.726,0.121,0.122,0.041
2012,1.57,0.533,0.228,1.93,0.099,0.234,5.357,4.637,4.074,0.238,0.047,0.981
2013,0.686,3.749,0.605,0.27,0.225,3.738,7.443,12.906,1.208,1.42,0.42,0.129
2014,0.885,0.509,2.109,1.906,0.942,2.939,4.647,2.411,13.962,0.372,0.226,0.075
2015,0.861,2.851,5.63,2.037,0.715,2.654,8.206,5.04,3.256,0.674,0.127,0.59
2016,0.531,0.536,2.502,0.299,2.819,3.012,11.8,9.594,2.132,0.061,0.034,0.011
2017,3.619,1.107,1.219,1.576,1.152,6.238,8.586,8.57,1.668,0.002,0.127,1.01
2018,0.464,1.549,0.48,1.416,0.63,4.161,11.838,8.297,9.145,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
