Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.163,0.266,0.298,0.096,0.359,7.488,16.723,15.732,10.84,0.374,0.007,0.686
1981,0.598,0.281,0.3,0.102,0.506,4.554,14.567,8.975,5.705,0.107,0.724,0.208
1982,2.759,1.576,1.577,0.974,0.822,3.646,10.268,10.893,5.688,0.232,0.913,0.127
1983,0.587,0.009,0.001,0.551,0.35,3.529,6.688,5.275,5.308,1.106,0.0,0.468
1984,0.31,1.071,0.003,0.161,0.042,2.212,4.285,6.627,5.673,0.674,0.418,0.054
1985,0.845,0.001,0.0,0.182,0.019,1.084,5.131,5.399,11.19,5.004,0.0,0.039
1986,0.36,1.18,0.021,0.135,0.445,1.753,8.328,3.885,2.14,0.507,0.116,1.318
1987,0.817,0.228,0.208,0.062,0.559,0.044,2.777,3.635,7.877,3.056,0.003,0.229
1988,0.268,0.295,0.314,0.28,0.089,2.936,9.752,7.836,1.056,0.524,0.0,0.469
1989,0.371,0.193,0.189,0.017,0.023,3.165,6.463,3.559,4.99,0.22,0.062,0.508
1990,0.0,1.024,0.064,0.318,0.336,3.947,14.635,4.965,5.258,0.686,0.0,0.009
1991,0.058,0.011,0.027,0.0,0.027,3.222,4.436,13.303,7.378,0.001,0.344,0.66
1992,0.184,0.166,0.006,0.008,0.29,0.79,5.685,7.532,5.532,2.132,0.052,0.0
1993,0.081,0.222,0.879,0.092,1.02,3.194,2.807,3.506,7.607,0.06,0.009,0.0
1994,0.777,0.784,0.0,0.275,0.103,3.62,10.122,7.834,2.497,0.274,0.003,0.0
1995,0.662,0.589,0.17,0.024,0.01,2.696,4.148,8.057,4.595,0.067,0.729,0.404
1996,1.586,1.088,0.029,0.256,0.041,4.904,5.83,9.499,4.231,3.154,0.0,0.0
1997,0.31,0.023,0.039,0.327,0.805,2.653,7.361,3.795,7.15,1.099,0.857,1.997
1998,0.213,0.183,0.354,0.202,0.368,1.952,9.478,12.311,3.68,0.574,0.119,0.0
1999,0.208,0.774,0.0,0.0,0.282,3.013,9.141,5.5,5.274,1.289,0.001,0.187
2000,0.152,0.028,0.029,0.099,1.244,4.016,4.643,8.149,4.254,0.013,0.0,0.055
2001,0.045,0.056,0.098,0.274,0.818,4.549,9.39,6.426,2.293,3.288,0.277,0.0
2002,0.485,0.95,0.015,0.004,1.277,1.88,3.693,7.306,6.676,1.606,0.024,0.427
2003,0.495,0.789,0.017,0.334,0.104,1.976,4.955,6.029,11.234,0.507,0.0,0.346
2004,1.096,0.0,0.001,0.457,0.516,6.759,4.473,4.662,3.784,0.251,0.003,0.048
2005,0.676,0.25,0.558,0.085,0.587,3.171,9.667,6.599,3.908,1.273,0.0,0.281
2006,0.0,0.0,0.784,0.859,0.462,2.938,9.389,3.35,1.534,1.071,0.098,0.043
2007,0.006,2.401,0.657,0.094,1.095,1.921,6.452,8.339,4.978,0.367,0.0,0.117
2008,0.05,0.229,0.004,0.243,1.388,10.163,13.52,10.619,4.39,0.231,0.035,0.001
2009,0.07,0.083,0.344,0.082,0.846,1.07,6.135,4.263,6.588,1.802,0.567,0.34
2010,0.134,0.725,0.0,0.006,0.493,0.638,7.152,5.203,4.05,0.774,0.446,0.082
2011,0.002,0.229,0.074,0.164,0.806,7.751,7.702,9.892,7.22,0.026,0.0,0.1
2012,1.261,0.171,0.155,0.454,0.006,0.394,11.545,8.274,10.403,0.042,0.0,0.0
2013,0.176,2.595,0.207,0.167,0.341,10.638,7.006,7.443,2.081,5.893,0.0,0.085
2014,1.713,1.232,0.101,0.006,0.285,1.373,7.162,4.664,3.939,2.82,0.0,0.794
2015,1.309,0.456,1.551,1.441,0.47,2.889,6.138,4.468,1.094,0.408,0.059,0.142
2016,0.358,0.113,0.658,0.0,0.958,2.506,12.198,9.541,5.186,0.645,0.0,0.0
2017,0.406,0.003,0.119,0.081,0.527,2.685,13.149,7.533,2.802,0.092,0.0,0.007
2018,0.043,0.21,0.018,0.465,0.602,2.764,11.367,11.347,4.976,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
