Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.212,0.084,0.211,1.381,0.267,14.111,16.679,8.423,28.06,1.492,0.004,0.687
1981,1.613,0.176,1.033,0.374,2.934,13.657,9.915,11.735,10.744,0.866,0.257,0.076
1982,1.564,4.048,1.257,1.046,4.405,5.487,12.325,18.679,2.619,2.739,0.305,0.0
1983,0.017,0.323,0.043,0.506,1.449,5.078,6.523,10.086,6.968,2.551,0.012,0.305
1984,1.065,0.677,0.012,0.515,0.543,6.569,14.194,10.304,2.965,0.551,0.0,0.0
1985,1.131,0.519,0.006,0.24,0.289,3.641,10.445,10.309,8.984,3.328,0.0,0.025
1986,0.882,1.283,0.299,1.278,0.697,14.112,8.502,12.265,4.795,0.728,1.731,0.516
1987,0.301,0.157,0.621,0.044,0.434,2.858,10.573,5.154,4.716,3.144,1.396,0.425
1988,0.024,0.812,0.361,0.259,0.323,5.422,3.927,6.624,4.275,0.204,0.06,0.014
1989,0.0,0.0,0.467,0.003,0.271,12.319,9.51,12.039,6.528,0.187,0.009,0.634
1990,0.015,1.202,0.55,0.76,3.991,8.936,8.277,10.758,10.468,6.897,0.182,0.0
1991,0.0,0.0,0.052,0.002,0.008,7.247,9.676,12.398,3.424,0.626,0.624,0.257
1992,0.031,0.015,0.045,0.572,1.234,3.091,10.028,14.773,6.106,0.24,0.277,0.0
1993,0.0,0.409,0.665,0.273,0.546,6.326,15.723,12.663,6.874,1.142,0.018,0.005
1994,0.092,0.652,0.044,0.448,1.832,10.76,17.189,11.884,9.602,1.455,0.163,0.0
1995,1.601,0.332,1.476,0.144,1.805,3.544,14.984,9.929,6.648,1.571,0.375,0.09
1996,0.305,0.304,0.478,0.96,0.187,3.188,10.74,10.238,3.602,1.469,0.351,0.0
1997,0.579,0.0,0.342,1.602,0.52,3.565,12.404,13.65,2.039,0.98,0.999,1.731
1998,0.559,0.666,0.614,0.433,0.665,3.549,5.505,7.57,5.831,3.327,2.116,0.0
1999,0.004,0.293,0.0,0.0,0.854,4.75,6.012,14.758,7.163,1.33,0.006,0.0
2000,0.073,1.067,0.005,0.091,1.188,10.774,10.349,4.989,2.502,0.097,0.0,0.004
2001,0.229,0.003,0.714,0.602,1.12,11.486,9.578,9.758,4.096,2.72,0.24,0.0
2002,0.705,0.156,0.452,0.112,0.687,7.492,4.079,10.036,2.361,1.098,0.019,0.004
2003,0.009,1.403,1.117,0.565,0.007,2.873,11.796,16.17,10.639,4.285,0.009,0.761
2004,1.902,0.091,0.356,0.536,0.855,8.318,9.563,5.814,7.041,0.799,0.054,0.013
2005,2.714,0.055,0.144,0.145,1.02,4.367,17.609,11.141,10.694,4.458,0.008,0.069
2006,0.0,0.0,1.359,1.197,2.387,2.708,11.703,10.626,9.161,0.268,0.353,0.005
2007,0.0,0.877,0.076,0.104,0.655,20.503,10.554,8.931,6.97,0.568,0.466,0.001
2008,0.244,0.365,0.987,0.28,0.159,7.883,6.227,7.83,11.624,0.376,0.035,0.0
2009,0.081,0.0,0.114,0.291,0.401,2.769,18.883,9.05,2.791,1.183,1.832,0.461
2010,0.422,0.2,0.08,0.4,0.573,4.93,14.946,7.547,9.681,2.111,1.193,1.821
2011,0.001,0.406,0.055,3.747,0.603,6.353,12.304,15.383,12.267,0.146,0.0,0.769
2012,0.994,0.086,0.05,0.671,0.198,8.46,19.104,15.895,7.811,0.701,0.842,0.021
2013,0.03,0.421,0.104,1.228,0.164,12.762,17.544,12.646,5.698,5.109,0.023,0.0
2014,0.039,1.981,0.642,1.002,0.266,2.964,16.533,8.107,8.669,2.543,0.007,0.087
2015,0.422,0.148,0.858,0.878,0.366,9.994,7.491,9.247,8.027,0.161,0.001,0.206
2016,0.08,0.08,0.615,0.206,1.064,5.912,11.948,7.995,11.959,2.19,0.0,0.0
2017,0.039,0.02,0.379,0.025,0.484,6.185,12.141,8.579,7.002,2.063,0.002,0.0
2018,0.0,0.704,0.175,1.461,0.98,4.875,11.098,12.872,3.139,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
