Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.031,0.009,0.099,0.143,1.276,9.774,5.903,7.871,3.911,6.762,3.338,0.44
1981,1.58,0.17,0.749,0.998,1.949,5.093,9.852,5.356,7.419,6.286,2.157,0.112
1982,0.206,0.002,0.037,1.593,0.718,4.197,7.194,5.24,5.325,3.983,3.192,0.018
1983,0.006,0.234,0.02,0.03,1.028,4.59,6.644,7.484,8.159,6.107,0.304,0.118
1984,0.474,0.454,0.11,0.36,1.759,3.761,6.916,1.86,3.584,5.441,1.476,0.163
1985,1.606,0.002,0.038,0.031,0.493,3.509,4.28,7.972,1.655,10.258,1.657,0.589
1986,1.226,0.438,0.016,0.368,1.985,2.883,2.387,9.888,4.317,3.007,4.167,0.083
1987,0.438,0.0,0.468,0.253,0.371,1.337,3.809,4.828,2.892,9.586,6.142,0.864
1988,0.011,0.233,0.032,1.834,1.934,1.198,13.731,8.468,9.539,1.932,0.325,0.772
1989,0.077,0.0,0.489,0.11,0.828,4.751,9.835,7.172,4.536,1.44,0.629,0.193
1990,0.099,2.321,1.151,0.371,8.089,4.803,2.761,6.482,3.949,5.3,1.068,0.037
1991,0.068,0.001,0.024,0.061,0.026,8.34,4.854,4.772,6.883,5.421,6.976,0.387
1992,1.832,0.135,0.001,0.042,1.252,2.485,7.843,9.181,4.641,6.528,8.119,0.002
1993,0.146,0.002,0.041,0.249,1.425,1.521,4.174,4.417,6.799,7.365,1.374,0.243
1994,0.206,0.522,0.009,0.089,0.972,2.398,8.93,4.167,2.027,11.702,10.93,0.042
1995,1.648,0.003,0.065,0.085,12.475,4.308,7.499,6.73,6.191,15.501,0.718,0.008
1996,0.32,0.375,0.033,0.231,0.388,11.46,10.089,5.178,6.737,11.435,1.275,0.821
1997,0.293,0.005,0.345,1.727,0.189,2.259,8.727,3.579,7.472,3.113,3.477,2.333
1998,0.771,1.275,0.138,0.478,0.809,3.845,4.837,10.11,11.662,13.471,5.926,0.002
1999,0.001,0.006,0.001,0.142,1.872,2.622,5.373,4.728,3.716,6.128,1.305,0.005
2000,0.004,1.368,0.008,0.996,1.024,4.301,3.094,8.432,4.85,3.394,0.463,0.078
2001,0.009,0.0,0.06,3.6,0.962,3.905,3.265,4.246,7.026,3.822,3.643,0.1
2002,0.798,0.003,0.273,0.629,0.405,3.708,1.673,5.944,2.09,7.381,1.56,0.366
2003,0.138,0.047,0.71,0.035,0.218,4.219,6.714,3.31,6.073,10.941,0.022,3.369
2004,0.332,0.129,0.012,0.342,1.814,4.132,6.298,5.64,6.193,6.535,0.193,0.018
2005,0.254,0.343,0.09,0.36,1.321,3.221,6.267,2.895,15.974,13.659,0.918,0.084
2006,0.001,0.002,0.331,2.022,1.614,4.277,4.045,8.618,8.092,15.731,2.715,0.008
2007,0.008,0.288,0.106,0.069,0.636,8.451,6.348,4.586,11.215,7.342,0.113,0.082
2008,0.077,1.83,3.149,0.11,1.657,6.434,5.328,8.866,4.349,2.136,3.283,0.145
2009,0.008,0.0,0.118,0.133,2.252,2.369,5.362,5.686,3.915,1.422,2.932,0.104
2010,0.099,0.005,0.15,0.654,5.468,5.316,9.524,8.205,8.201,14.343,5.759,4.426
2011,0.008,1.573,0.004,1.701,3.297,3.635,5.82,8.312,2.7,2.976,0.111,0.333
2012,0.6,0.001,0.167,0.486,2.177,4.506,8.248,8.515,12.315,3.784,8.073,0.033
2013,0.037,1.354,0.01,1.192,1.197,4.623,7.736,3.838,3.923,17.715,3.174,0.211
2014,0.081,0.121,0.069,0.043,4.319,1.575,5.955,5.67,3.338,4.19,1.034,0.538
2015,0.07,0.034,0.091,0.978,0.562,11.021,3.791,7.094,7.153,3.876,3.711,0.15
2016,0.157,0.066,0.212,0.015,5.975,10.433,6.859,4.506,7.895,1.743,0.469,0.271
2017,0.011,0.023,0.545,0.236,1.104,9.262,10.02,6.652,4.452,3.585,0.509,0.019
2018,0.008,0.011,0.112,1.113,2.529,5.632,9.125,9.54,3.539,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
