Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.196,0.092,0.101,0.0,0.069,17.098,7.357,3.184,0.579,0.438,0.355,0.242
1981,0.094,0.008,0.074,0.116,0.208,1.535,6.729,7.064,4.553,1.442,2.308,0.006
1982,0.024,0.001,0.007,0.369,3.433,0.103,4.329,4.217,0.539,1.345,2.633,0.0
1983,0.019,0.024,0.0,0.116,0.0,1.461,6.802,4.667,1.524,1.083,0.0,0.0
1984,0.0,0.0,0.0,0.001,0.0,0.596,2.6,3.982,6.143,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.059,0.155,0.203,2.734,2.825,1.914,1.161,0.0,0.0
1986,0.0,0.0,0.008,0.0,0.024,2.971,0.291,1.863,0.024,0.0,0.008,0.067
1987,0.014,0.09,0.048,0.0,0.005,2.407,1.833,1.996,0.005,0.047,0.182,0.053
1988,0.0,0.0,0.0,0.128,0.0,0.866,13.703,6.143,5.767,0.02,0.0,0.0
1989,0.059,0.0,0.001,0.0,0.0,3.283,4.961,3.585,1.693,0.122,0.0,0.0
1990,0.0,0.127,0.0,0.002,0.199,0.653,2.279,8.216,2.148,0.822,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.457,5.856,1.481,0.522,0.0,0.0,0.0
1992,0.088,0.0,0.0,0.0,0.0,0.859,10.36,3.487,2.476,0.337,0.01,0.0
1993,0.109,0.185,0.0,0.242,0.0,1.212,5.289,0.224,2.885,1.259,0.304,0.0
1994,0.099,0.0,0.0,0.0,0.0,1.991,17.26,3.103,6.677,0.002,0.0,0.0
1995,0.005,0.0,0.047,0.007,0.021,0.904,5.003,1.185,0.934,0.135,0.011,0.014
1996,0.244,0.0,0.0,0.592,0.001,3.602,6.351,2.152,0.343,0.977,0.003,0.0
1997,0.326,0.0,0.048,0.585,0.053,8.756,2.791,2.885,3.722,0.003,0.005,0.002
1998,0.0,0.011,0.0,0.0,0.003,4.433,3.554,3.988,2.686,2.736,0.205,0.0
1999,0.025,0.438,0.0,0.0,0.529,2.031,1.449,0.425,1.84,2.312,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.202,0.397,6.821,1.872,0.25,0.165,0.0,0.011
2001,0.0,0.0,0.0,0.107,0.184,1.845,3.919,3.879,0.88,0.247,0.0,0.005
2002,0.0,0.0,0.034,0.0,0.038,5.118,0.358,3.314,0.382,0.0,0.058,0.026
2003,0.018,0.157,0.0,0.1,0.0,4.526,12.077,7.449,0.627,0.219,0.006,0.005
2004,0.02,0.0,0.005,0.0,1.345,3.85,5.305,7.516,0.852,0.664,0.002,0.0
2005,0.0,0.0,0.0,0.001,0.157,9.049,3.375,3.214,6.928,0.001,0.005,0.0
2006,0.003,0.0,0.047,0.0,0.057,3.146,12.309,6.552,3.489,0.023,0.014,0.008
2007,0.001,0.034,0.002,0.002,0.122,5.517,9.138,16.387,5.619,0.008,0.5,0.0
2008,0.0,0.013,0.004,0.019,0.0,3.477,3.209,6.13,8.197,0.111,0.167,0.018
2009,0.0,0.0,0.31,0.0,0.004,1.2,12.391,4.663,0.16,0.098,0.08,0.001
2010,0.006,0.004,0.0,0.0,0.001,2.646,14.448,14.149,5.322,0.463,3.607,0.005
2011,0.0,0.01,0.0,0.0,0.0,0.245,10.194,8.475,7.86,0.007,0.001,0.0
2012,0.0,0.0,0.0,0.02,0.0,0.895,1.937,1.46,7.227,0.004,0.0,0.005
2013,0.087,0.016,0.0,0.892,0.0,5.228,5.722,3.933,16.442,1.354,0.0,0.0
2014,0.034,0.001,0.0,0.175,0.464,0.395,7.152,3.86,2.725,0.038,0.293,0.0
2015,0.139,0.185,0.257,0.063,0.148,9.381,8.546,0.268,3.19,0.0,0.0,0.0
2016,0.0,0.0,0.028,0.0,0.02,1.52,4.35,5.35,1.446,1.641,0.0,0.0
2017,0.004,0.0,0.0,0.0,0.164,4.938,16.808,5.358,1.285,0.061,0.0,0.11
2018,0.0,0.0,0.0,0.009,0.0,1.181,6.432,4.365,0.595,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
