Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.656,0.371,1.414,1.911,3.102,11.427,12.29,8.97,9.304,2.242,0.0,0.156
1981,1.547,1.925,0.87,0.954,3.551,7.441,15.362,8.393,8.203,0.126,0.141,0.355
1982,1.291,1.675,1.994,1.21,0.691,6.794,7.034,12.1,4.344,1.342,0.418,0.004
1983,0.026,0.706,0.136,1.151,1.404,5.174,5.466,4.827,6.696,1.555,0.0,0.546
1984,1.462,0.55,0.01,0.61,1.472,10.723,11.781,14.151,4.396,1.605,0.0,0.0
1985,0.824,0.283,0.005,0.212,1.53,5.976,10.53,7.875,6.994,3.469,0.003,0.017
1986,0.498,0.688,0.258,0.947,2.384,4.237,8.99,4.855,3.849,2.098,0.481,2.011
1987,0.334,0.628,0.282,0.583,0.965,1.623,9.86,9.513,9.355,0.267,1.907,0.171
1988,0.118,0.945,0.951,1.527,0.587,6.953,10.153,9.711,4.612,0.892,0.02,0.114
1989,0.048,0.003,0.13,0.017,2.029,6.47,7.29,6.385,4.582,2.206,0.142,0.547
1990,0.0,0.883,0.644,0.647,2.403,8.073,16.754,8.368,6.483,3.105,0.413,0.0
1991,0.235,0.0,0.87,0.066,0.247,5.08,6.536,13.727,8.96,0.772,0.144,1.84
1992,0.03,0.457,0.03,0.35,2.158,4.247,7.328,9.839,3.622,0.444,0.189,0.011
1993,0.015,0.124,0.881,1.748,1.869,7.833,6.122,7.172,11.484,1.778,0.838,0.0
1994,0.783,0.967,0.011,1.079,1.183,8.848,18.898,13.949,5.327,4.922,0.262,0.0
1995,0.735,0.935,1.026,0.199,0.914,6.138,8.867,8.051,11.766,0.809,2.826,0.968
1996,0.582,1.222,0.333,0.193,0.345,10.414,9.172,12.196,4.576,0.479,0.001,0.0
1997,0.419,0.227,0.275,1.084,0.721,10.693,11.694,14.649,4.96,1.985,1.27,1.332
1998,2.217,1.107,2.224,0.981,2.138,6.103,6.664,9.363,10.55,3.924,0.71,0.0
1999,0.0,0.025,0.003,0.0,3.3,7.371,12.85,10.409,4.914,4.525,0.028,0.0
2000,0.344,0.684,0.095,0.187,2.589,6.53,8.743,6.233,8.741,0.243,0.0,0.007
2001,0.09,0.291,0.889,0.351,1.987,12.58,11.646,6.383,2.902,2.086,0.033,0.0
2002,0.929,0.182,0.75,0.318,1.304,6.284,8.141,8.628,9.38,1.739,0.082,0.145
2003,0.053,0.88,1.174,1.203,0.775,4.125,11.736,9.276,7.859,8.347,0.214,0.448
2004,0.445,0.03,0.167,1.778,1.144,8.765,6.894,14.156,4.507,2.93,0.002,0.064
2005,0.809,1.359,0.546,0.11,0.46,4.995,9.385,6.059,5.0,1.621,0.078,0.435
2006,0.0,0.0,0.98,0.382,3.695,9.777,14.519,10.677,8.765,0.558,0.172,0.002
2007,0.001,2.334,0.805,1.229,1.648,5.159,13.76,10.152,10.794,0.571,0.243,0.0
2008,0.905,0.407,0.544,0.484,1.703,13.425,13.054,9.46,5.445,0.469,0.017,0.0
2009,0.243,0.0,0.567,0.075,3.652,3.246,9.558,8.181,9.155,2.322,0.695,0.192
2010,0.005,0.302,0.064,0.361,1.583,2.922,6.219,5.678,10.017,2.276,0.245,0.814
2011,0.336,0.114,0.137,1.313,2.226,15.471,6.93,14.54,11.785,1.588,0.012,0.05
2012,1.744,0.479,0.312,1.147,0.899,3.974,10.692,13.266,8.391,1.412,1.841,0.277
2013,0.013,0.75,0.365,1.103,2.285,8.585,7.834,8.948,7.614,10.078,0.0,0.0
2014,0.683,2.231,0.854,0.127,2.4,5.514,9.442,8.348,4.88,2.342,0.0,0.312
2015,1.007,0.067,0.698,2.203,2.255,7.779,16.39,8.862,2.927,1.112,0.0,0.205
2016,0.434,0.366,0.726,0.055,2.34,3.36,12.613,13.516,10.265,1.408,0.005,0.0
2017,0.122,0.007,0.271,0.58,2.561,5.483,23.088,9.742,6.044,3.508,0.186,0.009
2018,0.0,0.271,0.071,1.925,2.291,4.443,12.421,10.432,6.367,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
