Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.044,0.036,0.183,2.145,0.466,5.497,4.277,6.803,2.784,0.3,0.767,0.111
1981,0.634,0.006,0.719,0.398,1.687,5.417,2.484,3.861,15.86,3.572,0.571,0.044
1982,0.054,0.022,0.03,4.486,2.785,3.053,4.546,1.615,5.969,1.9,1.458,0.0
1983,0.0,0.0,0.001,0.0,0.359,3.942,4.156,4.341,9.636,0.917,0.134,0.487
1984,0.004,0.693,0.202,0.199,0.112,1.337,7.809,1.382,4.377,4.77,0.017,0.02
1985,0.077,0.0,0.211,0.412,1.788,3.345,2.97,2.324,2.035,2.875,0.247,0.01
1986,0.574,0.031,0.084,0.188,0.401,8.16,0.987,3.246,3.827,0.449,1.07,0.998
1987,0.118,0.038,0.151,0.026,1.216,5.288,2.747,6.334,2.284,5.187,2.632,0.581
1988,0.0,0.178,0.005,0.357,0.433,1.243,4.609,7.335,9.79,0.208,0.029,0.69
1989,0.0,0.0,1.285,0.174,0.483,3.386,10.67,1.831,5.922,1.331,0.07,0.408
1990,0.049,0.0,0.065,0.041,2.641,8.936,1.878,7.236,5.659,4.599,0.085,0.0
1991,0.001,0.0,0.0,0.08,0.126,8.883,4.702,1.476,2.169,1.133,0.146,0.002
1992,0.0,0.0,0.0,0.59,0.605,4.52,3.213,2.498,2.794,1.16,1.173,0.0
1993,0.016,0.013,0.403,0.561,1.873,1.172,6.453,4.64,5.191,4.02,0.073,1.438
1994,0.102,0.044,0.0,1.112,0.675,2.761,3.044,2.825,1.076,5.314,0.184,0.0
1995,1.208,0.008,0.448,0.302,1.263,5.699,4.012,2.989,4.637,5.988,0.424,0.0
1996,0.047,0.009,0.001,1.829,0.163,3.971,2.488,6.153,6.873,3.974,0.899,0.02
1997,0.2,0.0,0.444,0.408,0.536,2.969,2.615,2.131,1.519,2.507,2.674,0.794
1998,0.0,0.014,0.004,0.134,0.77,3.857,3.61,6.013,11.061,6.896,0.41,0.006
1999,0.0,0.351,0.0,0.018,1.475,3.439,2.443,1.165,2.48,2.627,0.012,0.0
2000,0.009,0.597,0.04,0.175,2.134,3.147,2.546,7.378,2.397,1.553,0.107,0.212
2001,0.043,0.0,0.103,0.791,0.515,2.146,2.119,2.423,8.311,3.732,0.117,0.006
2002,0.171,0.013,0.059,0.193,2.15,3.486,2.442,4.378,3.039,3.04,0.037,0.001
2003,0.001,0.155,0.681,1.201,0.046,1.327,1.511,4.444,2.238,1.381,0.016,0.058
2004,0.115,0.131,0.088,0.614,3.302,3.595,5.824,1.656,6.196,0.787,0.111,0.0
2005,0.149,0.001,0.28,1.094,1.518,2.846,7.105,6.265,4.269,3.041,0.019,0.001
2006,0.0,0.0,0.455,0.387,3.039,4.641,2.359,2.422,6.361,0.846,2.897,0.0
2007,0.0,0.0,0.004,0.154,0.345,4.909,2.423,5.032,7.189,0.332,0.123,0.002
2008,0.0,0.125,1.971,0.462,0.437,0.825,4.003,6.054,6.792,1.658,1.147,0.137
2009,0.0,0.0,0.224,0.321,1.603,3.321,1.796,4.134,6.899,2.865,1.316,0.073
2010,0.614,0.048,0.039,0.272,0.456,4.096,6.168,6.699,3.671,2.33,1.457,0.063
2011,0.0,0.075,0.007,0.765,0.817,1.548,4.789,4.223,1.147,3.111,0.005,0.0
2012,0.001,0.0,0.0,0.808,0.456,1.916,2.65,3.049,3.279,2.305,0.528,0.0
2013,0.034,0.276,0.006,0.745,1.245,3.469,6.318,1.55,5.784,1.927,0.254,0.036
2014,0.004,0.568,1.346,0.797,1.539,0.991,3.076,6.19,2.021,2.874,0.973,0.491
2015,0.075,0.173,0.543,1.046,1.236,1.221,0.915,2.67,5.283,1.426,0.244,0.003
2016,0.004,0.032,0.317,0.431,0.707,4.354,6.804,1.251,8.785,1.193,0.024,0.047
2017,0.0,0.0,0.41,0.138,0.497,5.565,2.204,4.596,6.032,4.4,0.006,0.096
2018,0.001,0.001,0.023,0.533,1.607,4.339,1.465,3.532,2.384,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
