Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.076,0.006,0.076,0.021,0.15,17.128,12.694,10.347,1.447,0.389,0.175,0.278
1981,0.046,0.002,0.04,0.102,0.065,9.46,17.98,10.247,6.486,2.242,0.864,0.048
1982,0.044,0.002,0.003,0.166,1.018,0.786,13.272,12.322,2.018,0.529,2.372,0.0
1983,0.0,0.005,0.0,0.047,0.0,6.972,8.88,10.495,7.442,2.451,0.0,0.0
1984,0.0,0.064,0.0,0.001,0.0,1.659,9.541,5.243,3.957,0.165,0.0,0.0
1985,0.0,0.0,0.0,0.035,0.02,1.221,5.405,4.142,0.543,1.972,0.049,0.0
1986,0.0,0.004,0.004,0.0,0.027,6.928,1.769,2.57,0.188,0.016,0.146,0.096
1987,0.015,0.075,0.016,0.002,0.037,1.379,2.498,5.26,0.093,0.431,0.067,0.095
1988,0.0,0.0,0.0,0.047,0.014,1.418,23.943,4.684,8.054,0.285,0.014,0.0
1989,0.053,0.0,0.043,0.034,0.008,3.965,9.896,4.705,0.8,0.267,0.002,0.001
1990,0.0,0.043,0.01,0.0,1.961,4.292,2.786,14.329,6.638,0.926,0.014,0.001
1991,0.0,0.0,0.0,0.0,0.002,1.677,15.006,5.267,0.732,0.002,0.011,0.02
1992,0.017,0.0,0.0,0.002,0.001,4.1,7.608,3.929,5.038,0.246,0.008,0.0
1993,0.011,0.004,0.009,0.036,0.001,1.592,10.849,4.541,8.429,2.712,0.045,0.052
1994,0.425,0.0,0.0,0.023,0.037,15.74,22.821,6.011,5.106,0.353,0.048,0.0
1995,0.091,0.005,0.032,0.015,0.021,0.449,24.906,3.008,5.117,0.561,0.009,0.009
1996,0.414,0.003,0.0,0.111,0.002,4.69,20.803,5.408,1.688,2.052,0.042,0.0
1997,0.146,0.0,0.002,0.109,0.045,17.971,6.487,9.318,3.214,0.038,0.443,0.175
1998,0.0,0.012,0.001,0.0,0.015,3.752,14.03,9.683,9.928,4.643,0.692,0.0
1999,0.0,0.087,0.0,0.0,0.144,4.46,7.074,2.169,3.487,4.832,0.0,0.0
2000,0.0,0.0,0.0,0.001,0.736,1.182,10.29,4.187,0.378,0.274,0.007,0.177
2001,0.0,0.0,0.001,0.029,1.41,10.647,10.456,7.25,0.59,1.824,0.01,0.0
2002,0.0,0.005,0.1,0.011,0.027,13.97,2.365,13.296,2.974,0.02,0.014,0.004
2003,0.01,1.437,0.0,0.019,0.0,15.299,21.233,11.311,6.595,0.696,0.001,0.003
2004,0.018,0.0,0.0,0.0,0.412,11.612,18.715,22.947,1.857,1.14,0.013,0.006
2005,0.008,0.0,0.003,0.069,0.12,30.832,14.17,8.111,13.956,0.531,0.0,0.0
2006,0.0,0.0,0.137,0.0,0.558,10.108,24.778,15.753,4.838,0.823,0.417,0.008
2007,0.017,0.126,0.0,0.261,0.013,8.545,13.203,24.12,11.609,0.007,0.169,0.0
2008,0.0,0.022,0.006,0.016,0.003,12.296,12.984,12.634,10.707,0.368,0.017,0.01
2009,0.0,0.0,0.271,0.011,0.025,2.111,30.243,6.531,3.523,1.9,0.917,0.02
2010,0.053,0.005,0.004,0.002,0.033,5.619,19.649,14.095,12.828,4.43,1.999,0.003
2011,0.0,0.001,0.001,0.004,0.005,2.261,14.153,15.475,9.112,0.39,0.0,0.0
2012,0.0,0.0,0.0,0.018,0.053,3.007,6.663,4.346,14.246,0.934,0.0,0.0
2013,0.0,0.186,0.0,0.147,0.0,23.188,20.632,9.185,10.224,1.277,0.021,0.009
2014,0.26,0.048,0.071,0.058,0.219,1.048,17.477,7.545,7.028,0.286,0.302,0.039
2015,0.064,0.029,0.492,0.343,0.121,14.987,7.094,2.144,11.765,0.429,0.056,0.0
2016,0.0,0.007,0.031,0.001,0.285,3.71,13.545,7.9,7.046,2.733,0.0,0.0
2017,0.0,0.0,0.002,0.0,0.14,7.942,14.607,10.013,3.45,1.341,0.0,0.828
2018,0.0,0.0,0.001,0.007,0.003,5.076,22.119,5.068,1.413,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
