Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.003,0.058,1.132,5.028,3.648,9.646,5.517,4.105,5.882,5.601,5.428,2.584
1981,2.94,1.347,1.729,4.153,8.715,12.228,4.068,4.322,14.111,9.705,9.784,0.813
1982,0.001,0.0,1.068,7.947,8.687,15.474,4.696,2.72,0.641,4.977,5.737,0.997
1983,0.001,0.0,0.001,0.705,2.555,3.914,1.988,3.062,4.553,1.988,2.869,6.269
1984,2.993,5.143,4.281,9.119,3.712,4.495,3.437,0.804,1.591,5.413,3.628,0.487
1985,3.092,1.755,0.505,2.204,4.765,12.565,2.383,1.423,2.793,4.561,5.574,1.746
1986,0.412,1.049,0.716,4.998,3.152,2.997,1.721,4.715,2.037,2.106,5.629,0.923
1987,0.224,0.001,0.428,3.619,5.1,4.079,1.112,8.626,4.606,11.14,6.061,9.296
1988,0.037,0.202,1.076,5.409,0.975,13.853,5.51,2.856,10.278,0.737,5.682,0.933
1989,0.103,0.001,0.82,2.723,3.234,9.476,5.82,2.611,8.075,6.928,3.039,0.699
1990,1.192,0.516,0.757,0.318,7.199,3.772,7.125,1.461,1.135,6.434,7.186,0.688
1991,0.146,0.03,0.192,0.407,1.318,22.643,6.974,3.767,0.527,9.165,3.6,0.601
1992,0.523,0.002,0.0,1.04,3.939,13.086,5.414,2.589,3.202,9.348,9.964,1.024
1993,0.011,0.144,0.518,1.725,3.695,8.657,6.907,1.198,1.15,8.154,16.414,5.105
1994,1.116,2.519,0.398,2.896,5.217,6.335,6.897,4.503,2.777,10.886,3.414,0.756
1995,0.107,0.076,0.367,2.88,6.777,3.741,2.784,1.617,1.46,5.039,6.045,0.036
1996,0.978,0.637,0.012,4.611,0.644,8.622,5.706,3.604,3.857,9.745,2.192,2.403
1997,0.035,0.135,0.645,1.918,3.387,9.652,5.755,3.363,9.34,4.119,8.318,2.634
1998,0.086,0.022,0.04,1.163,7.623,6.852,3.248,5.249,10.028,10.292,8.156,6.798
1999,0.575,1.973,0.757,3.697,8.829,9.34,3.596,1.777,1.277,11.944,4.259,0.757
2000,0.158,3.013,1.008,3.205,0.7,5.908,1.715,8.527,4.106,4.218,3.786,1.617
2001,0.885,1.156,0.11,7.408,4.731,6.82,8.158,3.929,12.525,6.053,4.905,1.671
2002,0.195,1.095,1.207,2.917,7.018,3.955,1.548,2.007,0.622,13.775,6.941,0.817
2003,0.715,3.381,2.206,1.921,2.321,6.02,3.154,2.661,0.533,14.224,4.755,0.146
2004,0.038,0.079,1.034,2.909,12.283,6.8,6.632,3.005,9.266,7.05,4.128,1.071
2005,0.358,0.128,0.891,8.76,4.895,6.879,5.94,1.043,5.199,7.082,12.816,3.415
2006,1.174,0.102,2.31,2.048,5.882,4.787,3.933,2.848,10.944,16.573,10.176,0.409
2007,0.172,0.167,0.077,3.66,2.337,3.768,3.718,2.11,4.236,6.269,4.712,1.547
2008,0.058,0.759,6.97,3.448,1.383,1.345,2.773,2.755,2.387,7.081,6.942,0.804
2009,0.2,0.0,1.835,1.027,2.277,2.437,2.164,1.611,1.784,2.288,11.51,1.856
2010,1.525,0.002,0.749,2.053,1.201,1.309,1.415,0.783,2.322,4.983,9.299,4.133
2011,0.414,1.075,0.04,1.344,0.438,1.253,0.576,0.656,0.576,7.05,5.717,2.689
2012,0.593,0.115,1.205,1.572,1.864,0.376,0.57,1.013,0.507,8.161,3.148,2.338
2013,0.507,1.098,2.35,1.972,1.366,1.751,0.964,1.386,0.954,4.347,6.007,2.103
2014,1.204,0.321,0.497,0.758,4.749,0.478,0.506,2.237,2.408,10.639,6.241,3.445
2015,0.017,0.217,1.26,4.579,4.559,1.761,0.38,0.706,2.973,5.073,15.0,7.253
2016,0.017,0.284,1.286,0.388,3.038,1.76,0.644,0.267,0.099,2.213,4.18,1.288
2017,0.749,0.067,0.894,0.271,1.461,1.538,0.662,1.379,3.38,2.636,11.306,3.306
2018,0.157,0.112,1.002,2.289,1.574,1.428,1.187,2.199,1.154,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
