Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.082,0.174,0.504,0.027,0.014,15.067,8.793,7.146,0.794,0.126,0.1,0.66
1981,0.044,0.001,0.076,0.639,0.21,4.222,12.704,10.933,5.265,1.561,0.658,0.075
1982,0.272,0.047,0.007,2.434,3.2,1.029,11.539,9.021,0.785,0.288,1.302,0.0
1983,0.001,0.002,0.0,0.051,0.012,1.759,8.146,8.049,4.309,2.974,0.0,0.0
1984,0.005,0.026,0.0,0.0,0.0,0.481,6.692,12.275,2.263,0.035,0.0,0.0
1985,0.001,0.0,0.003,0.438,0.002,0.097,8.076,4.237,0.506,5.15,0.0,0.001
1986,0.004,0.049,0.034,0.0,0.235,8.038,2.677,3.409,0.24,0.068,0.015,0.37
1987,0.023,0.517,0.122,0.0,0.713,0.856,1.495,5.824,0.055,0.301,0.099,0.266
1988,0.003,0.0,0.001,0.285,0.009,1.528,14.631,5.379,3.83,0.383,0.008,0.0
1989,0.05,0.0,0.09,0.012,0.024,3.275,7.735,7.032,0.8,0.014,0.0,0.015
1990,0.005,0.127,0.0,0.0,1.216,1.591,5.935,13.919,5.528,0.512,0.0,0.014
1991,0.0,0.002,0.0,0.0,0.002,1.241,13.401,4.104,0.406,0.009,0.01,0.004
1992,0.001,0.0,0.0,0.0,0.048,2.279,6.123,3.718,5.947,0.265,0.057,0.0
1993,0.004,0.007,0.02,0.013,0.016,0.892,15.324,3.264,4.537,0.922,0.179,0.023
1994,0.453,0.002,0.0,0.017,0.019,6.88,14.851,10.117,11.481,0.043,0.023,0.0
1995,0.111,0.002,0.192,0.045,0.087,0.646,12.481,2.96,3.212,0.349,0.053,0.091
1996,0.234,0.004,0.016,0.047,0.032,3.114,13.753,7.735,2.575,1.106,0.025,0.0
1997,0.252,0.0,0.0,0.188,0.191,20.573,7.991,9.856,2.763,0.126,0.187,0.094
1998,0.009,0.005,0.008,0.009,0.032,3.505,12.789,7.265,6.257,1.839,0.301,0.0
1999,0.0,0.246,0.0,0.0,0.111,3.768,9.218,1.122,2.379,2.426,0.0,0.0
2000,0.0,0.005,0.0,0.001,1.599,1.86,11.925,4.192,0.219,0.088,0.0,0.13
2001,0.0,0.0,0.016,0.233,1.265,5.971,6.861,4.715,0.17,1.046,0.0,0.0
2002,0.0,0.076,0.071,0.066,0.351,6.667,2.016,6.996,2.594,0.005,0.015,0.018
2003,0.078,0.837,0.0,0.007,0.011,7.037,11.831,13.047,3.232,0.576,0.0,0.003
2004,0.016,0.0,0.0,0.0,0.378,5.241,11.145,15.353,1.6,0.615,0.063,0.003
2005,0.017,0.001,0.016,0.087,0.05,14.942,9.659,5.868,12.016,0.126,0.0,0.0
2006,0.0,0.0,0.193,0.004,0.228,6.112,14.386,14.487,4.949,0.189,0.176,0.002
2007,0.017,0.101,0.0,0.072,0.231,4.589,14.209,15.865,5.051,0.002,0.068,0.0
2008,0.0,0.009,0.001,0.15,0.009,4.808,6.237,9.849,5.668,0.118,0.113,0.014
2009,0.003,0.0,1.537,0.002,0.104,0.814,15.576,5.893,1.799,0.755,0.748,0.156
2010,0.047,0.01,0.001,0.0,0.026,2.826,14.364,15.772,7.254,1.56,1.597,0.036
2011,0.0,0.0,0.0,0.002,0.003,1.052,10.492,13.019,4.855,0.045,0.0,0.0
2012,0.0,0.0,0.0,0.069,0.137,1.594,4.689,6.783,10.541,0.133,0.0,0.0
2013,0.0,0.105,0.028,0.243,0.039,9.351,17.271,7.204,8.098,1.338,0.015,0.028
2014,0.312,0.102,0.015,0.247,0.074,0.231,17.424,4.785,6.747,0.095,0.097,0.067
2015,0.273,0.185,0.483,0.596,0.143,8.013,9.581,1.794,5.809,0.05,0.007,0.0
2016,0.0,0.0,0.027,0.0,0.019,1.456,6.593,8.296,3.739,1.516,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.104,4.764,16.152,6.239,2.019,0.112,0.0,0.376
2018,0.0,0.0,0.001,0.0,0.0,1.643,11.725,6.306,1.468,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
