Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.026,0.026,0.336,0.776,1.257,8.634,9.264,6.777,7.198,6.36,1.501,0.196
1981,0.667,0.059,1.097,1.696,2.941,4.953,6.768,6.115,9.674,2.988,0.866,0.203
1982,0.057,0.019,0.139,2.08,0.645,7.063,7.625,4.841,7.506,4.896,2.573,0.083
1983,0.01,0.353,0.066,0.116,1.104,5.825,6.69,6.968,6.025,8.389,0.253,0.157
1984,0.377,0.543,0.075,1.27,2.653,5.828,6.848,3.829,3.748,4.444,0.981,0.18
1985,1.783,0.059,0.02,0.025,0.46,5.326,5.065,6.869,3.083,11.093,3.528,0.089
1986,0.807,0.89,0.035,1.43,2.602,3.7,4.839,14.11,5.628,6.454,5.978,0.092
1987,0.251,0.0,0.381,0.399,1.301,1.749,2.565,9.661,3.815,7.086,8.589,0.206
1988,0.004,0.427,0.077,2.306,2.736,1.481,8.375,6.37,9.478,3.629,0.232,0.076
1989,0.035,0.0,1.053,1.004,1.176,3.666,8.372,8.409,8.11,0.505,0.056,0.294
1990,0.039,2.614,1.374,0.73,11.494,3.417,4.777,10.04,4.332,6.041,3.821,0.026
1991,0.026,0.0,0.066,0.061,0.061,7.19,6.728,2.432,5.717,6.177,3.956,0.086
1992,0.479,0.1,0.013,0.089,1.608,3.67,9.108,8.642,4.515,6.078,7.964,0.001
1993,0.059,0.014,0.112,0.98,3.133,4.602,3.7,6.223,7.799,6.615,0.352,0.017
1994,0.035,0.127,0.017,0.584,5.059,1.309,10.319,5.291,4.166,9.11,3.768,0.001
1995,2.398,0.121,0.111,0.232,10.21,4.796,8.503,4.969,7.348,14.454,2.441,0.021
1996,0.176,1.039,0.085,0.851,0.571,14.588,3.541,8.134,6.836,9.696,1.509,0.332
1997,0.301,0.028,0.836,2.137,0.541,1.798,5.559,10.099,8.672,3.367,3.769,1.77
1998,0.75,1.533,0.207,0.503,1.476,6.855,6.983,7.332,10.011,14.574,4.991,0.0
1999,0.003,0.001,0.004,0.032,2.675,6.379,2.513,8.527,3.337,5.087,0.6,0.004
2000,0.001,1.536,0.005,0.976,2.11,5.955,2.697,7.585,7.327,2.783,0.09,0.014
2001,0.001,0.002,0.224,1.253,1.948,2.921,3.392,6.235,7.659,3.172,6.976,0.102
2002,0.757,0.009,0.125,1.451,0.873,5.573,3.649,6.188,1.625,3.811,0.534,0.009
2003,0.027,0.179,1.645,0.114,1.085,1.663,10.173,5.056,5.624,14.912,0.024,2.508
2004,0.538,0.072,0.021,2.074,0.895,6.148,9.34,3.954,5.561,5.511,0.039,0.004
2005,0.476,0.515,0.257,1.249,1.212,3.11,5.316,3.198,21.142,15.599,1.64,0.149
2006,0.0,0.004,0.657,1.722,3.059,4.921,5.748,12.24,11.535,4.316,4.014,0.011
2007,0.041,0.443,0.169,0.279,2.148,12.314,3.831,5.675,9.345,8.798,0.137,0.011
2008,0.372,4.743,2.761,0.233,0.97,4.707,6.96,7.161,7.524,1.551,0.977,0.031
2009,0.0,0.0,0.43,0.064,1.59,4.37,6.204,4.798,4.907,1.949,3.907,0.015
2010,0.167,0.074,0.141,0.343,5.957,7.166,8.457,8.798,6.048,13.35,7.024,4.771
2011,0.006,0.918,0.01,2.247,3.895,1.824,7.88,5.979,4.072,1.48,0.031,1.008
2012,0.361,0.001,0.041,1.396,1.923,3.343,8.338,7.066,10.169,3.763,8.225,0.0
2013,0.05,0.15,0.028,1.425,0.93,4.984,4.821,4.636,6.736,19.006,3.723,0.044
2014,0.271,0.024,0.174,0.257,4.145,4.109,8.779,9.002,7.468,6.928,0.453,1.062
2015,0.187,0.144,0.515,1.64,0.977,14.771,4.641,10.059,10.138,4.467,4.457,0.228
2016,0.056,0.167,0.581,0.16,6.02,9.752,9.473,7.091,9.508,2.648,0.633,0.076
2017,0.028,0.022,1.121,0.475,2.048,8.23,11.431,8.535,4.469,5.542,1.426,0.012
2018,0.01,0.004,0.301,2.725,3.154,4.495,8.333,13.292,5.919,-9999.0,-9999.0,-9999.0
2019,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2020,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2021,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
