Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.22,292.854,297.016,305.796,310.308,308.852,302.528,301.777,301.067,300.267,294.469,290.079
1981,288.867,292.887,297.927,305.007,309.644,310.931,302.438,301.861,302.718,299.348,293.232,288.768
1982,288.653,289.992,295.167,303.112,305.873,309.81,307.058,301.687,299.653,298.853,293.934,289.672
1983,287.544,289.833,297.032,301.544,307.504,310.028,306.99,302.336,301.152,297.194,292.065,289.199
1984,287.21,289.146,299.778,304.944,310.303,311.629,305.964,303.854,299.879,297.366,293.497,289.683
1985,287.814,291.757,299.88,304.891,309.657,310.815,305.629,301.906,300.562,295.477,292.428,289.446
1986,287.411,290.583,297.225,304.79,308.258,310.061,304.326,302.871,303.231,300.188,295.511,288.724
1987,289.096,292.985,298.858,304.573,305.443,311.199,309.127,307.772,305.131,300.567,294.803,290.482
1988,290.114,293.649,297.73,306.373,310.897,311.371,304.84,301.65,301.971,298.739,294.281,290.486
1989,287.247,291.505,297.679,303.362,309.054,310.047,307.2,305.08,302.838,300.013,295.443,290.374
1990,291.295,292.135,295.871,304.034,308.78,310.798,304.174,302.149,301.39,298.559,294.451,290.005
1991,288.613,293.286,298.793,303.971,310.021,310.539,309.186,303.083,300.505,297.858,293.037,290.092
1992,289.014,291.135,298.158,303.849,308.32,311.841,306.615,302.83,300.341,298.645,293.926,290.751
1993,288.986,293.695,296.305,304.196,310.025,309.786,305.799,305.583,300.743,298.777,294.417,289.694
1994,290.258,291.281,300.211,303.392,310.237,310.963,303.528,301.636,300.195,298.644,295.116,290.46
1995,287.437,292.121,297.468,303.796,309.533,311.207,306.995,301.755,300.34,298.45,293.867,290.354
1996,288.954,292.065,298.658,304.414,308.71,309.296,304.955,301.492,300.418,297.142,293.163,288.927
1997,287.939,291.872,298.057,302.739,306.988,308.013,307.401,303.66,302.981,299.418,294.696,287.947
1998,287.38,290.993,296.4,305.005,309.925,309.895,304.116,302.868,302.151,298.695,294.086,289.808
1999,287.912,292.539,298.822,305.778,309.567,310.666,307.653,303.161,302.003,299.449,294.934,290.405
2000,289.467,289.924,297.101,306.194,309.971,309.108,305.364,305.129,304.212,301.149,295.853,290.702
2001,288.358,292.721,298.534,304.217,309.882,308.632,304.531,303.798,304.718,301.155,295.789,290.546
2002,288.227,291.115,298.682,305.682,310.53,310.678,311.489,305.003,301.001,299.763,295.15,290.919
2003,287.774,291.771,297.953,305.668,308.301,310.58,305.357,303.706,301.468,298.482,293.42,289.659
2004,288.092,292.23,300.536,306.566,309.214,309.321,306.498,302.318,302.502,298.803,294.771,290.29
2005,288.165,291.549,299.478,303.468,308.135,310.911,303.596,304.579,302.865,299.21,294.26,288.979
2006,289.252,296.584,298.116,305.129,310.139,307.392,304.541,303.125,303.694,301.616,295.697,291.121
2007,289.287,292.326,296.775,306.342,309.428,309.881,305.477,303.665,303.454,298.96,295.209,289.552
2008,288.238,290.649,300.528,304.529,308.086,306.348,302.676,301.646,301.044,299.112,293.675,291.534
2009,290.004,293.2,299.27,304.521,309.902,311.052,307.584,305.685,302.289,298.117,293.443,289.781
2010,288.385,292.456,300.599,306.887,310.416,310.738,306.187,303.168,300.626,298.753,294.433,288.227
2011,286.472,291.487,297.796,303.996,310.058,308.446,303.241,301.539,300.452,298.985,295.387,289.335
2012,287.03,290.426,297.822,304.555,309.277,311.607,305.913,301.585,299.862,297.176,292.186,288.689
2013,285.994,290.399,297.638,304.561,309.578,307.695,303.522,301.443,300.492,297.474,291.247,288.318
2014,287.147,289.488,295.34,302.613,308.624,311.967,307.346,303.001,302.527,300.511,295.233,288.504
2015,286.659,292.233,295.739,301.942,308.608,309.646,305.238,303.929,303.369,300.805,295.913,289.742
2016,290.053,293.323,300.159,306.301,309.781,310.343,303.709,301.485,301.094,299.813,294.199,290.557
2017,288.8,292.518,298.305,306.605,310.205,309.533,305.096,304.131,303.214,300.639,294.109,290.455
2018,288.851,294.227,300.067,305.227,309.177,310.495,304.365,301.657,299.681,297.803,293.705,288.195
2019,287.107,290.253,296.497,305.148,308.915,311.388,305.93,302.996,301.101,297.927,295.17,287.106
2020,286.992,290.248,295.972,303.194,308.289,308.644,306.48,303.466,304.057,300.395,293.953,290.114
2021,287.793,293.831,300.618,305.001,306.079,307.889,305.906,301.792,300.775,298.599,292.483,288.233
2022,286.608,290.303,299.452,307.519,309.698,309.596,305.49,302.184,302.075,297.161,293.197,288.927
2023,287.138,293.197,298.251,303.2,306.063,307.322,304.179,302.268,301.82,299.837,294.604,290.15
