Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.224,298.17,302.402,307.322,308.631,301.186,299.727,298.638,298.471,298.593,296.854,294.061
1981,292.293,298.042,300.941,306.385,307.861,305.565,299.601,298.521,298.564,297.125,293.185,291.786
1982,294.635,295.16,300.188,305.452,306.992,304.797,300.836,298.169,298.629,298.319,296.874,296.78
1983,295.058,296.996,301.522,305.637,309.043,306.219,301.431,299.191,298.632,296.129,291.951,292.292
1984,294.484,295.555,303.104,306.732,309.304,304.12,300.706,299.237,300.432,298.806,295.428,295.671
1985,296.812,297.519,303.619,306.237,309.403,305.369,300.594,298.576,300.246,296.629,295.088,295.309
1986,295.008,297.716,303.083,307.212,308.35,304.277,300.497,298.208,299.494,299.309,297.085,295.551
1987,294.453,297.867,301.912,306.565,306.35,305.268,300.098,299.658,299.779,298.36,296.641,293.042
1988,296.989,299.133,302.217,307.093,308.993,304.742,299.965,299.409,299.243,296.522,293.865,293.345
1989,294.089,297.569,300.895,305.136,309.138,303.159,300.164,298.929,299.394,300.035,298.423,293.891
1990,295.806,297.707,301.163,306.098,306.393,301.754,299.816,299.095,298.45,297.513,295.325,294.149
1991,294.646,298.99,303.274,306.342,309.568,303.739,299.935,298.498,300.356,300.202,296.555,294.149
1992,294.584,296.67,302.675,306.883,309.167,306.197,301.91,298.828,298.024,297.732,295.477,293.444
1993,295.663,297.007,299.299,306.227,308.984,304.085,299.865,298.699,298.245,297.324,293.614,291.147
1994,294.52,296.257,303.597,304.865,308.802,302.578,298.898,298.054,297.298,296.881,294.72,292.25
1995,291.718,297.666,301.685,305.631,308.179,306.365,300.382,299.43,298.927,297.588,295.326,295.639
1996,296.854,298.218,303.75,306.113,308.195,306.695,300.87,299.015,298.927,296.919,294.689,292.644
1997,292.373,295.939,302.508,304.29,307.521,304.038,300.567,299.804,298.974,298.432,297.474,293.691
1998,293.733,295.923,301.039,307.505,310.083,305.445,300.778,299.487,298.89,297.784,294.347,291.407
1999,292.248,298.614,302.875,307.113,307.878,302.852,300.221,298.74,298.247,296.529,293.573,291.346
2000,294.055,295.853,300.077,307.205,306.983,302.49,299.758,299.429,299.086,299.985,297.663,294.914
2001,294.739,298.203,302.221,306.151,308.414,301.431,300.262,298.809,300.111,297.236,295.242,293.794
2002,293.68,298.68,302.529,306.492,308.894,304.167,301.057,298.652,298.386,298.545,296.805,296.364
2003,295.621,298.664,301.566,307.133,308.342,304.02,299.771,298.74,298.347,296.881,295.484,292.971
2004,294.081,297.025,303.782,306.806,307.197,304.255,300.797,298.897,299.69,297.237,296.138,294.564
2005,294.838,296.906,301.947,305.354,308.49,306.169,299.807,298.955,299.077,296.741,292.84,291.921
2006,294.217,299.647,299.646,305.905,307.649,303.351,299.632,298.347,298.893,297.877,295.188,294.01
2007,294.834,298.334,302.329,306.706,308.847,303.437,300.499,299.131,298.962,295.889,294.758,294.584
2008,294.243,296.468,302.818,306.342,307.799,302.559,300.764,299.465,298.647,297.358,295.787,295.504
2009,296.858,299.428,302.871,306.627,307.832,306.33,299.711,299.512,299.832,297.619,295.205,293.909
2010,293.016,299.61,303.818,307.072,309.299,304.882,299.718,299.112,298.562,297.565,296.524,292.289
2011,292.647,297.293,302.246,305.684,308.465,303.246,300.064,299.263,298.57,297.24,295.645,294.31
2012,294.358,297.441,301.482,306.698,308.547,303.877,299.216,298.863,298.792,297.122,294.726,294.247
2013,294.594,298.178,302.16,306.454,309.387,301.239,298.509,298.322,298.757,297.615,293.894,292.879
2014,294.343,296.628,299.919,306.344,308.392,307.479,301.354,299.679,298.705,298.551,297.192,293.451
2015,292.886,298.073,300.258,303.93,308.548,303.349,300.885,299.005,299.001,299.366,297.913,296.136
2016,295.245,299.92,303.198,307.89,308.779,305.025,299.312,298.761,298.517,296.396,293.416,292.705
2017,294.187,298.691,302.202,306.551,309.599,303.161,300.506,299.515,299.51,298.322,295.339,294.333
2018,294.458,298.297,302.938,306.749,309.653,303.017,299.071,298.551,298.449,298.829,297.792,293.156
2019,292.927,297.235,301.932,307.256,308.835,307.202,300.698,298.88,298.726,297.29,294.53,292.44
2020,292.109,296.036,300.624,306.429,308.897,301.988,300.494,299.246,299.586,298.086,294.123,292.554
2021,295.47,297.316,302.507,306.119,306.774,301.611,300.626,299.581,299.004,297.235,294.667,291.947
2022,291.706,295.705,303.243,307.723,308.789,304.09,298.96,298.818,298.87,296.707,292.959,293.873
2023,293.998,297.883,301.216,303.669,306.395,306.035,300.543,299.146,299.219,297.275,295.312,292.89
