Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.13,293.935,299.827,306.829,311.06,306.112,302.098,301.707,300.277,297.482,293.074,289.356
1981,289.065,293.178,298.772,305.187,309.525,309.773,302.293,301.527,300.799,296.9,292.521,289.364
1982,290.256,290.372,296.0,304.477,307.986,308.498,307.016,301.939,299.828,298.248,293.641,290.198
1983,288.918,291.953,299.072,303.009,309.225,309.528,305.7,303.099,301.616,297.638,292.434,290.831
1984,289.57,290.666,299.988,306.421,310.354,307.538,304.663,303.424,299.579,297.61,293.543,290.779
1985,290.02,292.624,301.211,306.292,310.232,310.824,304.882,302.949,301.007,296.208,292.324,289.82
1986,288.617,292.049,299.095,305.992,308.241,309.956,302.86,302.326,301.765,300.16,296.127,291.067
1987,289.682,294.346,299.571,305.727,308.067,312.459,307.811,305.287,300.994,297.642,293.829,290.303
1988,290.672,294.671,299.785,306.96,310.845,309.578,303.209,302.009,302.87,299.903,296.161,292.214
1989,288.572,293.336,299.054,304.929,309.386,308.88,304.058,303.057,302.416,300.189,296.141,291.237
1990,292.081,294.058,298.418,305.139,309.876,309.184,302.336,301.453,300.799,298.013,294.107,290.777
1991,289.962,295.388,301.048,305.535,310.978,307.756,306.555,301.873,300.291,297.015,293.379,290.575
1992,290.067,292.309,300.212,306.062,308.895,310.968,305.8,302.396,300.378,297.708,294.448,291.011
1993,290.432,294.672,297.488,305.234,309.76,309.699,306.274,305.716,300.39,298.724,295.324,290.673
1994,292.098,292.176,301.054,305.189,310.285,309.041,303.859,301.929,299.703,298.032,295.75,291.276
1995,288.939,293.463,299.368,305.853,310.121,310.627,305.838,302.193,300.53,299.913,294.842,291.867
1996,290.278,293.031,300.877,305.494,310.247,308.808,303.859,301.305,301.071,296.933,293.004,288.927
1997,289.043,292.303,299.755,303.677,308.346,309.158,303.676,301.683,300.364,298.192,295.724,289.396
1998,288.517,292.995,297.025,305.797,310.383,309.945,303.486,302.091,301.082,299.245,294.746,290.3
1999,289.454,294.205,300.146,306.759,309.995,307.961,304.614,302.011,300.549,297.905,294.432,290.723
2000,290.382,292.266,298.896,306.6,309.947,307.342,304.771,303.332,300.521,299.826,295.798,290.681
2001,289.587,294.223,299.813,305.131,309.683,306.52,302.876,302.196,300.765,298.517,294.608,289.928
2002,289.301,293.197,300.311,306.674,309.627,309.202,307.73,302.573,300.01,298.018,294.775,290.868
2003,288.249,293.182,299.022,306.55,308.869,310.444,304.981,302.77,300.772,296.88,292.4,289.692
2004,288.363,292.138,301.227,307.017,309.964,306.721,303.655,302.619,302.236,299.454,295.059,291.077
2005,290.05,294.123,300.866,304.782,308.562,310.925,302.656,302.112,300.815,298.921,293.497,289.417
2006,290.069,296.758,298.639,305.247,309.77,308.099,303.675,302.428,302.996,301.269,296.245,292.285
2007,290.575,293.23,297.606,306.707,308.788,309.812,304.672,302.118,301.111,297.717,294.551,290.252
2008,290.17,292.0,301.1,305.433,308.735,304.785,301.422,301.451,300.653,298.412,293.243,290.707
2009,290.681,293.995,300.109,305.467,309.207,310.868,305.645,304.433,301.651,297.879,294.019,290.828
2010,288.937,293.41,301.652,307.723,310.711,311.41,305.624,302.811,301.273,299.991,296.487,290.083
2011,288.563,293.976,300.207,305.055,310.224,307.533,302.62,301.497,300.698,297.68,293.438,289.02
2012,288.209,291.754,298.388,305.695,309.781,311.963,304.046,301.751,300.321,297.059,291.892,288.957
2013,287.881,292.442,298.822,305.452,309.889,306.51,302.384,301.713,301.451,297.933,291.556,289.075
2014,288.294,290.803,297.186,305.411,309.709,311.533,305.065,303.085,302.052,299.645,294.392,288.683
2015,288.155,293.916,297.66,303.422,310.019,310.259,303.562,302.777,303.3,301.782,298.029,291.399
2016,290.934,295.48,301.225,307.877,310.265,309.762,302.949,301.673,300.83,297.383,291.171,288.254
2017,289.298,293.424,299.452,307.464,310.886,309.958,302.342,301.819,301.395,300.191,294.709,291.125
2018,289.64,295.355,301.395,306.211,309.741,310.282,304.783,301.915,300.491,298.544,294.605,289.259
2019,288.877,293.368,298.723,306.276,310.125,311.209,304.161,302.238,300.8,297.245,293.299,286.962
2020,286.451,289.69,297.277,303.891,307.664,304.376,302.227,301.991,301.301,299.657,294.189,290.205
2021,290.581,294.841,301.875,305.678,305.576,304.288,302.98,301.762,301.295,297.984,291.86,288.768
2022,287.27,291.554,300.926,308.18,309.483,308.867,304.439,301.919,300.869,297.587,292.659,289.27
2023,288.523,294.149,299.294,303.302,306.644,309.323,304.074,301.97,301.85,299.292,296.025,290.706
