Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,287.404,292.04,295.945,304.927,309.18,308.664,303.232,302.402,302.719,300.693,294.799,289.589
1981,287.92,291.733,296.618,304.317,308.68,310.325,302.387,301.536,302.775,299.362,292.695,288.635
1982,287.619,288.757,293.899,301.462,303.044,307.693,306.45,301.461,300.854,299.696,294.265,289.363
1983,287.013,289.325,295.979,299.836,306.118,309.096,306.483,302.163,301.49,297.78,292.318,288.928
1984,286.43,288.289,299.104,303.774,309.626,310.574,305.312,304.044,300.173,297.258,293.452,289.299
1985,287.212,291.54,299.146,303.759,308.577,309.992,304.892,301.669,301.443,296.324,293.111,289.386
1986,286.822,289.42,296.379,303.801,307.171,309.496,305.056,303.003,303.232,299.652,294.931,287.758
1987,288.189,291.812,297.649,303.459,304.538,310.155,309.52,307.379,304.626,300.965,294.87,289.695
1988,289.545,292.894,296.649,305.409,310.265,310.463,304.323,301.821,302.17,298.496,294.016,290.233
1989,286.58,290.211,296.637,302.376,308.087,309.191,306.75,305.066,302.55,299.848,295.138,289.238
1990,290.627,291.047,294.688,303.01,308.445,309.793,303.901,301.922,300.898,297.989,294.027,289.406
1991,287.841,291.903,297.588,302.856,308.801,309.173,308.47,303.317,300.295,297.799,292.929,289.841
1992,288.434,290.17,297.016,302.531,307.356,310.577,305.736,302.19,299.759,298.534,293.347,290.837
1993,288.843,293.287,295.09,303.28,309.234,308.889,303.81,304.093,301.099,299.384,295.082,290.313
1994,289.54,290.706,299.372,302.127,309.053,310.127,303.728,301.138,299.428,297.95,294.607,289.962
1995,286.483,291.249,295.8,302.508,308.524,310.501,306.75,301.157,299.793,298.515,293.555,290.01
1996,288.14,291.606,298.34,303.642,307.418,308.096,305.022,301.531,300.022,297.202,292.758,289.087
1997,287.32,291.132,296.82,301.123,305.747,307.524,306.5,302.841,302.499,297.578,292.899,286.883
1998,286.669,289.866,295.122,304.346,309.092,308.316,304.122,303.606,302.166,298.277,293.402,290.025
1999,287.494,291.89,298.089,304.967,308.452,309.439,307.719,304.931,304.13,299.928,295.52,290.212
2000,288.841,288.665,296.065,305.374,309.051,308.596,304.786,304.348,304.306,301.507,295.436,290.588
2001,287.757,292.103,297.589,303.127,308.845,307.49,304.396,303.364,304.022,300.909,295.135,290.44
2002,287.637,290.435,298.073,305.022,309.516,309.735,310.284,305.274,302.332,300.398,295.211,290.639
2003,287.492,290.565,296.737,304.6,307.493,309.425,303.327,302.435,301.705,298.427,293.403,289.403
2004,287.641,292.058,299.965,305.436,307.754,308.48,307.214,301.627,301.803,298.163,294.533,290.059
2005,287.087,290.014,297.925,302.489,307.158,309.759,303.575,304.758,302.625,298.748,294.253,288.746
2006,288.579,296.258,296.995,304.268,308.96,306.058,304.716,302.719,302.904,301.102,295.233,290.008
2007,288.58,291.274,295.684,305.392,308.137,308.954,305.041,302.964,302.568,298.764,295.262,288.804
2008,287.165,289.872,299.794,303.063,306.716,305.546,303.527,302.009,301.547,299.639,294.269,291.672
2009,289.425,292.374,298.277,303.403,308.842,309.519,306.785,304.97,302.135,298.874,293.732,289.687
2010,288.366,291.896,300.18,306.213,309.577,309.584,305.315,301.993,299.597,298.087,293.714,287.466
2011,285.817,290.484,296.898,302.577,309.125,308.046,303.978,301.669,299.847,298.527,295.091,289.088
2012,286.349,289.863,296.996,303.218,307.997,310.587,306.051,301.716,299.375,297.366,292.275,288.449
2013,285.849,289.523,296.846,303.337,308.394,307.212,303.836,300.969,300.306,297.539,292.119,288.653
2014,286.976,288.84,294.965,302.127,307.13,310.661,306.683,302.741,301.584,299.669,294.986,288.119
2015,286.287,291.502,294.767,301.055,308.105,308.087,304.317,303.287,302.807,300.485,295.067,289.337
2016,289.411,291.965,298.67,305.032,309.066,309.643,303.569,300.962,301.282,299.677,294.616,291.327
2017,287.893,291.537,297.287,305.419,308.801,307.788,304.525,303.782,302.624,300.246,293.856,289.926
2018,288.51,293.201,298.979,303.963,308.449,309.371,304.049,301.654,299.554,298.376,293.86,288.078
2019,286.639,289.488,295.231,304.135,307.495,310.335,305.845,302.522,301.514,298.643,294.706,286.233
2020,286.273,290.083,294.509,302.113,307.214,308.022,306.322,303.1,302.909,299.417,293.218,289.447
2021,286.982,293.054,299.533,303.418,305.316,307.083,305.316,301.458,300.098,297.976,292.501,287.595
2022,286.011,289.697,299.076,306.698,308.96,308.553,304.637,302.257,302.28,297.306,293.545,288.942
2023,286.484,293.124,297.159,301.796,304.998,305.892,303.96,302.73,302.249,299.469,294.172,289.69
