Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.622,298.332,302.738,307.885,309.613,301.665,299.885,298.771,298.716,298.375,296.213,293.722
1981,292.002,297.842,300.643,306.849,308.2,306.253,299.511,298.467,298.818,297.044,293.144,291.816
1982,294.102,294.921,299.93,305.6,307.61,305.179,301.008,298.041,298.856,298.137,296.45,296.239
1983,294.828,296.535,301.884,306.098,309.608,306.464,301.304,299.291,298.778,296.159,291.717,291.807
1984,293.975,295.316,303.158,307.167,310.218,304.615,300.782,298.753,299.941,298.968,295.648,295.626
1985,296.4,297.574,303.925,306.804,310.184,305.847,300.46,298.395,299.383,295.884,293.888,294.448
1986,294.304,296.671,302.745,307.775,308.932,305.075,300.169,298.385,299.359,298.737,296.727,295.207
1987,293.693,297.486,301.732,306.867,306.837,306.044,300.117,299.87,299.71,298.215,296.381,292.975
1988,296.732,299.247,302.5,307.242,310.21,305.594,300.05,299.511,299.459,296.697,294.112,293.72
1989,294.235,297.872,301.059,305.553,309.958,304.109,300.289,299.441,299.57,300.021,298.109,293.496
1990,295.302,297.605,301.024,306.565,306.496,301.995,299.417,299.412,298.514,297.478,294.906,293.549
1991,294.358,299.026,303.692,306.742,310.424,304.137,300.362,298.361,299.568,299.347,296.108,294.039
1992,294.354,296.872,303.209,307.389,309.676,307.221,302.091,298.721,298.059,297.716,295.553,293.604
1993,295.715,297.095,299.365,306.705,309.462,304.905,300.065,298.88,298.398,297.394,293.719,291.297
1994,294.484,295.757,303.761,305.462,309.673,303.234,298.903,298.071,297.447,296.84,294.715,292.245
1995,291.535,297.377,301.391,305.803,308.62,306.785,300.413,299.332,299.063,297.242,294.846,295.187
1996,296.592,297.959,303.836,305.828,309.029,307.423,301.16,298.964,299.235,296.854,294.721,292.693
1997,292.587,296.289,302.802,304.623,307.919,304.223,300.675,299.778,299.039,297.771,296.866,292.875
1998,292.858,295.116,300.415,307.577,310.386,306.306,300.799,299.694,299.291,298.025,294.255,291.669
1999,292.569,298.425,303.092,307.789,308.809,303.589,300.333,298.92,298.432,296.622,293.697,291.566
2000,294.147,295.905,300.446,307.768,307.399,302.798,299.732,299.564,299.257,300.096,297.54,294.832
2001,295.026,298.413,302.436,306.168,308.773,301.289,299.813,299.008,300.096,297.343,295.227,293.863
2002,293.626,298.321,302.753,306.845,309.187,304.789,301.062,299.016,298.528,298.492,296.608,296.174
2003,295.475,298.297,301.431,307.447,308.977,304.764,299.848,298.874,298.458,296.78,295.325,292.468
2004,293.34,296.387,304.049,307.357,308.157,304.425,301.031,298.941,299.824,297.478,296.285,294.574
2005,294.637,296.238,301.856,305.637,309.152,307.001,299.781,299.053,299.312,296.731,293.094,292.057
2006,294.421,299.689,299.724,306.368,308.15,304.384,299.678,298.457,299.044,298.126,295.306,293.95
2007,294.813,298.151,302.258,307.171,309.511,304.242,300.178,299.204,299.068,296.057,294.789,294.528
2008,294.322,296.2,302.678,306.589,308.557,302.339,300.226,299.257,298.788,297.439,295.653,295.478
2009,296.634,299.526,303.08,306.999,309.157,306.585,299.757,299.578,299.857,297.406,295.226,293.939
2010,293.212,299.188,304.081,307.6,309.796,305.861,300.046,299.427,298.785,297.655,296.295,292.193
2011,292.574,297.217,302.464,305.098,309.241,303.431,300.251,299.352,298.671,297.245,295.455,294.193
2012,294.087,297.289,301.722,307.193,309.537,304.422,299.314,298.778,298.843,297.015,294.604,293.999
2013,294.32,297.819,302.135,306.567,310.272,301.996,298.805,298.592,299.049,297.646,293.817,292.578
2014,293.888,296.324,300.006,306.743,308.849,307.943,301.472,299.623,298.914,298.175,297.053,293.354
2015,292.65,297.924,300.309,304.105,309.178,303.943,300.586,299.159,299.269,299.305,297.491,295.744
2016,295.12,299.887,303.421,308.353,309.289,305.7,299.379,298.763,298.784,296.536,293.665,292.754
2017,293.984,298.59,302.414,307.124,310.288,303.78,300.562,299.549,299.797,298.464,295.184,293.809
2018,294.353,298.138,303.036,306.981,310.349,303.49,299.231,298.784,298.647,299.324,297.838,293.266
2019,292.77,296.814,302.119,307.581,309.684,308.05,300.895,298.97,298.732,297.086,294.388,291.694
2020,291.443,295.119,300.217,306.424,309.114,302.235,300.723,299.333,299.857,298.081,294.042,292.545
2021,294.963,296.963,302.424,306.182,307.058,301.936,300.739,299.678,299.325,297.363,294.552,292.111
2022,291.622,295.485,303.422,308.272,309.462,304.804,299.322,298.975,299.099,296.7,292.831,293.585
2023,293.735,297.818,301.141,303.845,306.781,306.418,300.872,299.223,299.545,297.281,294.885,292.592
