Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,285.178,289.031,293.559,303.303,309.553,310.923,304.854,302.838,301.294,298.385,292.915,287.463
1981,285.829,288.508,292.575,301.458,308.518,311.532,305.555,303.487,303.412,298.245,292.078,287.704
1982,285.833,285.967,289.599,297.578,300.535,308.146,309.929,305.855,304.209,300.164,293.126,286.697
1983,284.973,287.79,292.659,297.837,304.521,309.318,309.427,306.511,304.189,298.115,292.894,287.439
1984,285.231,286.452,296.096,301.635,309.691,311.49,307.054,303.805,299.924,296.953,291.627,285.884
1985,285.131,289.141,296.73,301.243,307.924,310.806,306.366,303.952,303.913,296.61,291.75,287.863
1986,284.907,287.186,292.941,300.807,306.249,310.066,306.736,304.212,303.09,298.6,293.393,285.927
1987,286.769,290.12,294.689,301.896,302.988,309.98,311.339,308.632,306.857,299.609,293.536,288.138
1988,287.428,289.823,294.232,303.691,309.932,311.695,306.964,304.612,303.347,296.799,292.3,288.603
1989,284.543,287.384,293.688,299.855,307.274,310.182,308.716,305.36,305.203,299.919,293.496,287.963
1990,287.798,288.788,292.324,299.314,308.439,311.752,308.139,305.839,302.244,297.192,293.282,287.703
1991,285.895,289.521,295.874,299.77,307.517,310.186,310.753,306.959,304.324,298.477,292.944,289.107
1992,286.736,287.457,292.701,299.65,305.615,310.789,307.788,305.048,301.202,298.218,291.887,288.776
1993,285.515,291.154,292.713,301.37,308.84,310.429,305.377,306.241,303.888,299.382,294.213,288.826
1994,287.373,288.379,296.886,300.383,307.359,311.273,307.393,305.593,301.507,297.606,294.185,287.924
1995,285.322,288.307,292.457,298.833,307.594,310.824,308.784,302.738,301.238,298.662,292.482,287.99
1996,286.261,289.291,295.018,301.753,306.532,308.224,306.715,303.48,301.841,297.34,291.732,287.559
1997,285.877,288.695,294.667,299.906,305.044,309.304,309.607,305.151,304.036,297.785,292.132,286.468
1998,285.548,288.951,293.549,303.219,308.521,309.893,309.338,308.402,306.427,300.202,294.495,289.634
1999,285.944,290.279,296.246,304.085,308.714,310.161,310.414,307.924,306.312,300.336,294.545,289.813
2000,286.93,286.898,294.073,304.526,310.2,309.747,308.304,307.915,304.879,300.518,293.983,288.845
2001,285.767,290.414,296.293,301.641,309.271,308.916,305.821,305.681,304.362,300.787,294.153,289.046
2002,287.312,289.182,296.788,303.934,309.961,311.235,311.239,307.273,302.495,299.328,294.137,289.068
2003,286.275,289.139,293.685,302.385,307.108,311.287,306.744,305.695,304.27,298.549,291.839,288.416
2004,286.368,290.105,298.837,304.662,307.876,309.515,308.866,305.351,305.116,297.957,294.428,289.085
2005,285.095,287.151,294.361,299.483,305.918,311.046,306.185,307.227,304.434,299.2,292.498,287.373
2006,285.598,293.831,294.688,302.697,310.157,308.374,306.428,304.479,301.195,298.937,292.435,286.454
2007,285.413,288.559,292.736,303.225,307.877,309.886,308.02,306.374,304.326,299.269,293.891,286.693
2008,284.495,287.876,298.557,300.645,307.279,308.06,306.321,302.823,301.149,298.888,293.203,288.991
2009,287.212,289.847,295.532,300.924,307.951,310.219,309.506,307.371,304.066,299.753,292.62,288.237
2010,286.944,289.932,299.045,305.305,308.681,309.975,306.922,303.751,301.699,299.071,293.053,286.496
2011,284.933,288.241,295.83,300.7,309.443,308.848,306.863,303.868,302.067,299.057,294.098,287.701
2012,284.547,286.323,294.458,301.133,307.157,311.326,309.63,306.424,302.634,297.702,291.882,287.089
2013,284.262,288.429,294.889,301.283,308.231,309.656,307.646,303.213,302.287,299.652,291.839,287.392
2014,285.704,287.941,293.51,299.716,305.698,311.312,308.385,307.443,300.453,297.38,291.531,286.343
2015,285.292,289.38,292.387,299.814,306.803,308.685,306.696,305.963,303.736,299.348,293.061,288.073
2016,287.253,289.788,295.986,302.74,308.94,310.332,307.032,304.386,303.697,300.089,293.613,290.194
2017,285.76,290.082,294.901,303.147,308.083,308.132,306.44,305.521,303.544,300.126,292.495,287.739
2018,286.385,289.984,296.884,302.331,307.657,309.264,305.395,305.46,302.651,297.864,292.558,286.647
2019,284.513,286.954,292.461,301.902,306.104,310.587,306.833,304.007,303.971,297.718,292.315,285.69
2020,283.902,288.435,291.607,298.108,304.796,307.93,307.44,304.359,301.98,298.094,290.487,286.248
2021,284.743,290.638,296.367,299.836,306.16,309.107,307.603,305.184,302.099,297.374,291.226,286.336
2022,285.048,287.5,296.75,304.87,308.484,309.299,304.935,302.529,301.831,297.699,291.984,288.028
2023,284.55,291.096,295.308,299.554,303.275,306.811,303.266,303.286,301.659,296.32,291.961,287.096
