Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,291.09,294.221,299.27,305.831,309.269,303.599,300.195,299.854,298.853,296.4,292.496,289.852
1981,288.978,293.222,298.124,303.969,307.538,306.931,300.044,299.703,299.152,295.957,292.01,289.34
1982,291.003,291.233,296.025,303.851,306.194,305.581,302.4,299.855,298.645,296.838,293.028,290.714
1983,289.415,292.239,298.791,302.783,307.219,306.786,301.948,300.438,299.68,295.645,291.042,290.369
1984,290.265,290.871,299.273,305.137,308.876,304.396,300.645,299.675,298.116,296.455,292.381,290.638
1985,290.513,292.838,300.699,305.001,308.417,307.825,301.112,299.999,299.027,295.565,292.463,291.047
1986,290.126,292.783,298.534,305.174,306.645,306.591,300.639,299.836,299.344,298.379,294.874,290.873
1987,289.49,293.989,298.613,304.722,306.127,308.692,303.195,301.584,299.235,296.229,292.226,289.567
1988,290.918,294.46,298.986,305.617,308.987,305.879,300.75,300.112,300.035,297.215,294.374,292.116
1989,289.331,293.697,298.578,303.894,307.665,305.584,300.957,300.156,299.664,298.276,295.091,290.82
1990,291.946,294.208,297.771,303.965,306.496,305.172,299.888,299.999,299.217,296.266,292.917,290.653
1991,289.484,295.65,300.71,304.486,309.501,305.236,302.717,299.973,298.675,296.08,292.807,290.49
1992,290.202,292.63,299.711,304.987,306.838,307.243,302.579,300.051,298.464,296.576,293.489,290.576
1993,290.736,294.396,297.412,304.222,308.285,306.746,301.711,301.159,298.626,296.932,292.55,289.484
1994,291.53,292.464,300.308,304.054,308.422,305.388,300.311,299.808,298.351,296.235,293.396,290.038
1995,289.002,292.892,297.887,304.483,307.688,307.897,302.242,299.974,298.704,296.824,293.022,291.234
1996,290.305,292.953,299.812,304.077,308.489,305.733,301.17,299.657,299.351,295.741,293.263,289.446
1997,289.182,292.531,299.479,302.333,306.295,305.973,300.538,299.369,298.683,296.056,293.655,288.536
1998,288.523,292.676,295.998,304.866,308.593,307.05,301.17,300.23,299.652,297.743,293.042,289.499
1999,289.078,295.05,299.893,305.748,307.702,304.778,301.357,299.704,298.96,296.273,292.647,290.298
2000,290.34,292.334,298.333,305.763,307.275,304.279,301.27,300.781,298.864,298.538,295.335,290.863
2001,290.146,294.862,299.434,303.712,307.704,302.608,300.061,300.104,299.198,297.012,293.677,290.3
2002,290.279,293.644,299.654,305.311,308.212,306.156,303.196,300.268,298.291,296.471,293.677,291.272
2003,289.385,293.578,298.319,305.353,307.556,306.983,301.466,300.34,299.428,296.041,292.299,289.236
2004,288.948,292.291,300.732,305.572,307.941,304.159,300.843,300.061,299.229,296.513,294.125,291.085
2005,290.223,294.187,300.011,303.552,307.417,308.089,300.552,300.095,299.168,296.784,292.237,289.956
2006,291.083,296.81,297.837,304.288,307.592,305.476,301.1,299.697,299.012,298.287,294.894,292.05
2007,291.399,293.657,297.493,305.318,307.191,306.387,300.999,300.041,299.219,295.733,293.438,290.542
2008,290.397,292.026,299.913,304.198,307.532,302.506,299.896,299.703,299.12,297.12,293.418,291.649
2009,291.945,294.873,299.907,304.224,307.685,308.274,302.35,301.19,299.934,297.04,294.074,291.48
2010,289.622,294.381,301.523,306.519,308.633,308.028,302.577,300.751,299.315,297.72,295.924,290.383
2011,289.29,294.452,299.66,303.39,308.336,304.701,300.668,299.668,298.789,296.589,292.751,289.644
2012,288.988,292.761,298.172,304.606,307.869,308.099,301.673,299.914,298.791,295.517,291.789,289.71
2013,288.696,292.924,298.374,303.817,308.287,303.915,300.662,299.712,299.336,296.546,291.397,289.186
2014,288.869,291.475,296.541,303.749,307.36,307.883,302.372,300.123,299.073,297.014,294.038,289.147
2015,288.415,293.904,297.299,302.7,307.995,306.337,300.63,300.008,299.38,297.617,295.928,291.304
2016,291.001,295.691,300.446,307.049,308.212,307.315,300.856,299.724,299.051,296.305,291.432,288.675
2017,290.034,293.926,299.163,306.127,309.386,306.998,300.213,299.913,299.764,298.599,294.347,291.658
2018,290.23,295.434,300.938,305.234,308.03,306.157,301.427,299.866,298.785,297.212,294.657,289.421
2019,289.657,293.869,298.459,305.219,308.449,308.346,301.792,300.392,299.462,295.992,292.549,287.457
2020,287.29,290.491,296.93,302.915,305.918,301.809,300.478,300.206,299.753,297.892,293.235,290.435
2021,290.554,294.28,300.907,304.677,303.966,302.217,300.615,299.934,299.641,296.946,292.783,289.613
2022,288.363,292.013,300.558,307.101,307.525,306.107,302.002,300.007,299.186,295.993,291.688,290.176
2023,289.379,293.925,298.476,302.605,305.414,307.301,302.012,299.932,299.878,296.594,294.699,290.499
