Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,293.871,296.748,299.804,304.353,305.082,301.459,300.901,300.545,300.271,298.872,295.287,293.331
1981,292.767,295.998,299.399,301.674,302.326,302.243,300.624,300.52,300.094,298.581,295.364,292.791
1982,294.559,296.172,299.098,303.375,305.044,302.056,301.676,300.428,300.241,299.7,297.04,294.476
1983,294.4,296.227,300.861,304.147,304.6,304.323,301.618,301.153,300.315,298.367,295.611,292.689
1984,293.488,295.917,301.557,305.002,304.957,301.932,300.514,300.217,299.523,298.854,295.025,293.783
1985,294.409,296.085,302.262,305.244,304.075,303.734,300.705,300.514,299.727,298.069,294.577,293.044
1986,292.274,296.322,301.445,304.257,303.471,302.707,300.652,300.593,299.961,298.011,295.294,293.242
1987,292.122,295.941,300.911,304.131,304.232,303.979,302.043,301.023,300.82,299.635,296.149,293.015
1988,293.874,297.424,301.479,303.946,304.241,302.298,300.836,300.528,300.35,298.636,295.635,293.955
1989,292.731,297.006,301.081,305.039,304.151,301.438,300.656,300.236,299.942,298.858,295.782,292.691
1990,294.125,297.32,298.288,302.486,302.86,302.094,300.493,300.483,300.085,298.568,295.649,292.599
1991,292.824,298.106,302.855,305.081,306.529,302.468,301.142,300.655,300.264,298.266,294.166,292.211
1992,291.835,295.318,301.417,305.624,303.85,302.357,300.574,300.019,299.859,298.608,295.831,292.764
1993,294.004,297.24,300.566,303.396,304.466,302.367,300.86,300.582,299.799,298.861,295.444,291.995
1994,293.782,295.81,302.011,303.678,305.486,302.341,300.389,300.31,300.044,298.383,295.183,292.426
1995,292.066,296.595,300.521,305.279,302.617,301.364,300.557,300.541,300.218,298.255,294.543,292.305
1996,293.158,295.819,301.987,304.717,306.212,302.444,300.992,300.062,300.238,298.408,295.391,291.813
1997,292.451,295.888,301.631,301.48,304.548,303.182,300.777,300.538,299.931,299.083,296.978,293.141
1998,292.4,295.717,299.436,303.737,305.369,303.837,301.262,300.783,300.209,299.631,296.059,291.576
1999,291.74,297.185,302.107,305.124,304.113,301.58,300.729,300.336,299.873,298.58,294.197,291.876
2000,292.572,294.996,299.642,304.244,303.475,301.162,300.511,300.5,299.999,298.754,296.326,291.918
2001,292.041,297.164,301.12,303.728,304.314,300.752,300.343,300.457,300.297,299.055,296.001,291.967
2002,292.763,296.061,301.058,304.554,306.137,302.699,301.602,300.472,299.882,298.406,294.608,292.914
2003,291.198,296.978,300.022,305.121,305.21,303.149,301.071,300.743,300.309,299.16,294.782,291.164
2004,291.146,294.922,301.611,304.248,305.092,302.341,300.77,300.472,300.013,298.061,294.958,293.153
2005,292.871,297.524,301.826,303.798,304.502,304.015,300.901,300.756,300.177,298.86,293.884,291.326
2006,292.393,297.321,301.596,304.165,303.614,301.39,300.65,300.246,299.966,299.097,295.613,292.781
2007,292.546,295.513,299.731,304.361,304.508,302.432,300.684,300.264,299.993,298.183,295.182,291.544
2008,291.974,293.752,300.474,303.231,304.469,301.284,300.451,300.42,299.884,298.642,295.905,294.122
2009,294.39,298.04,301.584,305.129,303.468,303.629,301.251,300.701,300.477,297.878,295.68,292.912
2010,291.582,296.698,302.825,306.388,303.956,303.148,301.243,300.802,300.497,299.346,297.101,291.931
2011,291.628,295.42,300.945,302.964,303.906,302.167,300.65,300.341,300.102,299.277,295.701,292.412
2012,292.746,295.832,301.224,303.968,305.132,304.518,300.978,300.483,300.369,297.635,294.564,291.987
2013,291.413,295.824,301.301,304.126,304.403,301.768,301.156,300.518,300.361,298.842,294.4,291.65
2014,291.894,294.933,299.85,305.595,305.189,302.525,301.26,300.542,300.385,298.969,295.061,291.25
2015,291.666,295.654,300.316,302.665,304.028,302.434,300.734,300.746,300.602,299.643,297.029,294.349
2016,293.555,298.607,301.438,306.703,304.621,302.214,300.957,300.573,300.245,298.657,294.404,291.909
2017,292.513,296.401,299.954,303.995,304.396,302.632,300.996,300.708,300.548,299.485,294.977,291.946
2018,290.658,295.886,301.44,302.258,303.193,302.627,301.336,300.898,300.407,298.757,295.882,291.646
2019,291.686,295.731,299.511,303.636,304.245,304.019,301.923,301.134,300.299,299.067,295.494,291.377
2020,290.697,293.051,299.017,302.539,302.523,301.546,301.312,301.084,300.762,299.596,294.97,292.24
2021,292.863,295.756,302.348,303.807,302.869,301.194,300.982,300.721,300.149,299.453,295.571,291.852
2022,290.744,293.621,300.363,305.444,303.943,302.54,301.064,300.62,300.435,298.845,294.42,292.835
2023,292.785,296.912,300.476,303.581,304.52,304.311,301.773,300.912,300.789,298.888,295.643,292.229
