Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.154,295.804,299.752,301.656,300.083,296.772,296.111,295.488,295.858,295.131,294.311,294.21
1981,294.408,297.065,299.146,301.997,299.498,296.657,296.384,295.722,295.479,295.001,293.235,292.482
1982,293.22,297.004,300.949,301.972,299.274,295.659,295.714,295.562,296.105,295.588,294.714,293.482
1983,294.557,298.903,301.48,303.423,301.549,297.18,296.25,296.087,295.166,295.115,294.542,294.757
1984,295.131,296.03,297.045,300.412,301.5,296.742,296.043,296.568,296.744,294.962,294.782,294.092
1985,294.706,298.355,300.229,302.123,301.158,295.629,295.399,295.76,296.284,295.426,294.047,294.395
1986,294.561,297.095,300.451,302.521,301.389,296.626,296.415,296.397,296.291,295.008,293.625,294.238
1987,294.112,296.239,299.072,302.263,300.579,297.427,297.459,295.926,296.856,295.784,294.926,294.077
1988,293.927,298.455,300.967,301.166,300.287,297.478,295.847,295.988,295.432,294.84,293.729,293.511
1989,294.783,296.795,299.611,302.448,301.104,296.859,295.857,295.977,295.415,295.373,293.707,293.761
1990,294.161,297.757,301.363,303.166,299.776,296.707,296.435,296.107,296.439,296.594,295.831,294.962
1991,296.541,297.842,301.555,303.408,303.399,297.321,295.72,295.707,296.097,295.258,293.205,291.889
1992,291.771,297.317,299.826,302.52,300.696,297.543,295.694,295.866,295.869,295.314,294.373,292.271
1993,293.809,296.544,300.504,302.244,301.289,296.973,296.03,296.1,295.379,295.074,293.765,292.354
1994,293.805,297.199,300.507,301.562,301.142,296.987,295.954,296.046,296.554,295.5,293.956,292.683
1995,294.235,297.763,299.931,301.562,299.369,297.118,296.23,296.283,295.689,295.116,293.794,292.029
1996,294.029,296.678,300.246,300.328,301.643,297.031,296.093,295.482,295.351,294.66,293.432,292.085
1997,293.17,296.034,300.045,300.061,300.405,298.089,296.539,296.161,296.12,295.582,295.374,294.494
1998,294.803,297.637,301.672,302.965,301.055,297.913,296.297,295.906,295.509,294.923,293.856,291.858
1999,292.113,295.906,300.675,301.654,297.592,296.592,295.792,296.224,296.621,295.369,293.488,292.636
2000,294.846,297.752,299.184,301.723,299.447,296.529,296.51,295.556,296.119,294.819,293.464,292.008
2001,294.592,298.084,301.034,299.464,298.959,297.109,296.6,296.311,296.201,295.261,294.06,292.37
2002,294.679,295.955,300.449,303.005,300.272,297.022,297.063,296.754,297.613,296.153,294.716,293.572
2003,295.505,299.003,300.47,301.73,302.398,298.329,296.958,296.611,296.732,295.87,294.295,293.949
2004,295.504,297.057,300.588,301.644,297.594,296.743,295.667,295.767,295.536,295.256,293.457,292.521
2005,295.117,297.548,300.584,299.921,300.728,297.259,296.292,295.975,295.812,295.203,292.413,292.237
2006,292.081,293.731,298.333,301.758,299.598,297.038,296.588,296.742,296.905,296.9,295.431,293.569
2007,294.979,296.891,300.701,301.002,299.44,297.494,296.402,295.613,295.487,294.891,292.576,292.58
2008,293.119,296.404,297.195,299.97,300.336,297.116,296.364,295.765,295.397,295.139,293.31,292.071
2009,293.022,296.623,299.664,301.854,300.198,296.626,296.27,296.648,296.205,295.066,294.821,294.354
2010,295.067,298.123,301.143,301.285,299.919,297.383,296.062,296.215,295.81,295.671,294.516,292.779
2011,293.419,295.418,299.628,300.672,299.898,297.512,296.428,296.263,296.472,296.222,294.563,294.006
2012,295.022,297.571,300.812,301.611,300.092,298.616,297.545,296.797,296.698,296.056,295.049,295.063
2013,295.827,297.238,300.522,302.646,299.966,296.202,295.566,296.087,295.478,295.462,294.176,293.101
2014,294.69,297.341,299.482,302.755,300.373,298.523,296.875,296.37,296.39,295.546,294.018,294.55
2015,294.912,296.375,299.29,300.186,299.148,297.41,297.905,297.663,297.42,296.446,294.413,294.154
2016,294.338,298.038,300.772,304.263,300.651,296.939,296.671,296.92,296.769,297.17,296.81,294.332
2017,294.674,296.526,299.738,302.951,300.342,297.46,297.567,296.815,296.052,295.15,294.09,292.38
2018,293.223,295.308,299.318,302.095,299.47,296.992,296.997,296.832,297.447,296.473,296.093,296.03
2019,294.737,298.065,301.88,302.648,301.219,299.043,297.562,296.592,296.301,295.751,295.114,294.815
2020,295.979,297.907,300.862,301.227,301.478,297.63,296.203,296.359,295.501,295.259,294.323,293.048
2021,294.218,295.068,299.417,300.977,299.156,297.022,296.304,296.385,296.221,296.032,294.537,293.026
2022,294.042,295.91,299.788,301.226,298.743,296.853,296.225,295.975,295.618,295.074,293.548,293.282
2023,292.194,295.383,298.395,301.32,300.01,298.773,297.149,298.601,296.614,296.792,296.464,295.723
