Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,287.645,292.127,297.044,305.378,309.571,306.542,302.508,301.636,300.741,297.843,293.414,289.072
1981,288.473,292.084,296.907,304.031,307.806,309.03,302.883,301.841,301.699,297.636,292.398,288.179
1982,288.216,289.077,294.384,301.587,303.421,307.459,306.46,302.03,299.216,297.278,292.788,288.793
1983,287.234,289.585,295.952,300.465,306.374,308.096,306.885,302.836,300.764,296.542,291.976,288.415
1984,287.115,288.811,298.61,304.68,309.359,309.233,305.587,304.282,298.891,297.1,292.661,289.326
1985,287.999,291.201,299.464,304.394,308.245,308.151,304.223,301.916,299.538,294.671,290.723,288.187
1986,286.736,289.324,296.151,303.416,307.081,308.788,303.853,302.916,302.223,298.579,294.123,288.873
1987,288.713,292.548,298.199,303.672,305.534,310.713,309.51,307.105,304.019,299.644,294.109,290.155
1988,289.525,292.465,296.525,305.315,309.521,309.883,303.379,301.108,300.511,296.711,293.196,289.573
1989,286.202,289.849,296.493,302.627,308.214,309.34,306.184,304.114,301.943,299.065,293.811,289.689
1990,290.775,291.253,295.02,302.591,308.153,310.056,303.903,301.387,300.506,296.768,293.447,289.198
1991,287.634,292.289,297.876,303.342,309.25,308.599,308.865,303.059,299.683,296.329,291.839,289.061
1992,288.287,289.826,297.416,303.686,307.132,310.299,306.218,303.687,301.13,297.853,293.731,289.78
1993,288.205,293.146,295.138,303.146,308.635,308.319,304.757,304.659,301.247,298.262,294.339,289.98
1994,290.069,290.587,298.853,302.347,309.155,310.382,304.719,301.719,299.453,297.775,294.134,289.753
1995,287.037,291.44,296.338,303.484,308.984,309.806,306.596,302.341,300.33,298.165,293.514,289.956
1996,288.467,291.39,297.553,303.456,308.036,308.759,304.021,301.212,299.906,295.756,291.517,287.951
1997,287.302,290.505,297.114,301.24,306.242,307.557,305.865,302.966,302.46,298.478,294.082,287.85
1998,286.797,290.324,294.692,303.575,307.646,309.073,304.279,302.444,301.088,297.491,292.705,288.646
1999,287.462,291.875,297.652,304.945,308.785,309.454,305.225,303.153,301.237,297.726,293.421,289.385
2000,288.514,289.541,296.495,304.637,308.229,305.296,303.105,302.58,300.482,297.997,293.85,289.047
2001,287.535,291.735,297.494,303.522,307.851,306.847,304.354,302.497,302.485,299.608,294.567,289.928
2002,287.888,290.82,297.111,304.539,308.844,308.719,310.621,303.493,299.479,297.81,293.748,289.096
2003,286.762,290.733,296.33,304.493,307.299,309.7,303.538,302.267,300.371,295.818,290.863,287.775
2004,286.245,290.071,298.261,305.03,306.788,306.858,303.75,301.842,300.593,297.075,292.743,289.225
2005,287.469,291.051,298.062,302.562,306.97,310.494,303.073,303.097,300.856,296.728,291.465,287.755
2006,287.889,294.704,296.637,303.526,307.664,306.735,303.51,302.323,301.537,299.672,294.303,289.564
2007,288.535,291.11,295.557,304.73,306.939,308.175,303.895,301.636,300.769,296.528,292.666,287.817
2008,287.745,289.948,299.25,303.594,306.786,304.248,302.297,301.073,299.799,296.767,291.97,289.017
2009,288.42,291.515,297.659,303.845,308.298,309.651,306.697,303.246,300.416,295.25,291.843,287.795
2010,287.247,291.156,299.22,306.453,309.414,310.734,303.973,301.403,299.335,296.918,292.198,286.593
2011,284.757,290.237,296.201,302.453,308.618,306.637,302.085,301.13,299.953,296.613,292.269,287.966
2012,286.179,290.0,295.894,303.46,308.331,311.251,305.368,301.988,299.588,296.061,291.521,287.612
2013,285.937,289.92,296.395,303.313,308.75,305.597,302.196,301.234,299.89,296.773,289.827,286.969
2014,286.461,288.849,294.753,301.773,307.457,311.082,305.686,303.788,301.892,299.197,293.36,287.706
2015,286.463,292.099,294.987,301.393,308.053,308.702,302.719,301.739,300.741,298.757,294.992,289.081
2016,288.867,292.973,298.966,305.847,307.121,308.529,302.847,301.691,300.562,297.687,292.703,289.248
2017,288.079,292.117,297.421,305.598,308.876,308.454,302.877,301.996,300.881,298.238,292.667,289.589
2018,286.824,292.535,299.17,304.182,308.307,309.262,304.117,301.471,299.531,296.31,292.179,287.03
2019,286.824,289.656,295.413,303.678,307.922,309.816,304.351,302.168,300.894,297.829,294.277,286.502
2020,286.327,288.913,294.407,301.165,304.548,306.396,303.876,301.926,302.533,299.813,293.29,289.212
2021,287.94,292.939,299.68,303.619,304.276,304.135,303.997,301.636,300.592,297.36,289.912,286.98
2022,285.38,287.785,297.555,305.102,307.256,309.215,305.487,304.268,302.334,296.749,291.689,287.664
2023,286.654,291.823,296.967,301.179,304.027,307.387,303.075,301.745,300.849,297.637,294.047,289.627
