Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,294.27,296.993,301.168,304.003,305.522,301.496,301.195,299.831,300.645,298.933,297.081,295.5
1981,295.32,297.162,301.015,304.94,303.699,302.211,301.123,300.129,298.884,298.1,295.764,294.948
1982,294.415,297.631,301.677,304.33,304.351,300.773,300.646,300.526,300.508,298.774,297.068,295.649
1983,296.211,300.817,302.819,304.861,305.197,302.376,301.48,300.769,298.972,298.676,296.646,296.103
1984,295.986,296.726,298.474,302.957,305.394,302.806,300.731,301.853,300.877,298.263,296.943,295.452
1985,295.91,298.749,301.713,305.25,305.386,300.724,300.094,300.142,299.392,298.829,295.637,294.973
1986,294.882,296.807,300.607,303.87,306.629,302.458,302.094,301.322,300.716,298.137,296.538,296.289
1987,296.051,297.325,301.109,304.83,305.238,302.806,303.045,300.617,301.155,299.037,297.278,295.718
1988,294.786,298.491,302.771,303.435,305.275,304.297,300.767,299.941,299.017,298.628,296.313,295.342
1989,295.666,297.621,300.875,304.735,306.168,302.373,300.588,301.373,299.846,299.05,296.648,295.072
1990,295.329,299.427,302.834,305.206,302.223,301.67,301.833,301.129,300.462,299.398,297.239,296.025
1991,297.23,299.367,302.392,304.803,306.383,301.507,300.915,300.887,300.414,299.303,296.173,294.543
1992,293.527,298.55,300.968,304.169,305.717,303.311,301.024,301.206,300.596,298.957,297.151,294.247
1993,295.039,297.983,302.21,304.344,305.869,302.16,301.402,301.011,299.529,298.254,296.549,294.54
1994,294.747,297.271,300.919,304.43,305.739,302.52,301.522,301.524,301.198,299.06,296.403,293.678
1995,294.769,297.404,300.918,303.958,302.612,302.287,301.072,300.519,299.936,298.464,296.77,294.793
1996,295.942,298.294,301.54,303.015,306.721,301.358,300.494,300.234,299.112,298.035,296.447,294.604
1997,294.049,296.284,300.966,302.773,305.394,303.865,302.502,301.944,300.351,299.449,297.743,296.693
1998,295.555,297.968,302.0,305.072,305.341,304.104,301.473,300.108,299.715,298.583,297.216,294.77
1999,294.317,297.955,302.373,304.123,302.72,301.816,301.252,301.323,301.05,298.324,296.765,294.741
2000,296.302,299.037,300.475,304.503,304.287,302.126,301.601,300.128,300.309,298.206,296.813,294.759
2001,296.358,299.529,303.083,302.114,304.446,302.884,302.048,301.666,300.219,298.484,296.877,294.851
2002,295.61,296.665,301.043,304.756,305.165,302.569,303.329,301.825,301.744,298.859,296.529,294.883
2003,296.154,299.887,301.795,304.403,306.744,304.026,301.052,300.721,301.118,299.114,296.54,295.942
2004,296.297,298.238,301.984,304.879,300.877,301.282,300.188,301.389,299.463,298.503,296.112,294.298
2005,296.163,298.522,302.242,301.391,303.612,302.926,301.928,301.471,300.376,298.592,295.47,294.968
2006,294.287,295.763,300.519,304.094,303.923,302.03,302.449,301.863,300.692,299.54,296.847,294.895
2007,295.342,297.753,301.704,303.45,304.653,302.573,301.279,299.781,299.314,298.466,295.726,295.39
2008,294.758,297.847,298.874,301.868,305.71,302.377,301.66,300.517,299.777,298.669,296.87,294.923
2009,294.711,297.683,300.96,304.133,305.127,302.559,302.726,301.28,300.5,299.232,297.496,295.847
2010,295.841,298.034,302.214,304.981,304.778,301.902,300.535,300.655,299.692,299.315,297.353,295.149
2011,294.815,296.655,300.364,302.65,304.16,304.048,301.636,300.887,300.594,299.022,296.493,295.362
2012,295.299,297.62,302.385,303.848,304.995,303.819,302.076,301.277,300.707,298.995,296.604,296.184
2013,296.34,298.069,300.983,304.678,305.392,301.548,300.852,300.796,299.423,298.873,297.106,295.949
2014,296.612,298.63,301.354,304.5,303.835,303.527,302.375,301.262,300.484,298.972,296.289,295.846
2015,295.503,297.538,301.231,302.616,303.03,302.181,303.189,301.62,300.652,298.919,297.078,295.509
2016,294.616,297.489,301.604,305.325,304.178,301.45,300.884,301.336,301.028,300.739,298.522,295.837
2017,296.146,297.628,302.127,305.843,305.163,302.984,302.495,300.446,299.386,298.847,297.138,295.158
2018,295.069,297.015,300.998,304.497,303.766,302.523,302.419,302.197,301.287,299.272,297.891,296.551
2019,295.555,300.061,302.983,304.972,305.86,304.398,302.462,301.057,299.513,298.532,297.833,296.215
2020,296.524,298.212,302.031,303.765,304.592,303.253,300.104,300.254,299.195,298.904,297.398,295.323
2021,295.692,295.617,300.187,303.613,303.714,302.312,300.41,300.243,299.808,298.997,297.406,295.499
2022,295.776,296.404,301.168,303.986,303.121,301.903,300.791,300.246,299.702,298.395,296.641,296.111
2023,294.673,297.24,300.354,303.525,304.006,303.188,301.627,302.323,300.294,299.462,298.358,296.403
