Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.73,294.278,299.078,304.715,306.751,301.802,300.536,300.169,299.363,296.796,292.609,289.73
1981,289.198,292.553,297.78,302.592,303.987,303.396,300.345,300.054,299.134,295.928,291.847,289.1
1982,291.024,291.96,296.106,303.006,306.216,303.575,302.096,299.938,299.352,297.239,293.201,290.314
1983,290.119,293.418,299.688,303.278,305.98,306.007,302.186,300.571,299.632,296.731,293.369,290.581
1984,290.614,292.278,299.935,305.251,306.361,301.743,300.262,299.619,298.275,296.95,291.453,289.473
1985,290.59,292.467,300.903,305.381,306.113,304.583,299.953,300.064,299.075,296.143,291.778,289.594
1986,289.278,293.075,299.097,304.465,304.064,304.291,300.471,300.165,299.378,296.436,293.855,290.858
1987,289.732,294.423,299.29,304.517,306.412,306.656,301.68,300.401,299.658,296.83,292.312,289.311
1988,289.68,294.013,298.481,304.424,307.098,303.333,300.79,300.293,299.745,296.378,293.077,291.173
1989,288.574,293.724,299.399,304.83,305.848,303.405,300.902,300.024,299.835,297.603,294.296,290.258
1990,291.562,294.782,298.096,303.879,305.38,303.015,300.3,299.933,299.315,296.221,293.07,289.657
1991,288.931,295.172,300.242,304.493,308.986,303.492,301.696,300.104,298.945,296.378,291.834,289.429
1992,288.771,291.785,299.622,305.224,305.623,304.691,301.497,299.844,298.954,297.391,294.405,290.469
1993,291.146,295.484,298.543,302.927,306.118,303.791,301.001,300.31,298.785,297.118,292.827,288.765
1994,290.665,292.321,299.526,303.995,306.837,303.713,300.138,299.796,298.415,296.562,293.184,288.841
1995,288.305,293.041,297.816,304.561,305.707,304.67,300.778,299.968,299.061,296.715,292.331,289.469
1996,289.705,292.788,299.594,304.46,308.442,303.023,300.667,299.674,299.38,296.121,292.612,288.434
1997,289.409,292.575,300.074,301.75,306.477,305.256,300.306,299.749,299.024,296.551,294.113,288.864
1998,288.387,292.114,295.494,302.456,305.948,305.389,300.81,300.344,299.329,298.109,293.726,288.613
1999,288.181,294.37,299.271,305.439,305.244,302.481,300.46,299.673,298.915,296.726,292.127,289.534
2000,289.114,291.971,297.706,305.03,305.262,302.261,300.778,300.203,299.082,297.426,293.947,288.983
2001,289.102,294.831,299.27,304.341,305.986,300.98,300.081,300.101,299.302,297.536,293.865,288.98
2002,289.875,293.587,299.138,304.567,306.71,303.872,301.45,299.876,298.792,296.494,292.727,289.762
2003,288.131,293.756,297.684,304.679,306.037,305.329,301.106,300.306,299.532,297.131,292.071,288.699
2004,288.191,291.421,299.314,304.114,306.977,302.787,300.505,300.035,299.158,296.544,292.356,290.043
2005,289.273,293.78,299.883,303.87,306.949,307.022,300.942,300.483,299.486,297.353,292.174,289.668
2006,290.415,296.518,299.598,304.475,304.772,301.477,300.413,299.565,299.188,297.322,293.331,289.664
2007,288.949,292.45,296.949,303.751,305.277,304.335,300.39,299.823,299.11,296.296,292.826,288.207
2008,288.592,290.324,298.543,303.305,305.861,301.493,299.992,299.779,299.151,297.009,293.129,290.62
2009,290.604,294.185,299.216,304.43,304.363,304.962,301.18,300.23,299.548,295.859,293.226,290.064
2010,288.536,293.596,300.962,306.461,305.908,305.736,301.662,300.884,299.633,297.617,295.362,289.654
2011,288.758,293.792,300.174,302.615,305.204,303.167,300.339,299.563,299.05,297.28,292.815,289.086
2012,288.879,292.182,297.711,303.974,306.583,306.732,301.354,299.864,298.97,294.919,290.783,287.61
2013,286.925,291.694,298.147,303.244,306.056,301.593,300.828,299.753,299.375,297.124,291.794,289.174
2014,288.387,291.387,296.367,304.03,306.067,305.328,301.084,300.323,299.536,297.096,292.452,288.145
2015,288.927,293.888,298.788,302.522,305.303,303.858,300.505,300.082,299.811,297.595,294.645,291.207
2016,290.76,295.932,300.609,307.253,305.933,304.038,300.606,299.86,299.341,296.813,291.84,288.943
2017,289.719,294.096,298.701,304.946,306.141,303.861,300.197,300.069,300.135,298.205,293.064,290.081
2018,287.299,293.867,299.532,302.338,304.845,304.059,301.166,300.316,299.407,296.696,293.755,288.507
2019,289.172,293.617,298.251,304.034,306.042,305.948,301.77,300.457,299.417,296.466,293.026,288.159
2020,287.575,290.079,296.252,301.586,303.638,301.643,300.727,300.405,299.747,298.124,292.713,289.441
2021,289.798,293.33,300.183,304.276,302.895,301.118,300.481,300.067,299.287,297.6,292.642,289.122
2022,287.815,290.449,297.745,304.766,304.575,304.411,301.2,300.2,299.606,296.901,291.833,289.408
2023,289.466,293.43,298.561,303.092,305.288,306.405,302.336,300.468,299.965,297.144,293.487,289.633
