Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,297.547,300.334,302.643,304.328,305.672,301.86,300.894,300.722,300.45,300.359,297.933,297.127
1981,297.258,299.831,301.755,304.204,305.15,304.709,301.108,300.558,300.37,299.768,297.466,296.778
1982,297.357,300.167,302.272,303.83,304.782,303.766,301.335,300.432,300.485,300.041,298.353,297.573
1983,298.515,300.767,302.711,304.448,305.303,303.925,301.789,300.815,300.145,299.639,297.445,297.115
1984,298.389,299.488,302.539,304.201,305.635,303.219,301.32,301.351,301.217,300.063,298.742,298.409
1985,297.608,300.221,302.18,305.012,306.415,302.661,301.429,300.7,300.62,298.843,297.109,297.49
1986,296.979,299.093,302.209,304.157,306.095,303.76,302.436,301.025,301.461,300.51,298.39,297.729
1987,297.949,298.719,301.648,304.353,304.929,304.974,302.663,301.64,301.615,299.956,298.631,296.92
1988,297.764,300.229,302.92,303.932,305.863,305.066,300.963,300.51,300.258,299.755,298.469,297.953
1989,298.081,299.972,302.125,304.622,305.642,303.124,301.127,300.323,299.976,300.276,298.787,297.664
1990,298.792,300.173,302.028,304.51,303.035,301.634,301.644,301.158,300.824,299.911,299.036,298.151
1991,298.882,300.659,302.826,304.878,305.324,302.501,301.148,300.753,301.094,299.51,297.147,295.349
1992,295.301,299.267,302.145,304.235,305.802,304.217,301.678,300.155,300.354,299.888,298.088,295.16
1993,297.299,299.093,302.235,304.247,305.918,304.22,301.842,301.417,300.719,299.795,297.808,296.56
1994,297.991,299.635,302.671,304.596,305.735,304.148,300.956,300.721,300.663,299.515,297.573,295.518
1995,296.237,299.203,302.826,304.526,302.56,303.372,301.055,300.714,300.49,299.649,298.336,296.529
1996,297.907,299.201,302.333,304.038,306.482,302.55,300.984,300.506,300.633,299.639,297.664,296.116
1997,296.721,299.524,302.553,303.494,306.418,304.991,301.71,300.925,300.673,300.302,299.357,297.955
1998,297.969,300.095,302.985,304.547,307.291,304.211,302.464,301.078,300.714,299.898,298.416,295.306
1999,296.305,299.954,303.125,304.656,304.705,303.205,301.738,301.341,301.083,299.777,298.281,297.363
2000,298.525,299.849,301.859,304.509,305.543,302.013,301.157,300.318,300.468,300.014,298.936,297.238
2001,298.077,300.234,302.732,302.949,305.649,303.234,302.863,300.786,301.07,300.271,298.528,296.844
2002,297.671,299.749,302.643,304.542,307.215,303.605,303.796,301.529,301.883,299.97,297.925,297.33
2003,297.602,300.25,302.453,304.705,307.048,304.508,301.223,301.084,300.785,299.96,297.996,296.633
2004,296.619,299.324,302.556,304.759,304.164,303.198,301.277,301.327,300.83,299.658,297.896,297.334
2005,298.777,300.483,302.584,304.665,305.034,304.642,301.948,300.98,300.558,299.903,296.726,296.088
2006,296.923,299.836,302.607,304.339,304.466,303.286,302.816,300.543,300.504,300.573,297.928,296.518
2007,297.085,299.156,302.071,304.175,306.59,303.091,301.211,300.533,300.369,299.071,297.403,297.136
2008,297.517,299.332,301.137,303.879,306.998,303.187,301.906,300.404,300.385,299.851,298.829,297.5
2009,297.893,300.703,302.742,304.706,304.397,303.8,302.723,301.719,301.307,301.079,299.498,297.745
2010,298.455,300.032,303.357,304.765,305.069,302.85,300.876,300.919,300.357,300.005,298.907,295.692
2011,295.694,298.481,301.746,303.112,305.261,303.578,301.887,300.917,300.962,301.2,299.391,298.944
2012,297.944,299.895,302.8,304.252,304.992,304.11,301.618,300.507,300.228,299.73,297.565,296.79
2013,297.908,299.136,301.911,303.919,305.484,302.858,300.996,300.82,300.919,300.174,298.061,296.163
2014,297.148,298.819,302.119,304.871,304.35,306.125,303.005,301.305,300.546,300.307,298.637,297.595
2015,297.751,299.21,302.276,303.77,305.689,302.051,302.328,301.352,300.706,300.941,298.555,297.871
2016,298.331,300.677,302.564,304.895,305.423,301.803,301.106,301.482,300.281,299.717,298.87,298.273
2017,298.37,299.946,302.6,304.89,305.763,303.025,301.556,300.741,300.863,300.402,298.607,297.294
2018,297.941,299.533,302.451,304.234,304.187,303.43,301.417,300.463,300.691,300.534,300.097,297.919
2019,296.891,299.791,302.628,304.643,305.543,304.427,302.616,300.916,300.688,300.212,298.634,297.636
2020,298.511,299.817,302.351,304.44,306.0,303.186,301.375,300.684,300.835,300.182,298.784,296.085
2021,297.826,298.966,302.644,304.475,304.805,303.354,301.303,301.211,300.821,300.462,298.794,296.407
2022,296.858,298.821,302.91,304.27,304.69,303.067,300.962,300.881,300.805,299.526,297.795,297.966
2023,297.634,300.291,301.558,304.466,304.936,305.724,301.678,301.463,300.995,300.811,299.984,296.794
