Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.289,293.593,299.766,306.614,308.902,305.045,302.48,302.076,300.913,297.57,293.193,289.285
1981,289.055,292.463,298.071,303.653,307.569,307.503,302.245,301.644,300.722,296.503,292.398,289.175
1982,290.705,291.401,296.526,303.863,307.285,307.311,306.08,302.677,300.953,299.829,294.636,290.691
1983,289.827,292.971,299.548,303.182,308.656,309.253,305.759,303.022,302.539,299.071,294.26,290.906
1984,290.488,291.617,299.576,306.566,308.936,304.376,302.162,301.453,299.336,297.383,292.042,289.35
1985,290.029,291.962,300.321,305.753,309.066,308.99,302.127,301.895,300.502,297.152,292.277,289.357
1986,288.658,292.233,298.724,304.941,306.26,308.015,302.035,301.936,300.831,298.349,295.285,291.258
1987,289.909,294.733,299.516,305.303,307.863,310.244,303.558,301.838,300.777,297.653,292.323,289.021
1988,289.38,293.269,297.806,305.058,308.728,306.257,302.943,301.853,301.279,297.544,294.159,291.33
1989,288.097,292.557,298.736,304.493,307.836,306.796,303.603,302.19,302.205,299.847,295.329,290.721
1990,291.563,294.477,298.487,304.88,308.844,307.333,302.15,301.401,300.826,297.145,294.183,290.679
1991,289.829,295.44,300.856,305.217,310.224,306.534,306.0,302.608,300.509,298.306,293.715,291.114
1992,290.109,292.775,300.478,306.101,307.599,307.809,304.726,301.949,300.916,300.125,295.637,291.302
1993,290.501,295.13,298.008,304.759,308.784,308.649,304.442,303.193,300.275,298.052,293.123,289.085
1994,290.755,292.538,299.259,304.348,308.527,307.398,303.52,301.978,299.622,297.25,294.214,289.966
1995,288.878,293.318,298.712,305.135,308.814,309.152,303.445,301.859,300.335,298.142,293.33,290.176
1996,289.764,293.085,300.022,305.009,309.803,306.853,303.169,301.156,301.059,297.496,293.506,289.003
1997,289.2,292.12,300.027,303.279,308.301,308.513,302.159,301.403,300.625,296.931,294.224,288.743
1998,288.08,292.455,296.143,304.617,308.452,308.62,302.927,302.138,300.92,299.344,294.409,289.242
1999,289.034,294.625,299.394,305.852,307.481,306.582,302.758,301.387,300.515,298.104,293.557,291.02
2000,290.321,292.537,298.59,305.832,308.595,305.271,303.06,302.142,300.302,298.506,294.72,289.483
2001,288.69,293.905,299.344,305.334,308.657,304.377,302.435,302.147,300.676,298.771,294.333,289.21
2002,289.703,293.311,299.557,305.444,306.907,306.858,304.17,301.754,300.328,297.838,294.485,290.646
2003,288.044,293.66,298.582,305.849,307.818,307.911,303.636,302.06,301.03,297.561,292.184,289.539
2004,288.454,292.341,300.302,305.454,308.546,305.645,302.435,301.839,300.779,298.158,294.45,291.195
2005,289.782,294.607,300.967,304.762,308.537,310.04,303.206,302.28,301.239,299.605,293.467,290.1
2006,290.075,296.483,299.745,305.251,307.919,304.581,302.683,301.634,300.632,298.547,294.161,290.822
2007,289.256,292.954,297.871,305.085,307.195,307.471,302.578,301.668,300.535,297.306,293.413,287.968
2008,288.138,290.302,298.905,303.773,307.545,303.871,301.876,301.35,300.618,298.366,293.401,290.66
2009,290.3,293.647,299.673,305.016,307.01,308.356,305.102,302.877,301.159,297.292,294.406,290.719
2010,288.826,293.742,301.461,307.182,308.546,308.887,304.546,302.923,301.179,299.278,296.489,290.268
2011,288.296,293.668,300.07,303.921,308.144,306.237,302.793,301.451,300.394,298.05,293.661,289.488
2012,289.117,292.711,298.231,305.305,308.827,309.746,303.559,301.355,300.179,296.028,290.634,287.646
2013,286.456,291.644,298.604,304.126,306.945,305.232,303.858,302.526,301.316,298.135,292.088,289.787
2014,288.808,291.505,297.557,304.878,307.96,308.755,303.172,302.322,300.72,298.023,292.57,287.961
2015,288.608,294.006,298.393,303.756,308.71,308.247,302.668,302.079,301.135,299.212,296.889,291.532
2016,290.709,295.761,301.404,308.044,308.187,308.136,303.169,302.111,300.973,297.811,291.466,288.168
2017,289.428,293.394,298.858,305.866,308.853,308.437,302.178,301.838,301.685,299.397,294.105,291.01
2018,287.874,294.936,300.525,304.925,307.545,308.477,304.776,302.118,301.234,299.223,295.808,289.584
2019,289.752,294.056,299.043,306.017,309.385,309.74,303.988,302.576,301.173,297.344,293.589,287.65
2020,287.811,290.55,297.279,303.198,306.179,304.482,302.275,301.988,301.411,299.305,293.103,289.237
2021,289.852,293.695,300.656,305.383,305.209,303.448,302.298,301.712,301.005,298.16,292.068,289.035
2022,287.765,290.714,299.191,306.09,307.244,307.743,304.915,302.985,301.244,298.535,293.618,289.893
2023,289.606,294.359,299.274,304.196,306.899,309.646,304.651,302.47,301.649,298.393,294.995,290.639
