Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.712,293.429,297.57,305.716,309.843,307.987,301.571,300.828,299.851,298.82,294.287,290.286
1981,289.096,293.097,297.98,304.867,309.051,310.142,302.568,301.146,302.075,299.499,293.032,289.317
1982,289.549,290.391,295.651,303.433,306.347,309.176,306.33,300.774,299.027,298.248,293.951,290.277
1983,288.005,290.273,297.258,301.613,307.744,309.357,305.259,301.348,300.338,296.183,291.418,289.38
1984,287.654,289.094,299.72,305.056,309.991,310.236,304.346,301.799,299.321,297.301,293.602,290.141
1985,288.527,292.579,300.261,304.355,309.437,309.905,303.907,300.693,299.4,295.007,292.45,289.886
1986,287.908,291.145,297.558,305.034,308.297,309.178,302.721,301.017,301.788,299.787,295.579,289.251
1987,289.367,293.47,298.97,304.598,305.346,310.28,306.856,306.005,303.233,299.57,294.293,290.61
1988,290.732,294.204,298.321,306.322,310.361,310.263,303.72,301.355,302.254,299.1,294.625,291.336
1989,288.003,292.37,298.183,303.68,308.781,308.778,305.935,303.169,301.154,299.587,295.56,290.533
1990,291.831,292.693,296.705,304.299,308.546,309.408,302.499,301.152,300.208,297.876,294.547,290.567
1991,288.644,293.667,299.189,304.082,309.707,309.723,307.693,301.502,299.944,298.206,293.734,290.556
1992,289.585,291.686,298.395,303.926,308.284,311.105,305.635,301.483,298.979,297.5,293.596,291.003
1993,289.788,293.885,296.57,304.333,309.835,309.34,304.805,304.475,300.209,298.099,294.992,290.319
1994,290.839,291.764,300.484,303.625,310.014,309.858,302.284,300.806,299.475,298.541,294.961,290.798
1995,287.921,292.975,297.74,303.78,308.877,310.528,305.346,300.718,299.568,297.755,293.583,290.539
1996,289.339,292.273,298.772,304.382,308.46,308.696,303.523,300.388,299.704,296.046,292.354,289.594
1997,288.292,291.79,298.429,302.548,306.597,306.984,306.025,301.489,300.578,298.286,294.866,287.939
1998,287.845,291.55,296.434,305.102,309.966,309.339,302.878,301.793,301.346,299.029,294.671,290.657
1999,288.867,293.467,299.258,305.73,308.956,309.113,306.025,301.586,300.318,298.105,294.991,290.34
2000,289.952,290.47,297.402,306.114,309.37,309.371,304.134,303.778,303.528,301.337,296.068,291.445
2001,289.155,293.302,298.841,303.897,309.103,306.904,301.647,301.39,302.398,300.262,295.218,291.223
2002,289.092,291.917,299.126,305.42,310.241,309.87,309.223,303.133,300.075,299.708,295.525,291.651
2003,288.842,292.36,297.936,305.606,308.212,309.466,304.533,302.853,300.024,297.559,294.288,290.528
2004,288.935,292.628,300.76,306.45,308.978,308.693,304.787,301.36,301.434,298.425,295.213,291.115
2005,288.793,292.314,299.748,303.461,307.345,309.79,302.027,302.552,301.457,299.175,294.705,290.124
2006,290.465,297.121,297.904,305.135,310.191,306.656,303.579,301.815,302.351,301.055,295.719,292.025
2007,290.276,293.144,297.316,306.278,309.011,308.722,303.733,302.545,301.883,298.87,295.643,290.436
2008,288.678,291.125,300.585,304.637,308.092,304.661,301.232,300.768,299.926,297.932,293.292,291.998
2009,290.346,293.544,299.303,304.492,309.617,310.418,305.791,304.439,301.423,297.797,293.433,290.769
2010,289.077,293.012,300.922,306.901,310.031,309.49,304.484,301.525,299.616,297.775,294.171,288.485
2011,287.153,292.28,298.434,304.122,309.781,307.5,301.735,300.841,299.509,297.268,294.82,289.714
2012,287.471,290.984,298.101,304.636,308.747,310.089,304.484,300.882,299.397,296.865,292.524,289.566
2013,286.86,291.078,298.162,304.386,309.309,306.179,302.886,300.725,300.042,297.307,292.105,289.493
2014,287.732,290.012,295.67,303.027,308.447,310.934,305.909,301.468,300.093,299.652,295.612,288.738
2015,287.1,292.463,295.779,301.856,308.421,308.726,303.206,301.651,301.648,300.266,296.422,290.164
2016,290.696,293.768,300.582,306.131,309.639,309.445,302.717,300.6,300.341,298.968,294.5,291.231
2017,289.477,293.467,298.729,306.377,310.036,308.664,303.82,302.534,301.968,300.607,294.521,290.932
2018,290.281,294.996,300.299,305.668,309.637,309.347,303.859,300.954,298.897,297.669,294.16,288.839
2019,287.838,291.224,297.151,305.451,308.75,309.968,304.084,301.992,300.41,297.485,295.179,287.589
2020,287.334,290.965,296.403,304.023,308.573,307.526,305.124,302.664,303.469,300.989,293.963,290.487
2021,289.433,294.819,300.978,305.11,306.245,308.094,305.178,301.108,300.256,298.416,292.997,289.088
2022,287.051,291.703,300.732,307.722,309.792,308.751,304.34,300.677,300.48,296.887,293.309,289.947
2023,287.77,293.947,298.754,303.503,305.84,306.417,302.717,300.925,300.822,299.183,294.61,290.186
