Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,294.158,296.94,300.568,304.07,304.015,302.418,301.724,301.57,301.226,300.132,296.282,293.383
1981,292.953,295.913,299.788,301.609,302.102,302.397,301.53,301.493,301.281,299.759,295.862,292.613
1982,294.169,296.012,299.172,302.527,303.849,302.442,302.381,301.176,301.385,300.676,296.99,293.858
1983,294.537,296.745,301.064,304.213,303.616,303.612,302.818,301.959,301.302,299.544,297.007,293.525
1984,293.668,296.312,301.138,303.675,302.86,302.092,301.362,301.309,300.586,300.026,295.042,293.182
1985,294.547,296.648,301.666,304.11,303.382,303.449,301.357,301.416,300.726,299.324,295.404,293.129
1986,292.318,297.249,301.7,303.388,303.125,303.013,301.426,301.536,300.949,298.85,296.482,293.34
1987,292.126,296.336,301.016,303.123,303.299,303.342,302.275,301.491,301.383,300.069,296.254,293.396
1988,293.754,297.344,301.21,303.312,303.615,302.781,301.658,301.495,301.334,299.591,296.061,294.061
1989,291.978,296.84,301.154,303.765,303.548,302.104,301.491,300.996,301.032,299.958,296.352,293.032
1990,293.581,297.644,299.074,301.876,302.953,302.409,301.299,301.327,300.948,299.164,296.569,293.013
1991,292.767,298.33,302.937,304.39,304.234,302.452,301.591,301.577,301.253,299.339,294.853,292.617
1992,292.006,295.561,300.862,304.834,303.277,302.228,301.304,301.047,300.805,299.815,296.742,292.874
1993,293.683,297.165,300.354,302.662,303.041,302.49,301.726,301.503,300.734,299.765,296.238,291.774
1994,293.035,295.648,301.315,303.307,304.306,302.314,301.29,301.152,300.777,299.627,296.004,292.111
1995,292.086,296.779,301.027,304.831,302.894,301.987,301.291,301.164,300.991,299.411,295.625,292.486
1996,292.984,295.813,301.672,303.759,304.587,302.662,301.786,300.841,301.212,299.382,295.658,291.523
1997,292.563,296.026,301.594,301.095,303.85,302.886,301.495,301.363,300.77,299.839,297.704,292.963
1998,292.071,296.069,299.117,302.788,304.31,303.302,302.031,301.486,301.054,300.733,297.173,291.989
1999,291.24,296.712,301.719,303.836,303.634,302.45,301.422,301.115,300.693,299.625,295.294,292.665
2000,292.225,295.309,300.26,302.819,302.51,301.845,301.569,301.396,300.856,300.01,297.214,291.777
2001,291.217,296.905,301.452,303.814,303.529,301.569,301.264,301.279,301.112,300.167,297.305,291.653
2002,292.727,295.725,301.05,303.109,304.648,302.453,302.02,301.13,300.799,299.492,295.736,292.773
2003,290.597,296.91,299.682,303.662,304.723,302.955,301.798,301.714,301.124,300.358,295.785,291.874
2004,291.309,294.748,301.096,303.03,304.579,302.632,301.736,301.249,300.811,298.993,295.887,293.415
2005,292.483,297.113,301.317,303.337,303.683,303.572,301.73,301.734,301.085,299.88,294.926,291.639
2006,291.853,297.527,301.787,303.547,303.28,302.359,301.75,301.243,300.893,300.081,296.374,292.539
2007,291.631,295.669,299.647,303.577,304.257,302.893,301.602,301.331,300.935,299.462,296.239,291.105
2008,291.504,293.533,300.339,302.477,304.039,301.905,301.341,301.297,300.746,299.596,296.322,293.763
2009,293.549,297.038,301.408,304.531,302.971,303.377,302.178,301.499,301.294,298.884,296.566,292.654
2010,290.869,296.141,302.378,304.566,303.522,303.117,302.032,301.743,301.298,300.342,298.309,292.504
2011,291.487,295.925,300.897,302.64,303.357,302.631,301.616,301.236,301.049,300.479,296.689,292.423
2012,292.581,295.369,301.041,303.49,304.094,303.978,302.032,301.411,301.173,298.584,294.723,290.982
2013,290.413,295.14,301.033,303.699,303.465,302.322,302.054,301.436,301.291,299.882,295.187,292.508
2014,291.33,294.721,300.15,305.334,304.613,303.411,302.245,301.636,301.455,300.044,295.577,290.889
2015,291.609,295.686,300.457,302.141,303.6,303.022,301.558,301.734,301.681,300.605,297.585,294.319
2016,293.625,298.61,301.191,305.049,304.257,302.796,301.85,301.62,301.212,299.92,295.339,292.172
2017,292.065,296.237,299.617,302.942,304.016,303.031,301.858,301.704,301.618,300.493,295.836,292.638
2018,290.153,295.705,300.943,302.06,303.028,302.889,302.262,301.854,301.534,299.985,296.946,291.569
2019,291.635,295.997,299.28,302.99,304.072,303.786,302.753,302.049,301.361,299.998,296.454,291.97
2020,290.961,293.401,299.126,302.731,302.812,302.444,302.2,302.045,301.777,300.842,296.132,292.331
2021,292.725,295.754,302.331,303.735,303.477,302.166,302.087,301.704,301.241,300.529,296.427,292.59
2022,291.3,294.178,299.927,303.808,303.394,302.785,302.088,301.711,301.551,299.871,295.278,292.486
2023,292.545,296.608,300.808,304.056,304.489,304.367,302.722,302.109,301.739,300.167,296.634,292.703
