Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.464,299.436,301.425,302.567,301.009,297.806,297.116,296.739,296.759,297.074,296.223,294.754
1981,295.785,298.298,301.459,303.125,300.448,298.095,297.267,296.663,296.594,295.655,294.445,294.757
1982,296.31,299.358,301.62,302.759,300.49,297.734,297.424,296.883,296.631,296.98,295.375,294.094
1983,295.915,297.875,301.103,303.217,302.822,299.407,297.409,297.164,296.438,296.527,294.178,295.926
1984,296.959,299.391,301.468,302.307,303.303,298.331,296.635,296.51,297.145,296.547,295.317,296.431
1985,297.908,299.196,301.537,302.923,301.856,297.589,296.733,296.594,297.434,296.226,296.155,297.07
1986,296.239,298.302,302.082,303.818,302.598,297.84,297.2,296.66,297.189,298.061,296.12,296.728
1987,296.883,297.878,300.877,303.514,300.557,298.552,297.673,297.18,297.91,296.772,295.649,294.528
1988,295.636,299.633,301.729,302.904,303.011,298.754,297.383,297.078,296.588,296.074,294.864,295.031
1989,296.478,298.304,301.518,302.909,301.87,297.694,297.221,296.837,296.772,297.752,296.424,296.084
1990,296.542,298.304,300.353,303.627,301.554,298.322,297.132,296.841,297.385,297.882,297.416,296.669
1991,297.422,299.052,302.364,303.58,304.287,298.523,296.788,296.582,297.236,297.219,295.745,294.802
1992,294.895,298.037,301.634,304.262,302.541,299.218,297.199,296.803,297.515,297.089,295.879,292.698
1993,295.864,297.52,300.799,303.678,302.441,298.937,297.404,296.927,296.735,296.643,295.082,293.418
1994,296.032,298.586,302.366,301.599,303.461,298.116,296.959,296.606,296.444,296.465,294.625,292.815
1995,294.502,298.447,301.894,303.949,301.357,298.827,297.433,297.501,297.413,297.685,295.339,294.133
1996,296.386,298.473,301.891,303.314,303.258,298.642,297.22,296.737,296.536,295.526,294.117,293.423
1997,294.926,297.13,301.635,302.277,303.025,298.84,297.415,296.92,297.528,298.613,297.204,296.558
1998,297.032,298.42,302.066,305.362,303.288,299.551,297.83,297.524,297.142,296.322,294.983,293.411
1999,294.922,299.203,302.401,303.415,299.982,298.084,297.251,297.079,297.486,297.006,295.656,294.727
2000,296.746,298.014,301.094,303.749,301.055,297.694,296.753,296.826,297.652,297.222,296.034,294.704
2001,296.955,299.047,301.173,303.324,302.425,298.47,297.605,297.118,297.811,296.319,296.31,294.828
2002,296.088,298.976,301.989,304.812,302.263,298.787,298.365,297.362,298.211,298.347,297.25,296.079
2003,297.111,299.894,302.167,303.572,304.058,299.83,297.947,297.953,298.078,297.899,296.82,295.682
2004,296.119,298.471,302.366,303.697,300.11,297.977,297.363,297.077,297.166,297.157,296.651,295.137
2005,297.192,299.53,301.662,301.947,302.604,298.581,297.303,296.809,296.926,296.433,293.062,293.769
2006,295.413,297.927,300.811,303.512,302.275,298.142,297.15,296.759,297.604,297.142,295.779,294.026
2007,295.845,297.874,302.388,303.626,302.096,298.688,297.388,296.808,296.864,296.141,293.715,294.787
2008,295.271,297.924,299.056,300.826,301.449,298.131,297.945,297.224,297.03,297.291,296.362,294.569
2009,296.124,299.524,302.319,303.566,301.9,298.451,297.233,297.492,297.593,296.246,295.858,294.931
2010,295.471,299.491,302.838,303.754,302.996,299.366,297.322,297.089,297.041,296.836,295.798,293.23
2011,294.391,297.002,301.777,301.747,302.044,298.592,297.507,297.079,297.112,297.864,296.534,296.064
2012,296.182,299.053,301.487,302.683,302.496,298.88,297.717,297.35,297.539,297.208,295.88,296.214
2013,297.075,298.997,302.122,302.954,301.259,297.982,297.099,297.164,296.937,296.863,295.674,294.655
2014,296.518,298.046,300.971,303.121,301.705,299.818,297.877,297.277,297.13,297.003,295.084,294.476
2015,294.932,297.587,300.491,302.645,302.209,298.592,298.347,297.872,297.375,297.843,297.483,297.647
2016,296.666,300.371,302.864,304.486,303.225,298.591,297.333,297.131,296.619,296.614,295.972,295.713
2017,296.221,298.474,301.289,304.15,303.178,298.895,297.839,297.743,297.759,296.72,295.115,294.761
2018,295.871,298.126,301.195,303.692,301.774,297.858,297.33,296.952,297.411,298.011,297.763,296.474
2019,295.429,299.206,302.076,303.938,303.935,300.172,297.656,297.126,296.989,296.848,295.658,295.432
2020,296.025,298.539,301.793,302.727,302.98,298.717,297.355,297.04,296.797,296.527,295.121,294.071
2021,296.091,297.22,301.527,303.258,300.47,297.938,297.133,297.099,297.112,297.305,296.284,294.478
2022,294.649,298.21,302.051,303.043,301.22,298.63,297.506,296.855,296.757,295.921,294.731,295.818
2023,295.777,299.093,300.655,302.985,302.942,300.746,297.765,298.01,297.433,298.729,297.856,297.127
