Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.105,299.451,302.592,304.943,307.254,299.688,298.648,298.134,297.821,297.637,296.205,295.054
1981,294.168,298.171,300.577,305.658,304.734,301.741,298.499,297.552,297.408,296.168,293.215,292.542
1982,294.276,298.716,302.663,304.019,303.944,301.075,298.653,298.204,297.73,296.891,295.637,294.337
1983,295.306,299.198,302.802,306.018,307.205,303.283,299.608,298.054,297.653,296.264,292.527,293.467
1984,295.811,298.023,302.28,305.525,308.787,301.24,298.07,297.898,297.833,296.94,294.701,295.895
1985,296.731,299.125,303.042,305.761,307.432,299.339,297.812,297.767,297.926,295.884,294.654,294.918
1986,294.194,297.602,302.741,305.318,307.32,301.119,298.883,298.049,298.592,298.605,296.574,295.666
1987,295.486,297.164,300.704,305.4,304.859,303.045,299.133,298.581,299.183,297.529,295.468,293.312
1988,294.863,298.747,302.282,304.279,308.156,302.542,299.052,298.153,297.864,295.893,293.684,293.859
1989,295.288,298.44,300.291,305.785,308.0,300.646,298.74,297.501,297.43,297.007,295.262,293.735
1990,296.084,298.957,301.702,305.857,302.395,299.277,298.648,298.157,297.829,296.497,295.613,294.22
1991,296.15,299.134,303.638,306.052,308.957,301.097,298.461,297.747,298.334,296.642,294.396,293.411
1992,294.196,298.058,302.919,305.686,307.336,302.462,299.203,297.611,297.312,297.173,295.716,292.699
1993,295.392,297.23,301.85,305.179,308.144,302.832,299.134,298.136,297.714,297.148,294.357,292.422
1994,295.206,297.877,303.277,304.662,307.473,301.587,299.042,298.297,297.735,296.767,294.116,291.964
1995,292.624,297.496,301.83,304.604,303.745,302.979,298.457,298.139,297.826,296.574,293.532,292.443
1996,294.075,296.912,302.467,303.87,306.887,302.05,299.223,298.165,297.922,296.206,293.938,292.785
1997,292.801,296.405,302.171,302.575,305.694,302.969,299.733,298.723,298.177,297.855,297.251,295.896
1998,296.331,298.463,302.991,306.195,308.122,303.538,300.143,298.716,298.037,296.942,294.48,291.233
1999,292.846,297.759,302.966,305.899,303.901,300.807,299.622,298.524,298.41,297.74,295.633,293.913
2000,295.991,298.178,300.565,306.574,304.301,299.38,298.595,298.166,297.968,297.737,296.002,294.604
2001,295.72,299.019,301.897,304.175,307.395,300.207,300.022,297.943,298.5,296.735,295.579,293.511
2002,295.002,298.302,302.444,306.332,306.367,301.491,300.53,298.277,299.23,298.005,296.028,295.565
2003,296.146,299.631,302.237,305.226,307.752,303.459,298.857,298.13,298.225,297.331,294.549,293.354
2004,294.334,296.562,302.52,304.026,302.927,301.904,298.714,298.827,298.46,297.166,295.785,294.291
2005,295.848,298.343,301.629,304.374,306.339,302.858,298.706,297.953,297.793,296.634,291.795,291.69
2006,293.015,297.346,300.645,304.326,304.147,300.893,299.733,297.888,298.023,297.061,294.737,293.55
2007,294.535,297.762,302.204,304.918,307.21,301.365,299.377,298.461,297.827,295.253,293.49,294.127
2008,294.441,296.967,299.85,302.608,306.108,301.535,300.667,297.987,297.57,296.389,294.566,294.19
2009,295.028,299.478,302.401,305.395,306.528,301.975,300.301,299.727,298.649,296.87,295.661,294.31
2010,294.56,299.248,303.774,306.681,307.179,302.737,298.521,298.323,297.663,296.815,295.843,291.93
2011,292.634,296.688,301.6,303.903,306.758,302.227,299.27,298.544,298.165,297.839,296.079,295.156
2012,295.98,298.56,301.624,305.326,307.747,302.639,299.103,298.517,298.11,296.63,295.727,295.267
2013,296.411,297.677,301.846,304.233,307.077,299.84,298.351,297.838,297.812,296.784,293.926,291.766
2014,293.884,296.494,299.762,305.145,305.116,304.297,300.275,299.699,297.832,297.706,295.909,294.385
2015,294.058,297.401,300.95,302.862,306.635,301.676,301.825,300.277,299.446,299.974,298.342,297.196
2016,295.953,299.987,303.041,306.621,305.774,301.383,299.271,299.411,297.716,295.765,293.766,293.641
2017,294.645,298.284,301.713,306.245,306.874,301.261,299.698,298.471,298.445,297.196,294.888,293.265
2018,294.541,298.012,302.346,304.808,306.204,301.671,299.754,298.902,298.887,298.576,297.618,294.801
2019,294.188,298.128,302.945,305.747,307.88,303.842,300.417,298.926,298.598,297.218,295.174,294.181
2020,295.166,297.503,301.841,305.073,306.677,300.895,298.811,298.275,298.121,297.041,294.31,292.111
2021,294.476,295.709,301.313,304.475,304.771,300.418,298.887,298.41,298.061,297.016,295.507,293.119
2022,293.312,295.913,302.422,306.011,305.182,302.119,298.479,298.317,298.066,296.073,293.789,295.112
2023,294.74,298.143,300.446,303.636,304.152,304.483,299.361,298.784,298.437,296.674,296.623,293.84
