Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,291.129,294.608,299.287,305.102,307.338,301.919,299.346,298.427,297.958,297.754,295.463,291.793
1981,289.951,295.142,298.916,304.369,306.59,305.674,299.346,298.094,298.554,296.529,292.142,290.657
1982,291.493,292.194,297.396,303.004,305.235,304.715,301.025,297.914,297.975,298.044,294.261,293.251
1983,291.322,292.796,298.327,302.226,307.026,306.061,301.145,298.798,298.551,295.514,291.531,291.273
1984,290.851,291.791,300.555,304.56,307.443,304.657,300.284,297.749,297.311,296.555,294.567,293.217
1985,292.72,294.409,301.266,304.21,307.793,305.854,300.817,297.57,298.24,295.166,293.24,292.363
1986,292.157,294.364,299.309,304.954,306.699,305.448,299.264,297.45,298.142,297.13,295.343,291.296
1987,292.026,294.746,299.49,304.026,305.015,305.163,301.108,300.728,298.836,297.74,294.514,291.968
1988,293.601,295.98,299.392,305.554,308.129,304.91,299.773,298.775,299.101,296.11,293.646,291.644
1989,290.81,294.745,298.766,303.63,307.398,302.956,300.475,299.195,298.532,298.318,296.656,292.366
1990,294.327,294.637,298.046,303.99,306.523,302.843,299.249,298.924,297.745,296.364,293.047,291.429
1991,290.682,295.683,300.252,303.97,307.964,304.177,300.536,297.976,297.683,297.574,295.198,292.033
1992,292.003,293.61,299.609,303.906,306.916,305.999,301.497,298.268,297.101,296.55,293.574,292.44
1993,292.717,294.868,298.022,304.118,307.54,304.837,299.869,298.556,297.859,296.724,293.986,291.381
1994,292.673,293.219,301.285,303.219,307.79,303.076,298.472,297.572,296.74,295.711,293.387,291.212
1995,289.409,294.53,298.487,303.157,306.652,306.017,300.289,298.645,298.244,297.19,293.86,293.239
1996,291.979,294.834,300.908,303.863,306.403,305.423,300.736,297.976,297.873,295.386,292.935,290.148
1997,290.405,293.504,299.832,301.88,305.11,301.956,299.579,298.556,298.187,296.348,295.274,291.151
1998,290.848,293.418,298.421,304.826,308.19,305.008,299.866,299.356,298.902,297.248,294.059,291.18
1999,290.695,294.96,299.83,305.445,307.102,302.948,300.016,299.139,298.692,295.829,293.586,290.507
2000,291.979,292.674,297.81,305.4,304.889,303.825,299.385,298.973,298.917,299.73,296.425,293.065
2001,291.743,295.237,299.695,304.144,306.687,301.454,298.846,299.044,301.007,298.746,295.503,293.379
2002,290.649,294.022,299.576,304.195,308.008,304.422,301.733,298.973,297.89,298.113,296.287,294.057
2003,292.439,294.652,299.243,304.87,306.74,303.904,299.572,298.421,297.711,295.497,294.597,291.697
2004,290.811,294.391,301.45,304.984,306.61,304.713,300.552,298.074,298.734,295.963,294.95,292.572
2005,291.136,294.519,299.745,303.201,306.868,305.385,299.817,298.818,298.775,296.783,294.544,291.885
2006,292.581,298.148,298.101,304.331,306.886,303.999,299.652,297.997,298.251,296.99,293.933,292.417
2007,292.612,295.243,299.147,305.344,306.432,303.811,299.393,298.742,298.481,295.693,294.777,292.748
2008,291.412,292.451,300.861,304.172,306.096,301.993,299.724,298.76,298.479,298.19,295.52,294.776
2009,293.926,296.203,300.198,304.392,307.377,305.487,300.188,299.259,298.967,297.152,293.391,292.288
2010,290.524,294.733,301.51,305.572,308.204,305.106,300.495,299.217,298.184,297.58,295.372,290.518
2011,289.686,294.914,299.737,304.172,307.118,304.152,299.575,298.572,297.751,296.35,294.819,292.466
2012,290.396,293.732,298.63,304.468,306.5,304.429,300.234,298.417,298.041,296.588,292.659,292.396
2013,290.701,294.456,298.85,303.639,307.453,301.405,299.008,298.086,298.436,296.498,292.262,290.717
2014,290.157,292.872,298.399,304.608,307.326,306.977,301.178,298.652,297.932,297.191,295.227,290.274
2015,289.17,294.808,297.302,303.419,308.007,303.342,299.6,298.383,298.025,298.752,297.058,292.572
2016,292.596,295.515,300.87,304.993,307.321,305.192,299.253,297.844,297.863,295.943,293.262,291.207
2017,291.717,295.795,299.659,304.418,307.929,303.403,299.48,298.705,298.335,297.435,294.313,292.239
2018,292.483,296.103,300.695,305.134,308.085,304.86,299.268,298.063,297.312,297.84,295.67,290.817
2019,290.179,293.738,298.801,305.091,306.889,306.399,300.016,298.178,298.018,296.161,293.921,289.181
2020,288.603,292.503,297.56,304.539,307.852,301.801,300.31,299.011,298.815,297.31,293.11,291.303
2021,292.519,295.442,300.868,304.4,305.707,302.532,300.834,298.45,298.602,296.577,292.497,290.193
2022,288.895,293.198,301.462,306.307,307.342,303.938,299.237,298.256,298.499,295.587,292.436,291.436
2023,289.579,295.058,298.691,302.556,304.952,303.564,300.175,298.36,298.527,296.304,293.875,291.64
