Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,291.664,295.113,299.285,304.956,307.011,301.808,300.501,300.192,299.484,297.116,293.024,290.682
1981,290.076,293.431,298.396,303.167,303.771,303.212,300.378,300.102,299.218,296.329,292.604,290.043
1982,292.031,293.181,296.982,303.788,306.621,303.296,301.813,299.938,299.47,297.637,293.977,291.221
1983,291.234,294.431,300.197,303.786,306.088,305.937,301.867,300.721,299.7,296.904,293.72,291.025
1984,291.188,293.227,300.683,305.685,306.471,301.753,300.242,299.612,298.504,297.137,292.1,290.44
1985,291.559,293.543,301.724,305.964,306.015,304.33,300.03,300.044,299.139,296.335,292.24,290.434
1986,290.111,294.179,300.095,304.859,304.151,304.339,300.536,300.28,299.422,296.557,293.956,291.353
1987,290.175,294.993,299.887,305.002,306.569,306.307,301.557,300.414,299.796,297.061,292.903,290.081
1988,290.665,295.0,299.357,304.785,307.255,303.227,300.746,300.276,299.758,296.676,293.657,291.861
1989,289.761,294.798,300.173,305.448,306.096,303.364,300.874,300.069,299.834,297.741,294.647,290.96
1990,292.351,295.508,298.551,304.308,305.008,302.746,300.169,299.968,299.486,296.621,293.461,290.305
1991,289.786,296.291,301.055,305.173,309.38,303.229,301.532,300.134,299.11,296.564,292.111,289.851
1992,289.174,292.516,300.607,305.809,305.883,304.533,301.196,299.809,299.065,297.402,294.612,290.977
1993,291.957,295.972,299.266,303.179,306.155,303.394,300.832,300.345,298.911,297.335,293.216,289.265
1994,291.378,293.034,300.635,304.61,307.128,303.54,300.076,299.836,298.743,296.849,293.461,289.531
1995,289.198,294.007,299.009,305.382,305.268,304.216,300.76,300.077,299.329,296.894,292.566,290.11
1996,290.766,293.664,300.823,305.315,308.843,302.846,300.576,299.713,299.547,296.418,293.299,289.325
1997,290.324,293.578,300.685,302.046,306.717,305.13,300.339,299.863,299.15,297.003,294.63,289.744
1998,289.342,292.89,296.314,302.871,306.431,305.425,300.778,300.38,299.498,298.346,294.056,288.931
1999,288.92,295.405,300.404,305.877,305.285,302.196,300.465,299.826,299.152,297.029,292.303,289.868
2000,289.891,292.907,298.934,305.716,305.148,302.086,300.737,300.215,299.293,297.546,294.41,289.63
2001,290.176,295.656,299.905,304.54,306.066,300.87,299.996,300.141,299.464,297.705,294.158,289.587
2002,290.581,294.589,299.917,305.166,307.196,303.57,301.29,299.884,298.974,296.665,292.894,290.31
2003,288.938,294.842,298.4,305.352,306.372,305.068,300.946,300.286,299.674,297.533,292.35,288.993
2004,288.877,292.196,300.385,304.844,307.127,302.687,300.528,300.064,299.237,296.779,292.543,290.555
2005,290.153,294.672,300.989,304.493,307.032,306.769,300.871,300.533,299.596,297.535,292.355,289.986
2006,290.949,297.074,300.226,304.949,304.661,301.351,300.337,299.635,299.175,297.483,293.713,290.358
2007,289.876,293.442,297.786,304.456,305.729,304.148,300.37,299.852,299.292,296.48,293.112,288.924
2008,289.465,291.222,299.625,304.164,306.194,301.391,299.937,299.865,299.204,297.217,293.625,291.311
2009,291.572,295.503,300.081,305.081,304.554,304.846,301.107,300.228,299.673,296.058,293.606,290.614
2010,289.212,294.511,301.888,307.1,305.928,305.532,301.722,301.012,299.883,297.927,295.945,290.179
2011,289.508,294.551,300.821,303.238,305.287,302.94,300.301,299.682,299.221,297.556,293.215,289.729
2012,289.859,293.268,298.976,304.666,306.915,306.431,301.15,299.898,299.229,295.381,291.467,288.487
2013,288.125,292.926,299.515,303.923,306.607,301.557,300.787,299.858,299.501,297.415,292.264,289.588
2014,289.219,292.477,297.362,305.345,306.408,304.944,301.065,300.129,299.64,297.358,292.944,288.846
2015,289.542,294.669,299.775,302.971,305.269,303.677,300.491,300.203,299.916,297.875,295.228,291.953
2016,291.571,296.982,301.275,307.74,305.849,303.684,300.5,299.9,299.437,296.979,292.31,289.751
2017,290.632,295.221,299.592,305.412,305.829,303.272,300.264,300.091,300.131,298.358,293.302,290.435
2018,288.226,294.686,300.529,302.392,304.748,303.833,301.114,300.324,299.599,297.012,294.198,289.205
2019,289.715,294.201,298.516,304.087,305.761,305.663,301.561,300.443,299.505,296.963,293.418,288.846
2020,288.262,290.842,297.096,302.173,303.734,301.598,300.727,300.5,299.864,298.222,293.056,290.128
2021,290.693,294.264,301.113,304.577,303.049,301.025,300.454,300.069,299.412,297.979,293.362,289.615
2022,288.403,291.19,298.595,306.159,304.636,303.969,300.905,300.17,299.685,297.145,292.109,290.218
2023,290.19,294.38,299.346,303.662,305.386,306.099,302.158,300.473,300.094,297.366,293.734,290.039
