Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,294.912,298.956,303.586,306.162,307.171,301.737,301.671,300.929,300.785,299.836,297.274,296.039
1981,296.712,299.503,302.705,306.723,306.275,302.773,301.911,300.821,298.89,298.109,295.595,294.678
1982,294.878,299.85,303.985,306.33,304.703,301.393,300.608,301.32,301.491,299.467,296.938,295.321
1983,296.484,301.783,304.816,307.54,307.651,302.746,301.621,300.489,299.285,298.439,296.287,296.306
1984,297.599,298.209,301.185,305.703,307.618,303.495,300.899,301.525,301.14,298.86,297.082,295.974
1985,296.525,300.743,303.789,307.543,306.83,301.602,300.706,300.485,300.665,298.679,296.136,295.723
1986,295.242,298.04,303.164,306.596,307.921,301.636,301.656,302.062,301.387,299.581,297.206,297.146
1987,297.011,298.448,302.565,306.836,306.532,303.207,302.746,300.959,301.805,299.205,297.245,295.676
1988,295.45,300.736,304.538,305.433,307.379,303.191,300.634,300.159,298.86,299.107,297.005,296.139
1989,296.804,299.717,302.378,306.989,307.558,303.318,300.381,300.845,300.262,300.071,297.613,296.052
1990,297.238,300.778,304.591,306.767,303.393,301.479,301.505,301.326,301.7,299.722,297.671,296.388
1991,298.075,300.768,304.484,307.383,309.269,301.824,301.079,301.492,301.405,299.771,295.687,294.254
1992,293.593,299.798,303.552,306.409,307.153,303.478,300.676,300.686,300.688,299.624,297.377,294.049
1993,296.184,298.749,303.675,306.672,308.302,303.657,302.198,301.136,299.853,298.279,296.236,294.276
1994,295.291,298.851,303.436,306.591,307.189,303.358,301.641,301.569,302.109,298.743,296.274,293.806
1995,295.023,298.732,302.73,305.727,303.47,303.66,301.071,300.316,299.468,298.442,297.283,295.404
1996,297.04,299.276,303.651,304.757,307.475,301.945,301.025,300.515,299.557,297.957,296.233,294.719
1997,294.652,298.243,303.397,304.177,306.702,303.979,302.079,301.457,300.109,299.941,298.31,296.843
1998,296.804,300.082,304.451,307.411,307.814,304.664,301.514,300.048,299.531,298.327,296.901,294.388
1999,295.312,299.267,304.327,306.075,304.529,302.713,301.713,301.172,300.906,298.551,297.153,295.239
2000,297.213,300.437,302.122,307.31,305.237,301.581,300.667,300.288,300.324,298.596,297.727,295.068
2001,296.928,300.549,304.599,304.16,306.948,303.081,302.546,301.451,300.117,298.337,296.758,294.529
2002,295.806,297.552,303.166,306.675,305.284,302.574,303.541,302.08,302.239,299.308,296.667,295.509
2003,296.775,300.954,303.28,306.449,308.672,304.728,301.733,301.319,301.51,299.444,296.875,296.074
2004,296.781,299.344,303.779,305.958,301.82,301.862,300.504,301.863,300.299,299.14,296.354,295.062
2005,297.634,300.374,303.76,305.106,305.787,302.378,301.088,300.6,299.797,298.646,295.072,294.489
2006,294.752,297.32,302.031,306.183,305.32,302.095,302.156,301.954,300.663,300.287,296.813,295.079
2007,295.879,298.908,303.637,305.8,305.214,301.559,300.577,299.711,299.253,298.185,295.597,295.601
2008,295.9,299.444,301.0,304.911,306.512,302.109,301.453,300.55,299.659,299.025,297.128,295.199
2009,295.761,300.143,303.712,306.641,305.88,301.787,302.358,302.029,300.19,299.304,297.493,295.695
2010,296.236,299.58,304.27,307.165,306.341,302.435,300.378,300.361,299.636,299.562,297.378,294.979
2011,295.251,298.331,302.414,304.315,305.729,302.688,301.656,300.713,301.15,300.293,296.97,296.053
2012,296.602,299.39,303.539,305.254,306.519,304.034,302.041,301.636,301.139,299.502,297.496,296.581
2013,297.504,299.175,303.037,306.386,306.361,301.672,300.837,300.957,299.406,298.808,297.188,295.7
2014,296.908,299.376,302.289,306.416,305.791,303.577,302.545,301.722,300.328,299.579,296.571,295.615
2015,295.826,298.122,302.065,304.538,305.14,302.069,302.93,301.809,300.559,299.267,296.908,294.954
2016,294.97,298.836,303.488,307.727,305.925,301.015,301.082,301.503,300.568,301.053,299.258,296.18
2017,296.733,299.104,303.664,307.759,307.103,302.127,301.7,300.834,299.38,298.471,296.875,295.605
2018,296.285,298.482,303.347,306.855,306.413,303.025,303.105,302.296,301.991,300.661,299.232,297.327
2019,296.381,300.638,304.764,307.098,307.894,304.565,302.699,301.311,300.153,298.76,297.544,296.064
2020,297.359,299.369,303.849,306.021,307.199,302.584,300.559,300.41,299.2,298.895,297.288,294.916
2021,295.837,296.594,301.762,305.452,304.603,301.568,300.321,300.844,300.692,300.142,297.677,295.189
2022,296.124,297.878,303.159,306.307,303.968,301.358,300.69,300.744,300.409,298.636,296.969,296.534
2023,295.291,299.116,301.365,305.577,305.803,305.081,302.221,303.08,301.108,301.242,299.548,296.323
