Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.061,293.38,298.657,306.375,310.238,306.325,301.946,301.353,299.976,297.138,292.634,288.346
1981,288.365,292.446,297.578,304.783,309.459,309.809,302.453,301.397,300.604,296.515,291.855,288.421
1982,289.133,289.082,294.925,303.149,306.504,308.333,306.599,301.833,299.471,297.924,292.768,289.405
1983,288.163,290.658,297.895,302.507,308.41,309.381,306.206,302.511,301.009,296.913,292.031,289.799
1984,288.283,289.946,299.642,305.807,310.044,309.17,305.712,304.114,299.663,298.175,293.728,290.213
1985,289.159,292.12,300.521,305.654,309.726,310.695,304.852,302.638,300.459,295.392,291.586,288.211
1986,286.552,289.797,297.295,304.948,308.149,309.944,302.964,302.213,302.173,299.861,295.572,290.257
1987,289.677,293.866,299.491,305.091,306.946,312.151,308.206,306.749,302.782,299.131,294.245,290.791
1988,290.333,293.837,298.882,306.423,310.638,310.367,303.413,301.657,301.51,297.959,295.029,291.035
1989,287.465,291.938,298.303,304.133,309.289,308.949,304.88,303.38,301.654,298.586,294.863,290.479
1990,291.7,292.956,297.213,304.58,309.607,309.858,303.19,301.406,300.68,297.749,294.217,290.342
1991,289.026,294.469,300.11,304.698,310.487,308.98,308.29,301.93,300.086,296.379,292.204,289.803
1992,289.064,291.035,298.858,305.167,308.37,310.799,306.332,303.464,300.647,298.591,294.72,291.031
1993,289.882,294.547,296.58,304.454,309.447,309.134,305.866,306.248,300.624,298.942,295.435,290.467
1994,291.557,291.64,300.398,304.127,310.001,309.854,303.988,301.947,300.235,298.911,295.761,291.323
1995,288.485,293.25,298.661,305.182,309.798,310.602,306.167,302.331,300.502,299.804,294.834,291.256
1996,289.742,292.127,299.311,304.752,309.497,309.019,304.942,301.457,300.81,296.794,293.057,288.915
1997,288.55,291.727,298.764,303.051,307.754,308.75,305.386,302.978,300.841,298.939,295.415,288.56
1998,287.728,291.641,295.983,305.153,309.691,309.563,303.322,302.057,301.121,299.382,294.912,290.337
1999,288.821,293.726,299.625,306.153,309.722,309.439,306.605,302.93,300.683,298.041,294.494,290.484
2000,289.717,291.102,297.989,305.987,309.392,306.806,304.247,303.425,300.448,298.225,294.747,289.897
2001,288.573,293.249,298.912,304.849,309.03,307.26,304.134,302.744,302.843,298.871,294.698,289.982
2002,288.465,292.244,299.424,306.015,309.653,309.584,309.617,303.443,300.118,298.449,295.025,290.573
2003,287.596,292.37,298.077,305.625,308.197,310.494,305.196,302.905,300.717,296.933,292.259,289.104
2004,287.638,291.646,299.959,306.519,309.245,306.689,303.121,302.716,302.295,298.63,294.313,290.221
2005,288.64,292.964,300.179,304.006,307.676,310.838,302.819,303.038,301.265,298.88,293.734,289.149
2006,289.487,296.396,298.255,304.664,309.424,306.946,303.491,302.046,302.634,300.996,295.456,291.181
2007,289.626,292.436,297.184,306.325,307.971,309.576,304.791,302.063,301.508,298.18,294.482,289.664
2008,289.371,291.527,300.571,304.69,308.115,304.65,301.596,301.308,300.262,297.835,292.24,289.258
2009,288.784,292.339,298.494,305.161,309.013,310.494,306.262,303.745,300.79,296.176,291.932,288.863
2010,287.711,292.166,300.185,307.201,309.983,310.635,305.497,302.689,300.284,298.274,294.761,288.651
2011,287.041,292.495,299.289,304.636,310.056,307.781,302.739,301.558,300.702,298.024,294.13,289.054
2012,287.374,290.844,297.645,305.012,309.347,312.131,304.846,301.968,300.114,297.409,292.148,288.824
2013,287.199,291.432,298.095,304.922,309.874,306.442,302.875,301.883,301.819,298.464,292.551,289.286
2014,288.377,290.624,296.973,304.658,309.314,312.188,305.777,304.75,302.624,299.931,294.158,288.334
2015,287.777,293.205,296.487,302.622,309.287,310.262,304.482,304.315,304.222,301.452,297.564,290.421
2016,290.543,294.398,300.438,307.084,309.484,309.095,302.937,301.794,301.12,298.727,293.319,289.773
2017,289.229,293.249,298.995,306.945,310.351,309.517,302.313,302.074,301.57,299.908,293.84,290.678
2018,288.775,294.7,300.847,305.589,309.438,309.923,304.722,301.443,300.015,297.658,293.272,288.281
2019,287.568,291.363,296.994,305.734,309.508,310.74,303.796,302.065,300.549,296.826,293.145,286.55
2020,285.973,289.327,296.315,303.013,307.534,306.013,302.868,301.977,301.677,300.168,294.01,289.836
2021,289.735,294.29,301.153,304.729,305.618,305.441,304.387,301.849,300.882,297.756,291.124,287.716
2022,285.887,289.635,299.388,307.482,308.564,310.005,305.426,302.043,301.152,297.166,291.745,287.876
2023,287.148,292.944,298.538,303.088,305.808,308.483,303.475,301.841,301.266,299.011,295.258,290.236
