Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,285.486,289.555,294.139,303.751,309.442,309.912,304.295,302.853,301.939,298.51,292.899,287.41
1981,286.084,288.775,293.431,301.823,308.564,310.985,304.532,303.356,303.386,298.109,291.55,286.858
1982,286.151,286.701,291.074,298.839,301.381,307.883,308.033,304.47,303.539,299.957,293.456,287.767
1983,285.641,288.043,293.806,299.015,305.877,309.291,308.284,305.8,304.111,298.434,292.654,287.858
1984,285.436,286.779,296.756,302.794,309.387,310.504,306.623,304.137,300.321,296.943,291.978,287.141
1985,286.033,289.636,297.324,302.325,308.15,310.138,305.981,303.347,303.045,296.654,291.757,288.478
1986,285.41,288.059,294.198,302.285,306.364,309.414,306.466,304.971,303.222,298.777,293.859,286.427
1987,287.209,290.588,295.813,302.629,303.625,309.024,310.856,308.328,306.09,300.017,293.599,288.412
1988,287.879,290.301,294.865,304.265,309.865,311.247,305.447,302.961,302.658,296.686,292.332,288.487
1989,284.906,287.725,294.511,300.739,307.339,309.254,307.779,305.306,303.768,299.151,293.607,287.97
1990,287.91,289.228,293.302,300.682,308.78,311.232,306.283,304.271,301.863,297.217,293.187,287.969
1991,286.255,290.502,296.592,300.682,308.028,308.44,309.27,304.712,302.641,297.795,292.354,288.972
1992,286.79,288.012,294.009,301.046,306.284,310.289,306.552,304.21,301.197,298.138,292.312,288.944
1993,286.357,291.56,293.2,301.137,308.65,310.009,304.6,305.769,302.326,298.411,294.062,288.817
1994,287.828,289.226,297.55,300.842,308.176,310.502,305.252,302.678,299.704,296.972,293.627,288.047
1995,285.411,289.025,293.385,299.804,308.04,310.34,307.841,302.31,300.586,298.437,292.572,288.465
1996,286.739,289.771,295.509,301.709,306.508,307.978,306.893,302.973,301.169,296.957,291.688,287.266
1997,285.849,289.333,295.031,299.88,305.064,308.27,308.056,303.524,302.45,297.282,292.331,286.798
1998,285.314,288.863,293.268,303.035,308.545,308.444,306.63,305.638,303.768,298.98,293.596,288.77
1999,286.305,290.459,296.948,304.039,308.478,309.44,308.648,306.28,305.237,299.654,294.429,289.463
2000,287.237,287.401,294.942,304.65,309.586,307.52,305.129,305.855,304.208,299.868,294.174,289.096
2001,285.744,290.655,296.426,302.164,308.369,307.662,305.408,304.591,303.883,300.238,294.095,288.914
2002,287.178,289.247,296.7,304.122,309.717,310.643,310.507,306.651,301.844,299.092,293.903,289.399
2003,286.347,289.62,294.813,303.354,307.057,310.63,304.331,303.445,302.32,298.073,291.91,288.697
2004,286.423,290.197,298.604,304.779,307.083,308.229,308.929,303.232,303.507,297.568,293.666,289.171
2005,285.641,287.994,295.867,300.448,306.678,310.398,305.65,306.766,303.219,298.431,292.378,287.285
2006,286.097,294.486,295.252,302.853,309.407,308.249,306.416,304.605,302.406,299.655,293.183,287.383
2007,286.261,289.276,293.717,303.832,308.248,309.921,308.085,305.793,304.075,298.803,293.925,287.387
2008,285.281,288.456,298.784,301.732,306.223,305.766,304.444,301.781,300.355,297.795,292.763,289.178
2009,287.768,290.291,296.24,301.141,308.22,309.977,308.379,306.329,302.152,298.351,292.336,288.104
2010,286.71,290.377,299.428,305.702,309.212,308.715,305.077,303.052,300.53,298.274,293.124,286.563
2011,284.636,289.23,295.992,301.067,308.872,307.588,305.416,303.175,300.764,297.987,293.6,287.506
2012,284.884,287.6,295.357,301.845,307.493,311.171,308.206,304.951,301.447,297.373,291.884,287.265
2013,284.542,288.641,295.254,302.039,308.462,308.667,305.677,302.131,301.826,299.223,291.53,287.424
2014,286.049,288.073,293.878,300.192,306.213,311.28,308.193,307.04,300.853,298.034,292.051,286.275
2015,285.243,290.056,293.258,300.547,307.152,308.111,304.168,303.654,302.307,299.043,293.443,288.004
2016,287.507,290.319,296.526,303.502,308.265,309.388,305.863,303.718,303.183,299.453,293.533,289.643
2017,286.015,289.925,294.981,303.501,308.418,307.631,305.597,303.465,301.49,298.944,291.955,287.801
2018,285.932,290.331,297.015,303.05,307.725,308.04,304.043,303.135,300.614,296.817,291.859,286.064
2019,284.657,287.14,292.746,302.384,306.117,309.893,305.811,302.765,301.536,297.038,292.309,285.233
2020,284.143,288.126,292.385,299.403,305.127,307.353,305.867,303.601,302.972,298.973,291.613,286.756
2021,285.47,291.18,297.834,301.062,305.658,307.382,306.009,303.434,301.345,297.863,291.511,286.544
2022,284.9,287.665,297.356,305.156,307.65,308.691,303.712,301.846,301.395,296.719,291.906,287.651
2023,284.889,291.3,295.588,299.702,303.404,306.1,303.007,302.304,300.641,296.341,292.327,287.293
