Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,286.984,291.75,296.319,305.017,309.694,308.146,303.028,302.167,301.654,299.142,294.044,289.108
1981,288.086,291.471,296.408,304.143,308.724,310.46,302.686,302.332,303.146,298.363,292.084,287.606
1982,287.661,288.746,294.111,301.273,302.686,307.525,306.502,301.877,299.788,298.107,293.662,288.901
1983,286.858,289.071,295.493,299.853,306.093,308.388,306.914,302.501,300.999,297.153,292.148,288.481
1984,286.549,288.413,298.758,304.189,309.698,310.754,306.242,304.848,299.058,296.542,292.652,289.067
1985,287.614,290.886,299.085,304.073,308.572,308.783,304.651,301.869,299.946,294.764,291.346,288.611
1986,286.506,288.853,295.592,303.324,307.251,309.68,305.406,304.671,303.149,299.095,294.319,287.892
1987,288.336,291.907,297.682,303.56,305.228,310.751,310.634,308.132,304.583,300.267,294.396,289.705
1988,289.35,292.24,296.012,305.248,310.055,310.533,304.288,301.298,300.724,296.232,292.984,288.999
1989,285.713,289.075,296.233,302.205,308.125,309.844,307.351,305.383,302.267,299.259,294.136,289.253
1990,290.255,290.769,294.268,302.473,308.307,310.367,304.908,301.884,300.815,296.775,293.187,288.726
1991,287.116,291.577,297.362,303.064,309.026,308.849,309.06,303.478,299.924,296.444,291.896,289.076
1992,287.852,289.503,296.636,302.968,307.371,310.868,306.618,303.651,301.199,298.33,293.49,290.081
1993,288.18,292.998,295.124,303.105,309.052,309.009,304.123,304.166,300.968,298.083,293.992,289.438
1994,289.599,290.302,298.873,302.044,309.327,310.634,304.643,301.645,299.072,297.249,294.012,289.389
1995,286.502,290.697,295.608,302.715,308.968,310.563,307.586,302.129,300.202,297.651,292.921,289.571
1996,288.175,291.136,297.574,303.593,307.764,308.746,304.507,301.278,300.022,295.639,291.521,287.533
1997,286.738,290.551,296.532,301.361,306.039,307.387,306.851,303.513,302.848,298.486,293.698,287.523
1998,286.266,289.698,294.558,303.791,308.384,308.711,304.578,302.905,301.336,297.313,292.509,288.525
1999,286.904,291.023,297.37,304.798,308.956,309.663,306.562,304.352,302.304,298.758,293.99,289.618
2000,288.239,288.716,295.803,304.856,309.021,306.867,303.971,303.22,301.931,299.244,294.548,289.397
2001,287.008,291.573,297.35,303.154,308.537,307.354,304.667,303.215,303.551,300.213,294.794,289.658
2002,287.396,290.168,297.074,304.772,309.491,309.216,311.027,304.186,299.97,298.417,293.991,289.491
2003,286.614,290.564,296.382,304.589,307.43,309.98,303.265,302.228,300.48,296.206,291.113,287.982
2004,286.243,290.282,298.665,305.237,307.281,307.824,305.845,302.067,301.583,297.837,293.39,289.34
2005,287.186,290.356,297.684,302.451,307.435,310.74,303.643,304.261,301.477,296.632,292.141,287.306
2006,287.429,295.585,296.526,303.964,308.627,307.427,304.091,302.586,301.886,300.282,294.32,289.355
2007,288.195,290.822,295.328,304.885,307.74,309.128,304.863,302.002,301.437,297.233,293.152,288.053
2008,287.436,289.731,299.63,303.254,306.519,305.113,303.021,301.173,299.889,297.003,292.108,289.512
2009,288.261,291.261,297.733,303.481,308.846,309.868,307.538,303.882,300.401,295.985,292.386,288.336
2010,287.339,291.062,299.526,306.562,309.843,310.727,304.617,301.682,299.485,296.96,292.167,286.136
2011,284.161,289.728,295.699,302.225,308.977,307.445,302.776,301.43,299.936,296.932,292.884,288.086
2012,285.835,289.132,296.201,303.408,308.371,311.712,306.235,301.975,299.627,296.414,291.526,287.498
2013,285.198,289.135,296.08,303.249,308.84,306.833,302.715,301.185,299.879,296.859,289.799,286.858
2014,286.087,288.25,294.195,301.387,307.237,310.947,306.547,304.241,302.211,299.443,293.46,287.399
2015,285.914,291.575,294.623,301.281,308.394,308.513,303.983,302.643,302.501,299.623,295.051,289.267
2016,288.843,292.134,298.294,305.447,308.732,309.74,303.802,301.737,301.691,299.104,293.558,289.801
2017,287.707,291.38,297.18,305.31,309.137,308.135,303.963,303.457,301.408,298.908,292.404,288.771
2018,286.87,292.571,298.859,304.395,308.493,309.504,304.766,301.756,299.591,296.692,292.673,286.647
2019,286.1,288.991,294.837,303.987,307.387,310.824,306.517,303.011,302.421,298.586,294.444,286.265
2020,286.096,289.181,294.677,301.623,306.807,307.97,305.739,302.895,303.176,299.383,292.903,288.632
2021,286.66,292.012,299.225,303.346,304.958,306.203,304.899,301.805,300.278,296.979,290.25,286.443
2022,285.047,288.058,297.857,305.845,308.014,308.998,305.542,303.979,302.69,296.692,291.533,287.518
2023,285.932,291.845,296.807,301.066,304.193,306.785,303.434,302.264,301.505,298.337,293.866,289.238
