Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,284.504,286.633,290.836,295.422,295.567,296.594,296.912,296.532,296.013,292.535,289.004,286.627
1981,284.869,286.443,289.993,292.9,295.269,296.438,296.621,296.742,295.57,293.31,289.661,286.158
1982,285.908,286.23,290.603,292.775,295.993,296.015,296.434,296.724,295.491,292.99,288.881,285.357
1983,284.31,285.91,290.032,292.707,294.926,297.155,297.032,296.495,295.594,293.876,289.409,285.394
1984,284.017,287.415,291.933,295.574,295.733,297.058,295.877,296.843,294.543,293.564,289.339,286.11
1985,285.767,286.637,292.162,294.476,296.231,297.176,295.569,296.858,295.417,293.418,288.862,286.477
1986,285.893,287.387,291.552,294.368,296.432,298.449,296.583,297.321,295.156,292.109,289.395,287.097
1987,286.737,288.422,290.904,294.421,295.978,297.905,296.804,296.56,295.384,292.821,290.813,287.942
1988,286.347,288.708,290.768,295.069,296.319,296.91,296.83,296.257,295.516,293.738,290.12,287.427
1989,284.005,286.107,290.647,294.628,297.081,297.527,296.645,296.983,295.906,293.524,288.651,285.484
1990,286.542,287.179,290.02,292.537,296.025,296.585,296.678,297.49,295.649,292.898,290.52,286.333
1991,284.691,288.128,292.664,295.019,296.661,296.761,297.471,296.954,295.255,293.229,288.259,285.192
1992,284.233,284.729,290.5,295.018,295.53,297.529,296.219,297.079,296.318,292.698,289.276,285.331
1993,284.315,287.886,290.011,293.857,295.379,296.409,297.094,296.537,295.441,293.338,289.671,287.45
1994,286.835,286.649,291.57,294.2,296.815,297.293,297.373,297.47,296.49,292.762,290.261,286.514
1995,285.146,287.372,292.087,295.654,297.494,297.3,296.51,296.682,295.353,293.951,289.865,285.789
1996,284.587,287.784,292.152,294.932,296.406,297.546,296.874,296.734,296.183,293.674,289.964,287.39
1997,285.027,285.779,291.696,293.007,296.03,296.498,296.974,296.672,294.881,292.242,289.733,286.089
1998,284.356,287.527,289.802,294.535,297.103,297.485,296.931,296.837,296.515,294.865,291.233,287.77
1999,286.323,290.646,292.15,297.427,296.513,297.979,297.351,296.839,296.184,293.9,290.159,287.271
2000,285.88,286.188,290.802,294.79,296.545,297.368,297.286,297.261,295.818,294.099,289.802,287.229
2001,285.258,288.593,291.739,295.157,296.923,297.15,298.344,298.41,296.596,294.616,290.98,287.571
2002,286.651,289.062,292.378,294.671,296.241,297.548,297.126,296.753,295.803,293.17,290.578,286.658
2003,285.62,288.065,290.699,295.15,296.498,297.166,297.288,297.833,296.965,293.738,289.464,286.748
2004,285.497,287.65,292.43,293.797,296.095,296.858,296.315,297.612,295.402,292.608,289.421,286.76
2005,285.757,288.621,291.847,294.202,295.392,298.108,297.843,297.491,296.765,293.648,289.563,287.752
2006,286.504,289.888,292.186,294.485,296.699,297.05,297.844,298.066,296.472,294.57,290.015,287.308
2007,286.112,286.655,290.85,294.079,296.253,296.711,296.759,297.471,295.611,293.618,290.109,286.31
2008,285.63,286.154,291.607,294.99,296.257,296.529,296.485,296.073,295.784,293.303,289.212,287.078
2009,286.447,288.76,291.748,294.914,296.454,296.951,297.466,296.8,295.998,293.526,289.765,285.868
2010,286.382,287.81,292.386,294.322,295.425,296.166,296.515,296.613,295.55,293.385,289.652,286.062
2011,284.016,287.248,290.382,293.603,295.49,296.46,296.293,296.221,296.073,293.309,288.655,286.335
2012,284.318,287.296,290.89,293.443,296.483,296.768,296.84,296.81,295.738,293.619,289.947,286.935
2013,285.985,290.298,292.813,294.507,295.379,297.357,296.725,296.354,295.728,293.011,289.866,285.954
2014,286.28,287.123,291.219,295.704,296.171,297.509,297.244,296.584,295.83,293.891,290.826,288.325
2015,287.195,288.94,292.648,293.603,296.308,297.021,296.204,296.396,296.142,293.688,290.31,286.001
2016,285.112,288.592,292.269,295.099,295.578,296.773,296.404,297.41,296.076,294.718,290.75,288.177
2017,287.003,288.819,290.644,293.478,295.933,296.589,296.641,296.765,296.286,294.164,290.191,287.602
2018,284.988,287.809,291.161,293.687,295.22,296.589,297.056,297.069,296.144,292.687,289.124,286.847
2019,285.932,287.669,290.39,294.428,295.995,297.426,296.747,297.708,295.84,293.807,290.967,285.805
2020,284.798,286.918,290.979,293.328,295.534,296.356,296.377,296.911,296.375,295.486,290.313,286.608
2021,285.997,288.349,291.93,294.766,296.157,296.719,297.398,296.379,296.759,294.849,289.747,287.492
2022,285.642,285.186,292.968,294.594,295.269,295.559,297.342,297.338,296.361,293.802,290.243,287.219
2023,286.205,288.552,291.246,294.64,295.93,297.439,297.825,296.988,297.23,294.231,290.621,288.085
