Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,293.513,296.552,300.944,305.255,304.753,302.154,301.453,301.429,300.891,299.363,295.47,292.828
1981,292.892,295.575,300.044,302.041,302.034,302.15,301.342,301.258,300.836,299.01,295.202,291.747
1982,293.439,295.436,299.138,303.265,304.35,302.32,302.049,300.86,300.958,299.811,296.26,293.348
1983,293.775,296.55,301.524,305.058,303.717,303.723,303.144,301.663,301.06,299.08,297.191,293.321
1984,293.231,296.282,301.8,304.499,303.437,301.823,301.193,301.016,300.131,299.4,294.589,292.841
1985,294.246,296.222,302.447,305.298,304.346,303.562,301.2,301.468,300.519,298.474,294.987,293.336
1986,292.516,297.321,302.428,304.627,303.882,303.27,301.271,301.481,300.483,298.026,295.358,292.222
1987,291.413,296.469,301.384,304.116,303.53,303.405,302.067,301.296,301.026,299.297,295.843,293.302
1988,293.581,297.251,301.226,304.243,304.255,302.696,301.434,301.495,300.978,298.747,296.354,293.623
1989,291.233,296.623,301.46,304.882,304.671,302.348,301.515,300.969,300.805,299.345,295.177,292.413
1990,293.504,297.392,299.444,302.828,303.518,302.45,301.111,301.24,300.63,297.98,295.841,292.224
1991,292.524,298.357,303.581,305.578,305.616,302.265,301.574,301.479,300.724,298.666,293.843,291.97
1992,291.34,295.358,301.704,306.13,304.167,302.492,301.144,300.937,300.583,299.361,296.489,293.026
1993,293.394,297.494,300.634,303.388,303.814,302.564,301.637,301.309,300.239,299.0,295.062,291.223
1994,292.963,295.103,301.798,304.158,305.047,302.348,301.189,301.002,300.182,298.952,295.888,292.022
1995,292.082,296.585,301.426,306.015,303.604,302.227,301.209,300.948,300.553,298.824,294.725,291.02
1996,291.981,295.867,302.464,304.633,305.523,302.979,301.667,300.704,300.765,298.422,294.564,291.296
1997,292.207,295.776,302.086,301.01,304.322,302.569,301.337,301.09,300.405,298.739,296.921,292.285
1998,291.6,295.872,298.511,302.805,305.097,303.404,301.96,301.335,300.836,300.155,296.152,290.669
1999,290.511,297.11,301.995,305.44,304.127,302.52,301.226,300.911,300.279,299.098,294.229,291.948
2000,291.742,295.058,300.957,303.82,302.125,301.726,301.4,301.174,300.427,299.573,296.14,290.859
2001,290.567,296.882,301.576,304.626,303.605,301.243,301.128,301.313,300.779,299.547,296.339,290.296
2002,291.817,295.655,301.54,304.071,305.434,302.091,301.702,300.914,300.402,298.695,294.884,291.579
2003,289.997,297.039,299.493,304.42,305.671,303.095,301.611,301.562,300.864,299.776,294.538,291.03
2004,290.695,294.665,301.819,304.002,305.663,302.499,301.465,301.21,300.427,298.061,294.675,292.472
2005,291.734,297.403,301.667,304.1,304.181,304.14,301.734,301.714,300.757,299.27,293.728,290.748
2006,290.961,297.838,302.132,304.547,303.608,302.14,301.574,301.037,300.599,299.461,295.355,291.853
2007,291.066,295.381,299.707,304.467,304.622,302.745,301.268,301.155,300.551,298.774,295.183,289.856
2008,290.702,292.885,300.962,303.076,304.27,301.597,301.125,301.027,300.322,298.844,295.424,293.134
2009,292.959,296.678,301.378,305.394,303.203,302.941,302.065,301.186,300.803,298.201,295.592,291.585
2010,290.528,295.922,302.782,305.75,303.357,302.789,301.804,301.416,300.805,299.703,297.47,291.525
2011,290.645,296.05,301.436,303.16,303.453,302.512,301.414,300.893,300.624,299.777,295.913,292.068
2012,292.072,295.384,301.357,303.921,304.885,304.347,302.101,301.348,300.783,297.648,293.715,289.725
2013,289.788,295.331,301.449,304.508,303.679,302.037,301.792,301.023,300.868,299.336,294.325,291.685
2014,290.435,294.629,300.613,306.408,305.331,303.575,301.979,301.376,301.022,299.286,294.626,290.62
2015,291.485,296.013,300.595,302.285,304.098,303.083,301.335,301.503,301.307,299.869,296.828,293.452
2016,293.112,298.627,301.343,306.138,304.237,302.26,301.415,301.274,300.919,299.349,294.711,291.45
2017,291.679,296.604,299.761,303.712,304.43,302.612,301.404,301.34,301.072,299.815,294.91,291.98
2018,289.052,295.479,301.484,302.525,303.164,302.215,301.897,301.543,301.077,299.139,296.27,291.126
2019,291.888,296.497,299.035,303.654,304.664,303.59,302.471,301.775,300.935,299.332,295.875,290.879
2020,290.191,292.97,298.933,303.314,302.712,301.996,301.776,301.725,301.373,300.501,295.306,291.401
2021,292.082,296.051,303.121,305.062,303.842,301.846,301.807,301.368,300.742,299.989,295.298,291.668
2022,290.537,293.452,300.162,305.259,303.383,302.62,301.961,301.586,301.104,299.213,294.663,292.019
2023,292.393,296.905,300.954,304.506,304.559,304.088,302.52,301.842,301.398,299.577,295.942,292.195
