Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.677,293.314,298.088,305.542,308.998,307.29,302.773,301.167,301.237,301.214,295.719,291.152
1981,289.145,293.598,298.204,305.01,308.148,309.256,302.377,300.372,301.4,299.437,293.367,290.765
1982,290.104,290.719,296.262,303.188,305.135,308.317,305.067,300.212,299.363,299.529,294.502,291.637
1983,289.151,291.122,297.462,301.975,307.463,308.528,304.009,301.299,300.717,297.574,292.291,290.502
1984,288.306,289.599,300.286,304.814,309.313,308.755,303.613,300.374,299.097,297.754,294.445,291.087
1985,289.769,292.885,300.69,304.504,308.942,309.467,303.82,300.005,300.057,295.841,293.846,291.531
1986,289.594,291.803,298.164,305.112,308.013,308.369,302.567,299.477,300.038,298.897,295.415,289.079
1987,290.203,293.715,299.239,304.368,306.89,308.481,306.438,305.604,302.299,299.557,294.422,290.539
1988,290.949,294.698,298.841,306.193,310.151,308.681,302.449,300.929,301.982,298.563,295.041,291.843
1989,288.381,293.198,298.383,303.721,308.409,308.056,304.779,302.256,300.739,299.918,296.283,290.768
1990,292.602,293.329,296.934,304.243,309.186,307.571,302.106,301.038,300.107,298.531,295.201,291.762
1991,289.878,293.823,299.231,304.072,309.042,309.449,305.775,300.538,299.335,298.064,294.309,291.062
1992,290.34,292.215,298.275,303.459,308.185,310.032,305.057,300.571,298.698,297.266,293.278,291.2
1993,290.882,294.336,297.131,304.307,309.253,307.843,302.485,301.285,300.368,299.178,295.603,291.256
1994,291.416,292.4,300.729,303.645,309.381,307.749,300.834,299.943,298.7,297.728,294.457,290.762
1995,288.137,293.558,297.589,303.236,308.266,309.702,304.058,300.251,299.904,298.948,294.352,291.631
1996,289.649,293.31,300.105,304.165,307.91,308.402,303.743,299.862,299.591,296.633,293.216,289.81
1997,289.19,292.573,298.851,301.766,306.543,305.995,303.709,300.48,300.227,298.03,295.236,289.21
1998,289.074,292.27,297.628,305.247,309.635,307.907,302.361,302.323,301.861,299.163,295.386,291.909
1999,289.48,293.189,299.003,305.585,308.79,307.579,304.579,301.447,301.724,298.903,296.083,290.893
2000,290.488,290.922,297.301,305.836,308.141,307.245,302.337,302.192,302.682,301.848,296.241,291.809
2001,289.718,293.459,298.648,304.336,308.261,304.976,300.577,300.857,302.542,300.889,295.298,291.923
2002,289.346,291.576,299.123,304.816,309.806,309.33,305.943,302.476,301.726,301.254,296.586,292.535
2003,289.66,292.616,298.064,304.888,307.897,307.781,302.926,301.173,300.77,297.915,295.753,291.809
2004,290.355,293.324,300.768,305.991,307.949,308.008,304.442,300.359,300.397,297.545,295.192,291.898
2005,288.922,292.963,299.498,303.132,307.616,308.887,301.709,301.108,300.458,298.152,295.21,290.37
2006,291.101,297.504,297.971,304.94,309.929,305.486,303.688,300.122,300.063,298.353,295.109,292.172
2007,290.818,293.853,297.901,306.04,308.852,307.218,301.477,300.78,300.256,297.286,295.716,290.858
2008,289.035,291.008,300.315,303.82,307.544,304.409,301.291,300.494,300.14,299.556,294.586,293.593
2009,291.761,294.567,299.735,304.314,309.418,308.559,303.142,301.973,302.454,299.987,294.896,292.574
2010,290.687,293.991,301.161,306.509,309.643,309.049,303.146,301.015,299.453,298.762,295.029,289.136
2011,288.112,293.069,299.264,303.981,309.248,307.185,301.408,300.366,299.079,297.197,294.797,289.983
2012,288.219,291.642,298.115,304.224,308.042,308.432,303.189,300.386,299.177,296.935,292.258,289.931
2013,287.45,291.78,298.415,304.088,308.614,305.6,301.646,299.849,299.734,297.296,292.305,289.457
2014,288.349,291.176,296.912,304.385,308.335,309.66,304.818,300.233,298.968,298.643,295.897,289.515
2015,287.656,293.593,296.079,302.783,309.164,306.797,302.617,300.313,299.442,299.551,296.397,290.68
2016,291.422,293.919,300.522,305.481,309.767,308.077,301.702,299.781,299.613,297.469,293.837,291.672
2017,289.845,293.975,298.956,305.36,309.5,307.653,302.552,300.85,300.916,300.497,295.588,291.453
2018,291.355,295.354,300.134,305.847,309.574,308.241,302.43,300.297,298.551,297.829,294.406,289.456
2019,288.748,291.794,297.489,305.177,308.24,308.885,302.673,300.246,299.89,297.306,294.683,287.541
2020,287.559,291.275,296.706,304.425,309.012,306.885,304.247,301.577,301.059,299.722,293.955,290.361
2021,290.343,295.083,301.236,305.058,306.668,306.838,303.888,300.165,300.087,297.891,293.113,289.234
2022,287.871,292.399,301.389,307.219,309.454,307.117,302.082,299.984,300.006,296.731,293.12,290.164
2023,287.639,294.557,298.869,303.038,305.895,305.231,301.845,300.663,301.234,299.887,295.495,290.91
