Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.675,300.603,303.462,305.935,307.53,300.64,299.902,299.274,299.029,299.284,298.087,297.166
1981,296.989,299.823,302.387,306.682,306.683,301.748,299.983,298.997,298.344,297.294,295.355,295.36
1982,296.814,300.828,303.996,305.294,305.28,301.533,299.541,300.309,299.611,298.42,296.99,295.857
1983,297.121,300.797,304.075,307.066,307.96,303.185,300.33,298.982,298.334,297.417,295.069,296.196
1984,298.306,299.652,302.982,306.121,308.836,301.86,299.238,299.842,299.712,298.605,297.6,297.602
1985,297.667,300.714,303.891,307.228,307.193,300.601,299.081,299.051,299.533,297.13,296.467,297.039
1986,296.105,299.199,303.602,306.941,308.204,300.787,300.32,299.88,300.35,299.84,298.233,297.938
1987,297.255,298.62,302.198,306.638,305.355,302.643,301.477,300.158,300.905,298.986,296.749,295.31
1988,296.582,300.821,304.417,304.908,308.255,302.593,300.116,299.185,298.481,298.335,297.865,296.909
1989,297.522,299.602,301.635,306.452,307.989,301.711,299.456,298.931,299.015,299.404,297.812,296.853
1990,297.745,300.241,303.54,307.357,303.482,300.728,300.484,299.499,299.711,298.174,298.051,297.36
1991,298.487,300.44,304.575,307.517,309.799,301.648,299.22,299.408,299.99,299.16,296.346,295.955
1992,295.577,299.929,303.48,306.545,307.441,302.63,300.007,298.862,299.634,299.207,297.903,294.77
1993,297.294,298.807,303.163,305.835,307.939,303.72,300.855,299.659,298.381,297.825,296.091,294.366
1994,297.063,299.671,304.022,305.973,307.513,302.405,300.409,299.897,300.396,298.0,295.859,294.142
1995,295.631,299.837,303.227,306.125,304.409,303.284,299.67,299.096,298.539,297.85,295.701,294.8
1996,297.277,299.626,303.664,304.657,307.47,301.29,299.835,299.251,298.329,297.275,295.444,294.476
1997,295.05,298.536,303.526,303.584,306.798,303.033,300.27,300.171,298.962,299.074,298.877,297.374
1998,298.16,300.63,304.366,306.906,307.39,303.489,300.55,299.532,298.774,297.552,296.063,293.068
1999,295.184,299.488,304.129,306.713,303.934,302.159,300.354,299.915,299.359,299.091,298.091,296.343
2000,297.757,300.087,302.557,307.518,305.178,300.185,299.197,298.73,298.926,298.229,296.967,295.551
2001,297.389,300.186,303.905,305.013,307.382,302.24,301.962,299.688,299.454,297.589,296.552,294.905
2002,296.837,299.397,303.499,306.959,305.574,301.488,301.612,299.82,300.903,299.054,296.72,296.56
2003,297.543,301.136,303.719,306.525,308.661,303.867,300.138,299.983,300.118,298.533,296.653,296.003
2004,296.744,299.087,303.723,305.349,302.088,301.455,299.904,300.791,299.443,298.564,297.534,296.19
2005,297.93,300.415,303.411,304.269,305.25,301.748,299.593,298.764,298.654,297.91,293.657,293.923
2006,295.412,298.934,301.847,306.052,305.751,300.813,300.346,299.498,299.577,298.664,296.716,295.595
2007,296.814,299.126,303.707,305.927,306.351,300.736,299.516,299.045,298.301,296.874,295.346,296.345
2008,296.677,299.385,300.994,303.487,306.376,301.465,301.545,299.008,298.617,298.261,297.206,296.446
2009,297.145,300.796,303.608,306.883,306.271,300.686,300.676,301.158,299.593,297.915,297.431,296.492
2010,296.97,300.559,304.513,307.046,307.2,302.97,299.365,299.263,298.52,298.371,297.595,295.202
2011,296.425,299.281,302.994,304.776,306.602,302.226,300.886,300.069,300.44,300.089,298.651,297.527
2012,297.417,299.998,303.296,304.911,307.658,303.324,300.645,300.154,299.672,298.312,297.285,297.539
2013,298.045,299.403,303.165,305.934,306.667,301.092,299.81,299.679,298.628,297.976,296.159,294.979
2014,297.038,299.016,301.511,306.057,305.305,304.319,301.039,300.136,298.587,298.193,296.329,295.931
2015,296.101,298.472,302.198,303.752,306.295,302.281,302.639,301.213,299.757,300.142,298.778,297.71
2016,297.203,300.981,304.239,307.674,306.507,300.643,300.204,300.189,298.38,297.749,297.501,297.043
2017,297.0,299.335,303.057,307.464,307.791,301.572,300.651,300.207,299.23,298.03,296.904,295.779
2018,296.795,299.082,303.506,306.964,307.009,301.545,301.395,300.298,300.676,300.597,299.95,297.688
2019,296.167,299.891,304.506,307.258,308.803,304.146,301.333,300.074,299.3,298.422,297.815,297.333
2020,298.498,299.894,303.657,306.473,307.722,301.376,299.389,298.965,298.522,298.114,296.404,294.526
2021,297.466,298.284,302.769,305.621,304.548,301.775,299.968,300.164,299.659,299.364,298.308,296.496
2022,297.039,299.484,304.241,306.797,304.691,301.93,299.88,299.225,298.99,297.477,296.615,297.646
2023,297.065,300.108,302.213,305.257,304.588,305.34,300.836,301.254,300.552,301.316,299.421,297.144
