Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,294.29,297.234,300.666,302.06,302.524,299.696,298.98,299.211,300.248,298.3,297.229,296.711
1981,296.4,297.978,301.243,303.183,301.377,298.916,298.863,298.951,298.354,297.86,296.335,295.256
1982,294.608,297.648,301.553,302.895,301.493,298.794,298.615,298.842,299.753,298.875,297.684,296.339
1983,296.999,301.227,303.025,304.736,303.695,300.895,300.914,300.526,298.147,298.606,297.425,296.291
1984,295.537,296.259,298.229,300.137,302.268,299.506,298.887,299.864,299.672,297.639,296.918,296.125
1985,296.015,298.956,301.884,303.467,303.041,298.89,298.277,299.215,299.381,298.383,296.569,296.574
1986,296.879,298.493,300.939,303.102,303.182,300.641,300.561,299.828,299.746,298.974,297.272,297.426
1987,297.183,299.055,301.735,303.307,303.007,300.848,301.598,299.9,299.729,298.57,297.645,296.531
1988,295.573,299.149,302.989,301.784,302.925,299.988,298.786,299.065,298.385,298.897,297.493,297.042
1989,297.841,298.484,301.185,303.458,303.185,299.534,298.822,299.39,299.329,298.727,297.303,296.652
1990,296.079,300.161,302.944,305.048,301.848,300.631,299.343,300.056,300.354,299.41,297.54,297.289
1991,298.095,299.876,303.008,304.484,305.03,299.197,298.316,298.452,299.343,298.095,296.512,296.064
1992,295.562,299.917,301.492,304.253,303.121,300.262,298.907,299.125,298.762,297.98,296.924,294.501
1993,294.839,298.358,301.991,303.555,303.396,300.04,298.902,299.599,299.896,298.168,296.541,295.256
1994,295.031,297.392,300.583,301.29,302.214,299.471,298.988,299.05,299.436,297.77,296.566,295.047
1995,297.153,299.759,301.466,302.556,301.499,300.704,299.821,300.321,300.565,299.431,297.652,295.924
1996,297.062,299.465,301.823,301.425,303.444,300.177,299.033,298.917,298.69,298.091,297.815,295.574
1997,295.71,298.168,301.931,302.143,302.421,301.526,299.321,299.565,299.424,298.813,297.711,297.027
1998,296.686,299.993,302.844,305.201,303.623,301.052,300.056,299.661,298.545,298.074,297.093,295.305
1999,294.858,298.124,301.672,303.043,300.363,299.371,299.176,299.793,300.999,297.971,296.693,295.109
2000,296.488,298.875,301.419,303.648,303.108,300.179,300.726,299.217,299.319,298.256,296.971,295.132
2001,296.507,298.948,303.027,301.092,301.629,299.637,299.554,299.776,299.359,298.299,297.043,295.541
2002,297.133,297.734,301.317,303.35,301.932,300.444,301.263,300.36,301.943,299.029,297.274,296.163
2003,297.534,300.148,301.221,303.202,302.346,301.025,299.761,299.592,300.389,298.452,296.446,295.679
2004,296.991,298.934,302.504,303.488,299.756,299.313,298.798,299.555,298.756,297.885,296.215,294.829
2005,296.349,298.67,301.946,300.508,302.107,300.418,299.794,300.511,299.761,299.026,295.875,295.874
2006,294.904,296.587,300.481,302.951,302.322,300.571,299.942,299.725,298.577,298.361,296.787,294.986
2007,296.084,298.628,302.122,302.7,303.196,301.3,300.185,299.92,299.679,298.757,296.76,295.796
2008,296.014,298.617,298.378,300.758,302.127,301.094,300.66,299.846,299.715,299.173,297.527,295.138
2009,295.55,298.196,301.121,303.315,303.51,301.7,300.995,301.018,301.103,301.277,297.416,296.366
2010,296.828,299.088,302.749,304.254,302.918,301.152,300.236,300.588,300.091,299.275,297.2,295.658
2011,295.212,297.403,300.785,302.436,302.943,301.459,300.633,300.874,300.895,298.991,296.892,296.05
2012,296.458,298.857,302.669,302.75,302.066,301.356,301.842,301.041,301.284,299.046,297.891,297.845
2013,298.263,299.643,301.725,304.702,303.779,301.424,301.106,300.641,300.086,299.715,297.925,296.384
2014,297.111,299.406,301.547,303.839,301.587,301.993,301.63,300.309,300.495,298.953,296.707,296.257
2015,296.607,298.438,301.456,301.279,300.969,300.343,301.01,301.313,300.772,299.215,297.429,296.419
2016,296.121,299.104,302.716,304.676,302.888,301.042,300.868,300.875,300.956,301.027,298.745,297.989
2017,297.521,298.309,300.905,305.198,302.717,300.894,301.314,300.202,299.111,299.06,297.586,296.302
2018,296.694,298.324,301.488,302.724,301.364,300.866,300.644,300.455,300.994,298.904,297.593,297.366
2019,296.717,300.752,302.903,303.99,305.36,302.516,302.005,300.38,299.887,298.257,297.911,296.499
2020,297.059,299.08,302.387,303.253,303.363,301.384,299.881,300.584,299.44,299.272,297.592,295.857
2021,295.924,296.007,299.823,302.292,301.208,300.836,300.207,300.31,299.87,298.68,297.326,295.975
2022,296.795,298.009,301.011,301.535,301.793,300.332,299.694,298.994,299.374,298.566,296.717,296.378
2023,295.561,297.597,300.722,302.59,301.689,301.795,301.033,302.081,300.133,299.842,297.854,297.121
