Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,286.833,291.42,295.915,304.783,309.428,307.878,302.916,302.049,300.882,298.256,293.478,288.499
1981,287.703,291.036,295.791,303.755,308.471,310.139,302.647,302.126,302.407,297.71,291.659,287.395
1982,287.479,288.426,293.521,300.638,302.093,307.09,306.308,301.873,299.75,297.836,293.421,288.67
1983,286.71,288.923,294.999,299.397,305.655,308.044,306.507,302.405,300.914,296.915,292.071,288.318
1984,286.466,288.271,298.361,303.943,309.399,310.141,305.888,304.413,298.8,296.244,292.367,288.681
1985,287.594,290.722,298.814,303.684,308.222,308.468,304.412,301.763,299.793,294.565,290.976,288.299
1986,286.315,288.663,295.342,302.969,306.828,309.252,305.208,304.178,302.66,298.676,293.895,287.852
1987,288.282,291.829,297.412,303.262,304.717,310.044,310.389,307.779,304.155,299.852,294.15,289.692
1988,289.219,291.826,295.507,304.834,309.801,310.136,303.767,301.165,300.482,295.871,292.541,288.831
1989,285.307,288.627,295.617,301.871,307.81,309.409,307.177,304.879,301.802,298.821,293.707,289.065
1990,289.655,290.462,293.969,302.039,308.067,310.199,304.687,301.69,300.611,296.236,292.813,288.581
1991,286.94,291.331,297.033,302.639,308.762,308.239,308.41,303.151,299.783,296.248,291.746,288.784
1992,287.674,289.148,296.137,302.752,306.998,310.379,306.357,303.482,300.982,297.972,293.274,289.708
1993,287.778,292.541,294.573,302.521,308.742,308.721,303.833,303.239,300.557,297.363,293.414,289.038
1994,289.23,290.106,298.443,301.565,309.014,310.152,304.573,301.574,298.893,296.815,293.772,289.01
1995,286.304,290.43,295.2,302.304,308.672,310.382,307.274,301.997,300.041,297.189,292.563,289.237
1996,287.899,290.843,296.951,303.198,307.099,308.272,304.495,301.193,299.809,295.257,291.026,287.29
1997,286.665,290.101,296.108,300.721,305.198,307.121,305.921,302.693,302.062,297.834,293.47,287.381
1998,286.101,289.547,294.062,303.093,308.022,308.398,304.119,302.514,300.882,296.965,292.196,288.049
1999,286.769,290.855,297.022,304.537,308.721,309.007,306.206,304.332,302.156,298.366,293.607,289.348
2000,288.012,288.672,295.602,304.662,308.868,306.632,303.737,303.004,301.338,298.673,294.035,289.124
2001,286.696,291.382,297.065,302.747,307.79,306.717,304.095,302.517,302.268,299.39,294.208,289.538
2002,287.348,289.92,296.691,304.374,309.178,308.759,310.327,303.762,299.791,298.129,293.699,289.151
2003,286.448,290.347,295.897,304.253,307.129,309.638,302.921,302.088,300.359,296.078,290.862,287.757
2004,286.078,289.837,298.252,304.932,306.745,307.299,305.162,301.882,300.753,297.267,292.846,288.966
2005,286.998,290.044,297.304,301.913,307.192,310.45,303.501,303.548,300.94,296.39,291.677,287.198
2006,287.139,294.991,296.148,303.34,308.048,307.159,303.928,302.233,301.295,299.668,294.013,288.847
2007,287.857,290.405,294.838,304.441,307.465,309.106,304.392,301.856,301.0,296.322,292.397,287.68
2008,286.964,289.329,299.258,302.843,306.226,304.612,302.811,300.973,299.557,296.556,291.643,288.913
2009,287.982,291.021,297.24,303.107,308.263,309.484,307.128,303.34,300.249,295.676,292.007,287.867
2010,287.043,290.765,299.321,306.373,309.498,310.083,304.106,301.486,299.248,296.778,292.085,285.963
2011,283.943,289.368,295.404,301.732,308.533,306.626,302.417,301.331,299.813,296.398,291.917,287.673
2012,285.659,288.951,295.737,303.03,308.027,311.303,305.912,301.956,299.358,295.624,290.992,287.006
2013,284.872,288.657,295.436,302.671,308.605,306.064,302.428,301.0,299.666,296.586,289.565,286.576
2014,285.944,288.042,293.855,300.858,306.704,310.605,306.127,303.534,301.599,298.833,292.778,286.949
2015,285.831,291.383,294.304,300.967,307.995,308.326,303.619,302.087,301.69,299.134,294.727,288.88
2016,288.52,291.836,298.019,305.119,308.294,309.443,304.027,302.054,302.118,298.846,293.416,289.499
2017,287.452,291.241,296.921,304.85,308.827,308.139,304.343,303.659,301.068,298.693,292.231,288.592
2018,286.363,292.079,298.497,304.173,308.203,308.658,304.639,301.721,299.445,296.12,292.369,286.417
2019,285.983,288.87,294.547,303.733,307.243,310.421,306.234,303.119,302.326,298.253,293.968,286.121
2020,285.862,288.945,294.227,301.119,306.223,307.442,305.105,302.424,302.483,299.089,292.552,288.165
2021,286.648,291.769,298.928,303.06,304.626,305.934,304.674,301.764,300.358,296.66,289.91,286.255
2022,284.908,287.627,297.477,305.298,307.545,308.607,305.072,303.347,302.371,296.361,291.209,287.286
2023,286.04,291.623,296.522,300.638,303.742,306.551,302.985,301.94,301.122,297.648,293.705,289.157
