Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.57,293.239,299.616,306.71,308.282,305.503,302.607,301.884,301.113,297.727,293.952,289.966
1981,289.337,293.04,298.557,303.523,307.287,307.757,302.628,301.801,300.694,296.762,293.358,289.698
1982,290.572,291.596,296.819,303.552,307.183,307.213,305.884,303.068,301.007,300.08,294.897,290.5
1983,289.644,293.116,299.577,303.139,307.95,309.349,306.157,303.652,303.179,299.818,295.258,290.773
1984,289.745,291.406,299.598,306.355,308.039,304.499,302.092,301.72,299.43,297.872,293.586,290.043
1985,289.887,292.194,300.707,305.959,308.624,309.241,302.157,302.07,300.305,297.375,292.255,289.413
1986,288.469,292.043,298.678,305.194,305.989,308.597,301.927,302.112,300.469,298.218,294.991,290.994
1987,289.831,294.438,299.482,304.88,307.249,309.995,303.451,301.538,300.558,297.699,292.485,289.468
1988,289.562,293.471,297.857,305.365,308.171,306.951,303.075,301.83,301.197,298.043,295.332,291.566
1989,287.978,292.255,298.916,304.455,307.844,307.268,303.824,302.312,302.286,300.126,295.222,290.369
1990,291.526,294.066,298.274,304.477,309.064,308.183,302.331,301.579,300.96,297.845,295.869,291.331
1991,289.974,295.627,300.674,305.061,309.756,306.591,305.912,302.897,300.822,299.077,294.132,291.066
1992,290.036,292.62,300.704,306.07,306.968,307.946,304.755,302.55,301.942,300.715,295.779,291.572
1993,290.132,294.78,297.634,304.116,308.277,308.676,305.147,303.74,300.258,298.312,294.203,290.056
1994,291.051,292.459,299.702,304.803,308.671,308.063,304.413,303.027,300.098,297.858,295.546,290.518
1995,289.032,293.213,299.499,305.296,309.391,308.946,303.444,301.893,300.573,298.994,294.549,290.653
1996,289.425,292.898,300.203,305.153,309.617,307.239,303.433,301.353,301.091,297.628,293.174,289.167
1997,288.736,291.851,299.923,302.799,308.123,308.931,302.805,301.573,300.835,297.364,294.71,289.209
1998,288.364,292.603,296.427,305.011,308.761,309.124,303.26,302.1,300.924,299.408,295.137,290.032
1999,289.378,294.802,300.072,305.74,307.446,307.343,303.412,302.021,301.175,299.16,294.898,291.335
2000,290.424,292.221,298.801,305.353,307.897,304.553,302.991,302.558,300.152,299.09,294.964,289.551
2001,288.274,293.424,299.484,305.081,308.042,305.071,303.221,303.152,300.681,298.792,294.259,289.101
2002,289.322,292.854,299.344,305.209,305.942,306.835,304.624,302.301,301.477,299.323,295.637,290.594
2003,287.452,292.949,298.329,305.663,307.575,307.495,302.958,302.368,301.593,298.135,293.271,290.322
2004,288.93,292.663,300.279,305.107,307.504,305.8,302.278,302.141,301.034,299.065,294.865,291.188
2005,289.607,294.38,300.58,304.763,307.601,309.68,302.971,302.225,301.415,299.533,293.287,289.753
2006,289.161,295.925,299.273,304.52,307.626,305.25,303.076,302.187,300.611,298.988,294.638,290.729
2007,288.544,292.112,297.249,304.938,307.006,306.992,302.824,301.739,300.432,297.789,293.461,287.744
2008,288.083,290.589,298.871,303.656,307.312,303.956,301.934,301.44,300.577,298.467,293.738,290.772
2009,289.941,293.216,299.602,305.163,306.88,308.212,305.772,302.917,301.215,297.586,294.682,290.094
2010,288.361,293.156,301.236,306.764,307.678,308.378,304.238,302.964,300.917,298.977,295.869,289.81
2011,287.585,292.764,299.686,303.384,307.067,305.849,302.809,301.8,300.814,298.402,294.535,289.787
2012,288.901,292.548,298.292,305.49,309.354,309.784,303.775,301.842,300.448,296.36,291.017,287.194
2013,286.05,291.692,298.498,304.081,306.412,305.403,303.618,302.815,301.44,298.093,292.518,289.752
2014,288.548,291.148,297.655,305.281,307.967,308.897,303.668,302.826,300.786,297.82,292.368,287.808
2015,288.557,293.711,298.44,303.573,308.575,308.871,303.453,302.904,301.266,299.785,297.014,291.267
2016,290.283,295.691,301.751,307.906,307.403,307.846,303.716,303.482,301.324,298.412,293.383,289.816
2017,290.279,293.97,299.134,306.003,307.745,308.378,302.76,302.157,302.122,300.648,295.642,291.952
2018,287.763,294.676,300.72,304.42,306.671,308.582,305.689,302.882,302.425,300.139,296.037,290.19
2019,290.261,293.962,298.875,305.426,308.978,309.902,304.044,303.165,301.55,297.627,294.598,288.176
2020,288.139,290.706,297.746,303.001,305.729,304.261,301.916,301.945,301.344,299.452,293.205,289.277
2021,289.692,293.333,300.648,304.991,304.604,303.117,302.472,301.91,301.123,298.541,292.043,289.294
2022,288.098,290.644,299.594,305.729,306.043,306.609,304.197,303.41,301.503,298.414,293.678,289.694
2023,289.268,294.046,299.078,304.315,306.25,309.831,303.777,302.385,301.514,298.968,295.821,291.522
