Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.465,298.241,303.195,308.169,310.894,302.186,300.25,299.223,299.165,298.12,295.667,293.262
1981,291.827,297.595,300.282,307.033,308.615,306.97,299.858,299.016,299.205,297.303,292.998,291.95
1982,294.479,295.157,299.767,306.042,308.158,305.585,301.406,298.528,299.242,298.12,296.007,295.479
1983,294.493,296.586,302.567,306.94,310.268,306.814,301.332,299.722,299.239,296.371,291.398,291.482
1984,293.884,295.491,302.976,307.591,311.409,305.242,300.9,298.959,299.451,298.8,295.275,295.153
1985,296.253,297.262,303.926,307.31,310.792,306.166,300.485,299.009,299.249,296.255,292.988,292.963
1986,293.083,296.221,302.761,308.262,309.793,305.154,300.377,299.104,299.686,298.092,296.013,294.843
1987,293.367,297.485,301.5,307.398,307.835,306.82,300.454,300.27,300.003,297.83,295.723,292.522
1988,296.292,299.235,303.012,307.256,311.411,306.81,300.436,299.965,299.853,296.834,294.095,293.856
1989,294.037,297.975,301.475,305.977,310.707,305.018,300.588,299.981,299.79,298.903,297.209,293.25
1990,294.71,297.684,301.304,307.172,306.092,302.607,299.506,299.863,298.973,297.408,294.467,292.929
1991,293.483,299.055,304.303,307.031,311.449,304.207,300.729,298.796,299.632,297.96,295.342,293.664
1992,293.862,297.026,303.389,307.847,310.305,307.691,301.973,299.051,298.415,297.648,295.626,293.596
1993,295.465,297.116,299.625,307.132,310.22,305.64,300.504,299.4,298.879,297.879,293.799,291.159
1994,294.419,296.023,303.519,306.459,310.501,304.151,299.313,298.575,298.172,297.288,294.615,291.974
1995,291.441,297.072,301.385,306.283,308.741,307.241,300.556,299.676,299.561,297.102,294.333,294.427
1996,296.236,297.737,303.858,305.745,310.138,307.951,301.553,299.321,299.761,297.178,294.411,292.145
1997,292.747,296.322,303.06,304.908,308.751,304.924,300.956,300.032,299.286,297.736,296.36,292.527
1998,292.371,294.835,299.916,307.78,310.84,307.179,301.053,300.092,299.828,298.273,294.204,291.364
1999,292.277,298.399,303.323,308.188,309.579,304.177,300.691,299.467,298.753,297.206,293.479,291.61
2000,293.786,296.166,300.963,308.288,308.155,302.866,300.097,299.927,299.594,299.549,297.263,294.174
2001,294.984,298.584,302.938,305.891,309.435,301.45,299.842,299.506,300.243,297.526,295.177,293.031
2002,293.471,298.095,303.068,307.471,309.967,305.048,301.344,299.449,298.829,298.159,295.753,295.762
2003,295.125,298.483,301.542,307.723,309.896,305.817,300.131,299.362,298.932,297.223,294.968,291.902
2004,292.735,295.375,303.958,308.135,309.148,304.907,301.116,299.413,300.061,296.944,295.612,293.992
2005,294.35,296.384,302.066,306.029,309.848,307.759,300.101,299.591,299.724,296.967,292.574,291.554
2006,293.753,299.483,300.115,306.807,308.628,305.246,300.017,298.903,299.393,298.451,295.485,294.003
2007,294.598,298.136,302.074,307.531,310.411,304.742,300.299,299.655,299.481,296.219,294.459,294.057
2008,294.276,295.822,302.463,306.667,309.594,302.41,300.112,299.528,299.265,297.39,295.058,294.518
2009,296.362,299.644,303.182,307.137,310.257,307.122,300.107,299.975,300.103,297.279,295.066,293.695
2010,292.754,299.249,304.487,308.431,310.372,306.767,300.427,299.931,299.33,297.742,296.313,291.979
2011,291.853,297.222,302.642,304.617,310.137,304.127,300.866,299.517,299.1,297.288,295.121,293.416
2012,293.649,297.335,301.908,307.743,310.41,305.161,299.804,299.176,299.288,297.028,294.717,293.771
2013,294.113,297.653,302.2,306.811,311.223,302.909,299.425,299.102,299.448,297.803,293.622,292.193
2014,293.653,296.182,300.02,306.932,309.186,308.286,301.875,299.931,299.094,297.724,295.946,292.368
2015,292.581,297.724,300.433,304.433,309.307,304.251,300.594,299.752,299.709,298.748,296.55,295.193
2016,294.878,300.052,303.088,308.811,310.151,306.415,299.803,299.231,299.167,296.858,293.382,291.858
2017,293.394,298.342,302.35,307.877,310.55,304.718,300.576,299.887,300.145,298.799,294.977,292.842
2018,293.607,297.752,303.202,307.025,310.319,303.505,299.654,299.204,298.932,298.637,297.017,292.725
2019,292.265,296.359,302.158,307.779,310.638,308.727,301.22,299.398,299.123,297.252,294.215,291.316
2020,291.121,293.998,299.687,306.367,308.465,302.637,300.856,299.592,300.251,297.952,293.627,292.254
2021,294.2,296.663,302.514,306.383,307.027,302.64,300.986,300.146,299.805,297.676,294.982,292.329
2022,291.543,294.733,303.335,308.574,310.033,306.121,299.933,299.47,299.42,296.97,292.841,293.295
2023,293.329,297.416,301.7,304.301,306.808,307.207,301.371,299.526,299.862,297.148,294.516,291.996
