Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,287.752,290.101,294.328,299.673,300.353,302.003,302.358,301.82,300.986,297.541,293.565,290.863
1981,288.992,290.52,294.688,297.223,300.936,302.36,301.852,301.999,300.547,297.64,293.571,289.682
1982,289.644,290.05,294.277,298.64,301.184,301.642,302.173,301.919,300.667,297.479,292.966,289.021
1983,287.903,289.838,295.02,299.705,301.437,303.847,302.997,302.071,300.764,298.168,293.668,288.997
1984,287.271,290.215,297.458,302.035,301.595,302.782,301.359,302.164,299.54,297.812,292.521,288.861
1985,288.553,289.964,296.676,300.464,302.732,303.757,301.541,302.687,300.752,298.042,293.206,290.744
1986,289.851,292.502,297.798,300.408,302.849,304.96,302.405,302.512,299.948,296.491,292.969,290.006
1987,289.937,292.375,296.166,300.564,301.967,304.149,301.996,301.642,300.929,297.315,293.989,290.891
1988,289.149,291.235,294.606,299.56,301.414,301.665,302.322,301.624,300.696,297.978,294.052,290.851
1989,287.256,289.28,293.741,298.577,301.279,302.112,301.801,301.682,300.848,298.043,292.403,288.514
1990,289.299,290.577,294.051,297.885,301.073,302.47,302.008,302.16,300.486,297.162,294.164,290.036
1991,287.901,291.008,295.783,299.816,303.124,302.526,302.479,302.097,300.227,297.33,292.232,288.726
1992,287.862,288.695,294.814,299.613,300.578,302.674,301.501,302.019,300.495,296.864,292.993,288.598
1993,287.393,291.545,294.026,298.96,300.77,301.629,302.159,301.642,300.247,297.652,293.626,290.339
1994,288.954,289.459,295.16,298.601,301.999,302.436,303.257,302.582,301.223,297.013,293.864,289.54
1995,288.66,291.497,296.942,301.01,303.92,303.318,301.785,301.931,300.121,298.143,293.776,289.773
1996,288.242,291.277,295.923,299.502,301.838,301.904,302.011,301.829,300.913,297.484,293.359,290.066
1997,288.34,289.735,296.765,298.934,302.13,302.674,302.489,301.825,300.064,296.829,293.851,289.553
1998,287.978,291.818,294.932,299.611,303.346,303.288,302.413,301.89,301.318,298.913,294.329,290.296
1999,288.841,293.001,296.194,302.95,303.046,303.114,301.978,301.602,300.962,298.166,293.432,290.178
2000,288.562,288.616,294.288,299.358,301.097,302.095,302.259,301.862,300.226,298.312,293.475,289.352
2001,287.5,290.672,294.467,298.979,301.067,301.999,302.664,302.61,300.733,298.191,294.137,289.431
2002,289.204,291.25,295.611,298.507,300.784,301.93,302.213,301.565,300.41,297.341,293.471,289.839
2003,287.515,291.043,294.391,298.952,300.669,301.839,301.963,302.394,301.102,297.651,293.144,289.658
2004,288.259,290.588,295.804,298.486,300.734,301.636,301.383,302.213,300.151,296.64,292.623,289.503
2005,288.12,291.725,296.19,298.427,299.808,302.521,302.507,302.0,301.505,297.441,292.661,289.741
2006,288.17,293.187,294.807,298.191,300.891,302.03,302.855,302.63,300.513,298.055,293.315,290.324
2007,288.532,290.645,294.818,299.487,301.738,302.254,302.008,302.513,300.444,297.671,293.798,289.101
2008,288.34,289.344,295.692,298.919,301.195,302.093,302.09,301.559,300.686,297.754,293.041,291.164
2009,289.709,291.791,295.923,300.042,301.663,303.192,303.036,301.864,300.84,297.398,293.446,289.504
2010,288.707,290.762,296.99,299.972,300.929,301.815,301.836,301.773,300.432,297.697,294.309,289.426
2011,287.141,290.879,294.883,298.26,300.88,302.434,301.845,301.681,300.883,298.335,292.978,290.021
2012,287.83,290.412,294.916,298.998,301.852,302.342,302.101,301.765,301.169,298.649,293.796,290.343
2013,288.811,293.117,296.218,299.297,300.863,302.456,302.145,301.626,301.196,298.227,294.116,290.466
2014,290.249,290.933,295.776,300.368,302.114,303.311,302.651,301.824,301.179,298.902,294.869,291.48
2015,291.037,293.169,296.769,299.546,301.597,302.417,302.426,301.918,301.45,299.112,295.497,290.999
2016,289.88,293.416,297.775,300.464,301.358,302.53,302.14,302.689,301.195,299.308,295.659,292.707
2017,291.082,293.3,295.788,299.476,301.606,302.43,302.128,301.895,301.223,299.173,294.982,292.349
2018,289.316,292.206,296.331,299.258,300.673,302.543,302.626,302.622,301.436,297.818,293.987,290.892
2019,289.896,291.47,294.839,298.897,300.534,302.786,302.156,302.895,301.047,297.952,295.432,289.918
2020,288.942,291.157,295.453,298.311,300.487,301.955,301.906,302.317,301.024,299.899,294.572,290.607
2021,289.798,291.791,295.663,298.741,300.408,302.108,302.507,301.825,301.683,299.275,293.457,291.266
2022,289.925,289.935,297.496,299.072,301.125,301.456,302.301,302.466,300.934,298.23,293.701,291.332
2023,289.534,292.543,296.034,299.832,301.641,303.318,303.374,302.815,302.609,299.09,296.174,293.215
