Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.986,299.199,302.229,304.331,306.788,303.116,302.708,302.085,301.823,301.16,298.761,297.359
1981,297.302,299.188,301.499,304.642,306.091,304.749,302.414,301.883,300.882,300.105,297.73,296.714
1982,296.764,299.433,301.992,304.212,305.214,303.516,301.956,302.329,301.986,300.645,298.816,297.563
1983,297.799,300.91,302.938,305.025,306.287,304.875,302.9,301.605,300.6,299.962,297.619,297.443
1984,298.194,299.139,301.275,304.125,306.671,304.223,302.115,302.856,302.277,300.924,298.967,297.592
1985,297.497,299.714,301.749,305.669,306.58,303.136,301.939,301.805,301.765,299.678,297.93,297.687
1986,296.721,298.191,301.633,304.138,307.369,303.6,303.108,302.545,303.05,301.329,298.785,298.209
1987,297.879,298.525,301.068,304.666,305.32,304.584,304.186,302.383,302.594,300.518,298.888,297.198
1988,297.057,299.638,302.647,304.1,307.247,305.53,302.286,301.634,301.1,301.244,299.225,298.133
1989,297.715,299.357,301.685,304.838,306.92,304.302,301.802,301.75,301.376,301.381,299.299,297.503
1990,298.235,300.516,302.954,304.376,303.27,302.724,302.516,302.194,302.271,300.901,298.941,297.977
1991,298.21,300.294,302.521,304.897,306.508,302.758,302.166,302.116,302.18,300.443,297.553,296.095
1992,295.456,299.265,301.656,303.964,306.666,304.991,302.333,301.219,301.605,300.615,298.797,296.07
1993,297.011,298.999,302.295,304.119,307.112,305.196,302.985,302.4,301.378,300.145,298.235,296.474
1994,297.088,299.023,301.881,304.59,306.742,305.011,302.744,302.512,302.318,300.037,298.043,295.899
1995,296.076,298.276,301.675,304.004,303.474,304.376,302.24,302.046,301.628,300.054,298.605,297.333
1996,297.831,299.197,302.117,304.104,307.247,302.894,301.761,301.597,301.415,299.868,298.268,296.599
1997,296.427,298.473,302.03,303.318,306.681,305.586,303.043,302.552,301.399,301.101,299.567,298.224
1998,297.755,299.881,302.555,304.627,307.652,305.366,303.312,302.318,301.723,300.197,298.742,296.325
1999,296.938,299.709,302.805,304.884,305.552,304.192,302.953,302.677,302.161,300.575,299.356,297.511
2000,298.367,299.951,301.3,305.212,305.92,302.7,301.776,301.017,301.084,300.443,299.555,297.061
2001,297.63,299.832,302.802,303.009,307.236,304.445,304.409,302.276,301.789,300.484,298.98,297.126
2002,297.099,298.493,301.902,304.207,306.856,304.413,304.503,302.642,302.822,300.302,298.252,297.051
2003,297.315,299.933,301.99,304.537,307.927,305.557,301.925,302.03,301.797,300.615,299.0,297.416
2004,297.188,299.147,302.057,304.887,303.39,303.635,302.435,303.308,301.846,300.549,298.288,297.297
2005,298.377,300.289,302.368,304.194,305.454,305.036,302.835,302.031,301.414,300.336,296.937,296.21
2006,296.581,298.606,301.954,304.287,305.271,303.726,303.719,302.265,301.568,301.513,298.334,296.993
2007,296.908,298.8,301.677,303.861,307.088,303.247,301.885,301.033,300.611,299.629,297.743,297.395
2008,297.244,299.481,300.941,303.66,307.933,304.602,303.459,301.387,301.408,300.562,298.899,297.43
2009,297.26,299.787,302.396,304.51,305.682,303.813,303.958,303.081,301.693,301.219,299.243,297.364
2010,297.578,299.085,302.611,305.312,305.738,303.484,301.514,301.775,300.889,300.573,299.317,296.473
2011,296.349,298.636,301.336,303.206,306.394,304.956,303.137,302.322,302.666,301.908,299.339,298.423
2012,297.439,299.514,302.552,304.155,307.195,305.362,303.004,302.598,301.961,300.5,297.993,297.537
2013,298.033,299.158,301.749,304.022,306.735,303.548,302.238,301.704,301.119,300.624,298.295,296.619
2014,297.548,298.775,301.745,304.432,305.516,306.405,303.708,302.446,301.631,300.918,298.327,297.33
2015,297.028,298.579,301.738,303.732,306.159,303.363,304.287,302.633,302.137,301.894,299.228,297.611
2016,297.742,300.114,302.296,305.024,305.571,302.707,302.748,303.376,301.349,300.968,299.746,298.122
2017,298.414,299.372,302.531,305.331,306.426,303.79,303.085,301.712,301.24,300.716,299.17,297.766
2018,298.148,299.217,302.255,304.24,305.289,304.626,303.736,302.564,302.585,302.049,300.497,298.255
2019,297.481,300.006,302.788,304.644,306.825,305.884,303.659,302.213,301.308,300.471,299.329,297.875
2020,298.073,299.313,302.079,304.115,306.255,304.017,302.018,301.703,301.008,300.532,299.29,297.148
2021,298.026,298.548,301.552,304.298,304.768,304.263,302.217,302.539,302.101,301.164,299.218,296.951
2022,297.289,298.662,302.52,304.127,304.055,303.459,302.158,302.048,302.042,300.064,298.313,298.066
2023,297.353,299.475,301.56,304.267,305.27,306.332,303.038,303.369,302.096,302.04,300.343,297.506
