Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.929,293.464,299.923,306.868,308.867,305.455,302.638,302.089,301.145,297.772,293.54,289.552
1981,289.301,292.893,298.536,304.003,307.949,308.017,302.55,301.811,300.829,296.634,292.88,289.51
1982,290.755,291.695,296.81,303.88,307.532,307.483,306.288,303.078,301.084,300.34,294.95,290.64
1983,289.837,293.241,299.75,303.261,308.613,309.573,306.189,303.453,303.04,299.558,294.837,290.954
1984,290.167,291.488,299.686,306.706,308.719,304.516,302.118,301.644,299.492,297.536,292.667,289.818
1985,290.153,292.165,300.878,306.229,309.222,309.503,302.21,302.055,300.516,297.379,292.332,289.247
1986,288.469,292.115,298.786,305.399,306.412,308.622,301.952,302.008,300.67,298.389,295.257,291.2
1987,289.9,294.679,299.666,305.216,307.74,310.302,303.614,301.745,300.755,297.881,292.426,289.205
1988,289.482,293.524,298.026,305.549,308.99,306.819,303.089,301.942,301.359,297.841,294.882,291.594
1989,288.088,292.504,299.041,304.673,308.1,307.276,303.746,302.286,302.344,300.065,295.362,290.613
1990,291.535,294.315,298.471,304.907,309.171,308.075,302.313,301.547,300.987,297.475,295.321,291.16
1991,289.997,295.638,301.052,305.419,310.191,306.616,306.18,302.812,300.745,298.791,294.04,291.161
1992,290.073,292.819,300.859,306.3,307.493,308.092,304.841,302.221,301.472,300.762,295.859,291.651
1993,290.444,295.077,297.816,304.568,308.808,309.047,304.825,303.512,300.323,298.168,293.381,289.37
1994,290.922,292.586,299.45,304.93,308.939,308.015,304.051,302.548,299.849,297.357,294.922,290.269
1995,288.985,293.218,299.284,305.559,309.38,309.353,303.427,301.922,300.495,298.473,293.808,290.41
1996,289.626,292.984,300.236,305.497,310.003,307.289,303.307,301.249,301.179,297.583,293.169,288.897
1997,288.89,291.886,300.123,303.195,308.434,309.044,302.556,301.614,300.876,297.069,294.363,288.965
1998,288.302,292.768,296.471,305.203,309.114,309.16,303.131,302.134,300.999,299.494,294.686,289.484
1999,289.181,294.647,299.864,305.991,307.62,307.155,303.109,301.675,300.793,298.635,294.268,291.334
2000,290.381,292.452,298.929,305.763,308.462,304.881,302.954,302.389,300.369,298.854,294.983,289.478
2001,288.389,293.691,299.589,305.42,308.601,304.843,302.821,302.634,300.774,298.967,294.33,289.031
2002,289.385,293.032,299.543,305.629,306.531,307.012,304.424,302.042,300.918,298.716,295.261,290.6
2003,287.643,293.283,298.585,306.051,307.97,307.864,303.045,302.233,301.264,297.617,292.393,289.965
2004,288.667,292.512,300.454,305.686,308.447,306.007,302.408,302.086,300.969,299.028,295.004,291.288
2005,289.698,294.526,301.032,305.046,308.355,310.228,303.111,302.356,301.394,299.889,293.556,289.975
2006,289.53,296.429,299.683,304.993,308.109,305.141,303.056,301.974,300.791,298.956,294.635,290.995
2007,288.896,292.612,297.65,305.382,307.418,307.533,302.76,301.788,300.605,297.717,293.601,287.633
2008,287.85,290.394,299.07,303.989,307.852,304.075,302.022,301.439,300.716,298.604,293.651,290.809
2009,290.125,293.472,299.792,305.524,307.277,308.603,305.828,303.055,301.293,297.477,294.696,290.456
2010,288.517,293.452,301.564,307.135,308.338,308.891,304.56,302.973,301.151,299.36,296.441,290.094
2011,287.863,293.279,300.101,303.828,307.861,306.208,302.842,301.736,300.72,298.345,294.277,289.768
2012,289.185,292.719,298.482,305.813,309.426,310.122,303.865,301.728,300.443,296.323,290.96,287.588
2013,286.377,291.794,298.77,304.465,307.015,305.569,303.946,303.038,301.582,298.297,292.287,289.852
2014,288.77,291.386,297.69,305.443,308.438,309.164,303.511,302.649,300.872,298.081,292.309,287.764
2015,288.539,293.845,298.584,303.957,309.104,309.075,303.112,302.574,301.314,300.0,297.333,291.474
2016,290.558,295.842,301.928,308.213,307.937,308.154,303.488,302.831,301.219,298.097,292.055,288.788
2017,289.92,293.692,299.199,306.418,308.621,308.719,302.541,302.105,301.975,300.02,295.067,291.731
2018,287.806,294.954,300.968,304.952,307.311,308.88,305.509,302.533,301.955,300.138,296.114,289.875
2019,289.983,294.098,299.221,305.972,309.475,310.048,304.08,302.971,301.489,297.645,294.035,287.925
2020,288.009,290.691,297.676,303.37,306.218,304.624,302.093,302.072,301.517,299.472,293.071,289.034
2021,289.76,293.496,300.882,305.571,305.206,303.443,302.469,301.882,301.177,298.418,292.038,289.153
2022,288.101,290.887,299.673,306.492,307.029,307.61,304.802,303.503,301.507,298.696,293.84,289.783
2023,289.452,294.355,299.35,304.43,306.767,310.048,304.099,302.547,301.71,298.865,295.416,291.069
