Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,294.531,296.998,302.592,306.714,310.27,302.294,299.655,299.177,298.909,297.647,293.807,291.618
1981,290.725,295.593,299.57,305.882,306.871,305.075,299.59,299.083,298.908,296.79,292.792,290.718
1982,293.855,294.597,298.755,304.672,305.905,304.577,301.067,298.3,298.963,297.689,294.606,293.281
1983,292.916,296.225,302.106,306.232,308.374,306.474,301.328,299.757,299.277,296.473,291.206,290.606
1984,292.964,295.211,301.848,306.398,310.265,304.227,299.803,298.443,298.448,297.323,292.537,292.732
1985,294.406,295.928,303.173,307.119,310.104,305.724,299.798,298.957,298.703,296.397,292.683,291.61
1986,291.772,295.655,301.294,306.932,308.418,305.013,299.391,298.968,299.062,296.875,293.723,292.307
1987,292.441,296.505,300.588,306.678,307.787,306.88,300.423,299.99,299.595,297.457,294.675,291.761
1988,294.221,298.109,302.11,306.864,310.746,306.027,300.659,299.949,299.754,297.804,295.313,294.32
1989,293.229,297.288,301.438,306.488,309.84,303.687,299.827,299.505,299.155,296.971,293.723,290.852
1990,293.693,296.375,300.303,306.119,304.742,302.249,299.074,299.834,298.903,296.952,293.829,291.44
1991,291.329,296.796,302.994,306.356,310.705,303.75,299.876,298.847,299.08,296.186,292.525,290.83
1992,291.819,295.45,302.487,306.979,308.654,306.253,300.52,298.972,298.329,297.134,293.779,291.663
1993,293.662,296.307,300.173,306.584,309.858,304.799,300.056,299.329,298.74,297.637,293.267,289.704
1994,293.186,295.767,302.529,306.368,308.868,303.424,299.025,298.562,298.35,297.08,293.571,290.041
1995,290.377,295.39,300.299,306.161,305.959,306.616,300.178,299.385,299.444,296.823,293.127,292.423
1996,293.958,296.5,302.705,305.538,309.888,305.363,300.693,299.272,299.611,296.9,293.769,290.414
1997,291.789,295.257,302.258,303.532,308.011,305.072,300.458,299.065,298.848,297.262,295.544,292.049
1998,292.065,295.011,299.502,306.931,310.353,306.594,300.727,300.212,299.695,298.117,294.185,290.773
1999,291.287,298.261,302.594,307.436,309.033,303.598,300.429,299.169,298.725,297.237,293.071,290.29
2000,292.312,295.053,299.84,307.378,308.116,302.122,299.571,299.771,299.232,298.2,296.096,292.665
2001,293.495,297.81,302.758,305.607,309.245,300.89,299.096,299.392,299.677,297.311,294.1,290.657
2002,291.854,296.599,301.83,306.781,310.201,304.542,301.562,299.3,298.711,297.538,294.854,294.28
2003,293.618,297.88,301.001,307.267,309.567,306.396,300.242,299.288,298.793,297.281,293.827,290.005
2004,290.664,293.082,301.469,306.706,308.457,303.753,300.022,299.312,299.744,296.008,293.389,291.819
2005,292.759,296.546,301.963,305.523,308.23,307.463,300.016,299.36,299.332,296.951,291.85,289.585
2006,291.171,297.134,299.84,305.511,307.74,304.62,299.961,299.041,299.229,297.78,294.464,292.073
2007,292.878,296.568,301.07,306.747,309.707,304.336,299.672,299.354,299.081,296.116,293.009,291.194
2008,291.769,293.988,300.905,305.767,309.587,302.017,299.767,299.5,298.977,296.923,293.724,292.305
2009,294.107,297.659,302.246,306.169,309.596,307.424,300.04,299.725,299.884,297.078,294.367,292.3
2010,291.235,297.24,303.762,307.923,308.977,306.139,300.539,299.942,299.142,297.443,295.657,290.724
2011,290.044,295.048,301.114,303.55,308.151,303.396,300.482,299.388,298.684,296.887,293.449,290.751
2012,291.74,295.525,300.493,306.594,309.578,304.701,299.425,298.922,299.016,296.351,293.548,291.56
2013,291.99,295.916,301.196,305.465,310.244,302.079,299.742,298.945,299.133,297.264,292.853,290.532
2014,291.582,293.985,299.285,305.479,308.085,307.198,301.212,299.255,298.81,297.28,293.541,289.578
2015,290.242,295.629,300.129,304.521,309.124,303.617,299.976,299.886,299.426,297.977,294.922,293.814
2016,293.294,299.573,303.088,308.186,308.811,305.411,300.04,299.344,299.117,296.665,292.531,290.003
2017,291.491,296.219,301.057,307.264,310.179,304.376,300.138,299.686,299.728,298.438,293.43,290.525
2018,290.946,296.707,302.239,305.446,308.684,304.036,299.852,299.054,298.632,297.277,294.706,290.974
2019,290.747,295.44,301.295,307.099,309.794,306.499,300.683,299.448,299.244,297.143,293.476,290.254
2020,290.044,291.794,298.168,304.522,306.228,302.328,300.39,299.402,300.014,297.983,293.265,290.873
2021,291.989,295.035,301.828,305.678,305.441,301.849,300.347,299.83,299.415,297.56,294.303,290.571
2022,289.75,292.93,300.949,306.898,308.197,305.606,300.292,299.391,299.169,296.649,292.151,291.442
2023,291.307,295.378,300.216,304.109,305.828,306.887,300.845,299.279,299.546,296.49,293.394,290.077
