Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.848,299.703,302.658,304.3,305.651,301.332,300.196,300.195,299.928,299.873,297.333,296.665
1981,296.527,299.256,301.667,304.15,304.517,304.215,300.55,299.952,300.102,299.471,297.209,296.296
1982,296.822,300.075,302.302,303.749,304.486,303.329,301.055,299.933,300.03,299.636,297.918,297.149
1983,297.83,300.57,302.729,304.566,304.922,303.441,301.326,300.472,299.736,299.266,297.13,296.277
1984,297.483,299.024,302.661,304.23,305.41,302.307,300.705,300.612,300.667,299.541,298.061,297.557
1985,297.232,299.996,302.215,304.895,306.228,302.426,300.857,299.975,299.869,298.494,296.334,296.564
1986,296.201,298.579,302.192,304.258,305.606,303.478,301.993,300.579,300.517,299.722,297.823,296.891
1987,297.132,298.323,301.65,304.447,304.966,304.515,302.268,301.221,301.458,299.604,298.294,296.398
1988,297.253,299.885,302.934,303.734,304.9,304.571,300.553,300.199,299.956,299.42,297.626,297.283
1989,297.507,299.74,302.039,304.905,305.282,302.75,300.836,299.946,299.666,300.095,298.5,297.032
1990,298.286,299.767,301.785,304.539,302.639,301.047,300.96,300.702,300.17,299.441,298.823,297.415
1991,298.344,300.489,303.051,304.967,305.282,302.157,300.529,300.216,300.878,299.313,296.68,294.781
1992,294.917,298.772,302.306,304.507,305.69,303.611,301.027,299.648,299.925,299.665,297.596,294.407
1993,296.683,298.356,302.125,304.506,305.769,303.703,301.285,300.851,299.967,299.583,297.163,295.816
1994,297.308,299.346,302.873,304.865,305.287,303.579,300.518,300.247,300.463,299.211,297.092,294.698
1995,295.575,298.679,302.844,304.763,301.862,302.067,300.304,300.145,300.106,299.388,297.73,295.511
1996,297.013,298.672,302.425,303.989,306.215,301.998,300.398,299.984,300.305,299.35,297.106,295.192
1997,295.89,299.0,302.626,303.202,306.251,304.386,301.153,300.386,300.425,300.202,299.248,297.719
1998,297.796,299.608,302.956,304.678,306.819,303.717,301.888,300.571,300.291,299.576,298.051,294.477
1999,295.269,299.032,303.166,304.703,304.291,302.603,301.207,300.659,300.42,299.472,297.734,296.559
2000,297.899,299.473,301.95,304.426,305.123,301.951,301.457,300.191,300.276,300.1,298.879,296.842
2001,297.474,300.14,302.828,303.288,305.391,302.675,302.067,300.601,300.832,299.893,298.149,296.142
2002,297.075,299.393,302.734,304.726,307.241,303.118,303.216,301.091,301.609,299.797,297.794,297.198
2003,297.273,299.877,302.356,304.857,306.893,303.979,300.653,300.44,300.339,299.688,297.172,295.647
2004,295.68,298.578,302.602,304.867,304.077,302.778,300.592,300.418,300.229,299.245,297.224,296.49
2005,297.931,300.198,302.503,304.603,304.96,304.039,301.411,300.698,300.25,299.598,296.443,295.239
2006,296.167,299.299,302.54,304.374,303.972,302.766,302.128,299.803,300.087,299.964,297.456,295.633
2007,296.187,298.306,302.023,304.348,306.371,302.868,300.699,300.191,300.062,299.067,296.895,296.43
2008,296.713,298.754,301.195,303.852,306.339,302.162,301.101,300.061,299.992,299.635,298.521,297.276
2009,297.533,300.59,302.757,304.887,304.527,303.802,301.828,301.35,301.155,300.809,299.154,297.344
2010,297.802,299.905,303.54,304.975,304.797,302.319,300.322,300.482,299.99,299.62,298.413,295.143
2011,294.757,297.701,301.388,303.049,304.781,302.688,301.312,300.319,300.421,300.613,298.824,298.008
2012,297.642,299.601,302.807,304.396,304.972,303.754,300.9,299.907,299.924,299.343,297.211,295.726
2013,296.896,298.535,302.092,304.021,305.3,302.494,300.37,300.519,300.711,299.842,297.546,295.412
2014,296.347,298.027,302.062,305.229,304.003,304.893,302.332,300.982,300.427,300.206,298.413,296.834
2015,297.121,298.898,302.275,303.704,305.427,301.533,301.361,300.736,300.179,300.392,297.718,297.208
2016,297.424,300.27,302.418,305.127,305.215,301.551,300.445,300.676,299.901,299.542,298.012,297.359
2017,297.572,299.706,302.448,304.993,305.693,302.211,300.769,300.29,300.559,299.993,297.845,296.475
2018,296.966,299.209,302.544,304.06,303.603,303.025,300.691,299.933,300.286,300.101,299.428,297.014
2019,295.866,299.163,302.569,304.616,305.404,303.864,302.04,300.498,300.248,299.783,297.912,296.457
2020,297.292,299.094,302.256,304.609,305.458,302.707,300.909,300.263,300.671,299.927,298.137,295.188
2021,296.816,298.05,302.549,304.518,304.65,302.999,300.908,300.756,300.38,300.286,298.312,295.893
2022,296.127,298.092,302.732,304.448,304.61,302.393,300.462,300.63,300.409,299.288,297.178,297.094
2023,296.823,299.629,301.331,304.405,304.88,305.275,301.278,301.106,300.722,300.775,299.52,296.064
