Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.982,293.395,298.237,303.873,306.307,300.991,299.421,299.22,298.309,295.611,291.562,289.105
1981,288.423,291.798,296.69,302.021,304.042,302.694,299.195,298.984,298.146,294.727,290.868,288.413
1982,290.444,291.004,295.266,302.131,305.193,303.09,301.34,298.975,298.216,296.161,292.359,289.614
1983,289.35,292.384,298.652,302.033,305.153,304.836,301.127,299.546,298.646,295.544,291.967,289.678
1984,289.759,291.25,298.807,304.284,305.92,300.849,299.229,298.732,297.202,295.815,290.646,289.076
1985,289.762,291.628,300.079,304.163,305.491,303.989,299.031,299.085,298.109,294.899,290.739,289.073
1986,288.926,292.218,298.252,303.519,303.561,303.78,299.415,299.028,298.304,295.704,293.297,290.069
1987,288.728,293.386,297.887,303.455,305.488,306.358,300.635,299.547,298.702,295.687,291.412,288.736
1988,289.196,293.22,297.683,303.529,306.205,302.682,299.809,299.284,298.832,295.261,292.206,290.365
1989,287.841,292.853,298.162,303.545,304.997,302.463,299.661,299.071,298.884,296.489,293.326,289.33
1990,290.634,293.683,297.207,302.739,304.485,302.174,299.25,298.974,298.446,295.306,292.08,289.017
1991,288.413,294.515,299.44,303.546,308.107,302.75,300.852,299.177,297.944,295.275,290.874,288.808
1992,288.129,290.936,298.868,304.186,304.868,303.9,300.595,298.877,297.843,296.281,293.423,289.557
1993,290.345,294.377,297.248,302.082,305.581,303.131,300.026,299.358,297.863,296.095,291.787,288.141
1994,290.139,291.5,298.918,302.851,305.881,303.043,299.171,298.86,297.466,295.612,292.266,288.273
1995,287.599,292.024,296.645,303.492,304.785,304.484,299.83,299.033,297.999,295.693,291.337,288.8
1996,289.009,292.071,298.509,303.348,307.278,301.951,299.663,298.757,298.329,295.143,291.998,287.798
1997,288.621,291.722,298.989,300.988,305.513,303.997,299.305,298.768,298.063,295.454,293.11,288.118
1998,287.731,291.261,294.638,301.742,305.112,304.496,299.819,299.404,298.439,297.048,292.636,287.718
1999,287.684,293.9,298.714,304.563,304.473,301.594,299.52,298.732,298.021,295.601,291.167,288.823
2000,288.87,291.239,297.236,304.401,304.758,301.622,299.823,299.167,298.045,296.292,293.049,288.198
2001,288.535,293.996,298.223,303.116,305.685,300.121,299.086,299.16,298.322,296.419,292.86,288.8
2002,289.613,293.152,298.601,303.935,305.962,303.591,300.574,298.879,297.774,295.422,291.758,289.357
2003,287.759,292.991,297.025,303.745,305.342,304.703,300.22,299.29,298.589,296.086,290.942,287.803
2004,287.502,290.65,298.685,303.493,306.139,301.972,299.575,299.041,298.284,295.457,291.327,289.29
2005,288.877,293.152,299.026,302.919,306.39,306.285,299.898,299.367,298.411,296.282,291.417,289.138
2006,289.933,295.899,298.131,303.627,304.236,300.681,299.489,298.654,298.119,296.184,292.422,289.146
2007,288.858,291.87,296.086,303.167,304.417,303.754,299.452,298.921,298.209,295.118,291.772,287.853
2008,288.382,289.995,297.982,302.583,305.264,300.704,299.018,298.894,298.149,295.873,292.24,290.153
2009,290.314,293.928,298.548,303.426,303.817,304.185,300.141,299.337,298.646,294.829,292.402,289.704
2010,288.266,293.161,300.575,305.594,305.544,305.049,300.662,299.757,298.534,296.437,294.184,288.76
2011,287.855,292.827,299.181,301.737,305.095,302.688,299.391,298.693,298.063,295.952,291.609,288.576
2012,288.279,291.719,297.038,303.317,305.832,306.131,300.36,298.837,297.993,294.036,290.055,287.289
2013,286.823,291.262,297.441,302.316,305.668,300.984,299.925,298.794,298.368,296.005,290.771,288.311
2014,287.76,290.841,295.484,303.162,305.016,304.548,300.117,299.318,298.416,295.953,291.874,288.005
2015,288.28,293.146,297.761,301.596,304.827,303.099,299.395,299.071,298.751,296.66,294.0,290.625
2016,290.124,295.159,299.49,306.159,305.265,303.589,299.795,298.88,298.372,295.58,290.694,288.13
2017,289.192,293.441,298.13,304.582,306.073,303.524,299.252,299.11,299.233,297.249,292.165,289.628
2018,287.188,293.783,299.413,302.436,304.591,303.507,300.286,299.256,298.255,295.562,292.954,287.892
2019,288.485,292.763,297.32,303.447,305.873,305.284,300.661,299.436,298.459,295.422,291.917,287.211
2020,286.71,289.233,295.22,300.636,303.187,300.772,299.699,299.327,298.776,297.007,291.965,288.651
2021,289.337,292.615,299.346,303.451,302.0,300.123,299.563,299.149,298.383,296.396,291.6,288.252
2022,286.908,289.827,297.629,304.719,304.56,304.228,300.336,299.188,298.619,295.738,290.76,288.946
2023,289.018,292.733,297.622,301.777,304.695,305.655,301.417,299.412,299.045,295.927,292.563,288.84
