Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,286.323,289.801,293.889,302.469,307.346,305.726,301.277,300.361,298.794,295.103,291.638,287.747
1981,285.82,289.44,293.569,301.153,306.132,307.984,301.458,300.561,299.287,295.534,290.373,286.695
1982,286.598,287.116,291.132,298.085,299.704,305.01,304.204,300.424,299.099,296.426,292.028,288.042
1983,285.789,287.893,293.542,297.674,303.402,306.117,304.494,301.029,299.428,295.792,290.922,287.331
1984,285.853,287.603,296.617,301.478,307.366,307.427,303.207,301.605,297.6,295.643,290.986,287.911
1985,286.346,289.846,297.101,301.615,305.903,306.759,302.836,300.417,298.549,293.695,289.713,287.472
1986,285.75,288.101,293.639,300.476,304.228,306.822,302.536,301.09,300.446,296.587,292.608,287.457
1987,287.612,290.675,295.539,301.23,302.201,306.846,307.877,305.14,302.139,297.989,293.014,289.096
1988,288.565,290.5,293.816,302.744,307.724,307.83,301.764,299.982,299.029,295.05,291.225,288.297
1989,284.937,287.784,293.913,299.586,305.665,306.747,304.733,301.979,299.935,297.134,292.124,287.901
1990,288.748,289.099,292.359,299.776,305.994,308.0,302.249,300.181,298.857,294.924,292.083,287.968
1991,286.408,290.16,295.387,300.234,306.383,305.649,305.695,301.07,298.54,294.984,290.546,287.559
1992,286.944,287.852,293.855,300.466,304.367,307.737,303.49,301.037,298.972,296.173,291.742,288.374
1993,286.492,290.675,292.45,299.754,306.251,306.317,302.159,301.235,298.581,295.184,291.392,288.035
1994,287.794,288.786,296.154,298.905,306.53,307.497,301.977,300.39,298.275,294.978,291.931,287.991
1995,285.422,288.973,293.618,299.626,306.509,308.33,304.383,300.232,298.629,295.663,291.384,288.219
1996,286.518,289.764,294.856,300.697,304.412,305.689,302.93,299.845,298.409,294.42,290.373,287.003
1997,285.704,288.66,294.089,298.193,301.97,304.601,302.798,300.208,298.925,294.882,291.674,286.143
1998,285.747,288.649,292.411,300.312,305.245,306.071,301.735,300.292,299.391,295.867,291.65,286.754
1999,285.666,290.347,295.496,302.789,306.627,306.437,304.306,302.237,300.506,296.49,292.364,288.221
2000,287.317,287.667,294.024,302.919,306.899,305.125,302.365,301.49,299.736,297.241,292.85,288.753
2001,286.446,290.556,295.623,300.61,305.089,303.354,301.271,300.637,299.336,296.382,292.09,288.37
2002,286.422,288.947,294.939,301.876,306.944,306.585,307.103,301.545,298.294,296.541,292.53,288.326
2003,286.282,289.045,294.151,302.03,304.749,307.349,301.521,300.708,299.007,295.485,290.737,287.495
2004,285.863,289.247,297.106,302.943,304.951,304.605,302.283,300.31,298.829,294.856,291.416,288.23
2005,286.331,288.53,295.238,299.765,304.774,308.007,301.834,301.295,299.325,295.047,290.594,287.221
2006,287.384,293.321,294.222,300.643,305.447,304.816,302.247,300.79,299.328,296.875,292.518,288.162
2007,287.301,288.985,293.268,302.183,305.503,307.421,302.044,300.59,299.33,295.268,290.448,287.314
2008,286.236,288.184,297.013,300.429,304.093,302.304,300.752,299.561,298.245,295.224,290.796,288.666
2009,288.201,290.505,295.384,300.908,305.428,307.178,304.665,301.239,298.935,295.304,291.181,287.588
2010,286.836,289.823,297.686,304.338,307.07,307.112,301.861,300.089,298.142,295.576,291.55,286.031
2011,284.089,288.452,293.981,299.413,305.838,303.319,300.507,299.984,298.655,295.233,290.449,286.95
2012,284.924,288.27,294.094,300.293,305.538,308.575,303.355,300.396,298.518,295.166,290.434,286.801
2013,284.864,287.935,293.931,300.28,306.501,303.669,300.703,299.693,298.526,295.684,290.362,286.636
2014,285.938,287.307,292.41,298.853,304.203,308.035,303.833,301.143,298.969,296.453,292.289,287.147
2015,285.777,290.738,292.93,299.087,305.696,306.332,301.514,300.18,299.039,297.003,293.445,287.911
2016,287.518,290.914,296.45,302.951,305.977,306.672,302.489,300.701,299.746,297.367,292.526,288.901
2017,286.816,290.824,294.821,302.581,305.748,305.341,302.253,300.652,298.902,296.975,291.618,288.767
2018,286.176,290.606,296.615,301.641,305.711,305.518,301.711,300.125,298.319,294.778,290.798,285.864
2019,285.353,287.771,292.598,300.943,305.024,307.712,303.538,301.043,299.725,295.451,292.302,285.715
2020,284.504,287.76,291.946,298.611,303.08,304.698,302.411,300.481,299.609,297.251,291.453,287.638
2021,286.98,290.842,296.593,300.636,302.669,304.101,302.607,300.186,299.172,295.848,290.035,286.182
2022,284.566,286.581,296.143,303.106,305.066,306.231,301.989,300.561,299.342,295.061,290.924,287.356
2023,286.094,290.811,294.614,298.672,301.383,304.066,300.933,300.086,299.399,295.116,292.364,288.196
