Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.824,295.792,300.152,306.015,308.194,301.773,300.017,299.599,299.235,297.105,293.172,291.184
1981,290.431,294.621,298.803,303.458,304.909,303.57,299.704,299.723,298.877,296.489,292.876,291.056
1982,293.768,294.957,298.772,304.524,306.149,302.559,300.867,299.205,298.956,297.552,294.274,292.242
1983,292.599,295.387,300.959,304.319,306.925,305.572,300.913,299.917,299.373,296.826,293.027,291.427
1984,292.379,294.611,300.983,306.043,307.931,302.49,299.734,299.001,298.19,296.969,292.058,291.171
1985,292.389,294.109,301.902,306.349,306.879,304.93,299.692,299.65,298.97,296.181,292.726,291.654
1986,291.604,295.465,300.318,305.216,305.793,304.03,299.822,299.597,298.926,296.655,293.741,292.073
1987,291.572,295.491,299.922,305.552,306.796,306.144,300.522,299.917,299.634,297.391,294.516,291.928
1988,293.057,296.375,300.152,305.188,307.061,303.811,300.298,299.692,299.373,296.727,293.568,292.703
1989,291.097,295.767,300.66,305.782,306.685,303.159,300.27,299.671,299.323,297.54,293.89,291.232
1990,293.251,296.229,299.505,304.653,303.881,302.084,299.454,299.784,299.212,296.943,293.842,290.924
1991,290.796,296.79,302.077,305.565,309.633,302.928,300.76,299.59,299.045,296.418,292.196,289.918
1992,289.761,293.627,301.07,305.918,306.413,304.224,300.355,299.198,298.603,297.087,294.204,291.431
1993,292.745,296.076,300.006,304.561,307.201,303.204,300.238,299.688,298.686,297.445,293.357,289.462
1994,292.228,294.659,301.385,304.844,307.819,302.91,299.415,299.307,298.851,296.814,293.407,289.585
1995,289.806,294.323,299.588,305.316,304.615,304.153,300.177,299.739,299.19,296.888,292.676,290.752
1996,291.594,294.365,301.034,305.137,308.633,302.658,299.967,299.16,299.23,296.399,293.274,289.959
1997,290.988,294.29,301.095,302.424,306.878,304.557,299.927,299.36,298.813,297.199,294.93,291.215
1998,290.389,293.316,297.046,304.512,307.555,305.396,300.107,299.856,299.337,298.223,294.311,289.274
1999,289.812,296.665,301.227,306.209,306.203,302.01,299.9,299.511,298.904,297.018,292.402,290.258
2000,291.086,293.979,299.591,306.2,306.612,302.189,300.45,299.984,299.205,297.944,295.387,291.631
2001,292.175,296.887,300.685,304.064,307.236,300.987,299.443,299.754,299.358,297.483,294.22,290.182
2002,291.313,295.51,300.659,305.629,308.173,304.137,301.184,299.422,298.879,296.793,293.274,292.075
2003,291.59,296.457,299.892,306.662,307.578,304.825,300.268,299.586,299.216,297.677,292.912,289.425
2004,289.609,292.781,300.601,305.177,307.468,302.547,300.101,299.321,299.169,296.627,292.686,290.617
2005,291.402,295.763,301.535,304.637,307.478,306.221,300.138,299.597,299.168,297.453,292.205,290.026
2006,291.178,296.977,300.023,304.96,305.266,302.025,299.806,299.131,298.983,297.51,293.928,291.249
2007,291.595,294.84,299.277,305.126,307.03,303.953,299.928,299.367,299.163,296.334,293.138,290.102
2008,290.689,292.407,299.976,304.499,307.428,301.439,299.38,299.489,298.73,297.132,293.903,291.641
2009,292.693,296.429,300.896,305.567,306.446,305.586,300.069,299.703,299.548,296.313,293.886,291.491
2010,290.684,295.83,302.795,307.514,306.452,304.497,300.545,300.11,299.618,297.961,296.299,291.124
2011,290.959,295.559,301.189,303.724,306.916,302.655,300.044,299.435,298.78,297.353,293.203,290.605
2012,291.0,294.655,299.865,305.035,308.067,305.263,300.046,299.448,299.104,295.916,292.382,289.964
2013,290.309,294.754,300.172,303.65,307.62,301.964,300.667,299.455,299.199,297.228,292.994,289.988
2014,290.419,293.493,298.285,305.556,306.501,304.609,300.889,299.387,299.121,297.276,292.953,290.04
2015,290.377,295.229,300.233,303.71,307.022,303.14,299.887,299.768,299.458,297.722,294.722,292.269
2016,291.707,297.61,301.594,307.806,306.693,304.105,300.475,299.476,299.284,296.718,292.543,290.635
2017,291.895,296.165,300.397,306.367,307.129,303.579,299.916,299.622,299.639,298.306,293.491,290.996
2018,289.695,295.887,301.457,304.006,305.923,303.553,300.409,299.733,299.134,297.053,294.601,290.24
2019,290.168,294.944,299.398,305.23,306.92,306.086,300.889,299.873,299.244,297.414,293.612,289.68
2020,289.172,291.424,297.654,302.614,304.724,301.615,300.179,299.751,299.715,298.194,293.633,290.809
2021,291.858,294.662,301.073,304.533,303.826,301.36,300.123,299.876,299.219,297.952,294.301,290.523
2022,289.52,292.432,300.321,306.729,306.4,304.494,300.585,299.683,299.362,297.119,292.489,291.636
2023,291.797,295.327,299.74,303.928,306.183,305.981,300.883,299.497,299.621,296.903,293.709,290.176
