Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.492,294.027,298.816,305.55,309.195,304.019,299.935,299.042,298.233,297.061,293.448,290.164
1981,288.878,293.895,298.172,304.268,307.249,307.836,299.946,299.116,299.041,296.585,292.017,289.162
1982,290.301,290.77,296.098,303.683,306.55,306.315,301.742,298.666,297.984,296.597,292.709,290.488
1983,288.737,291.54,298.244,302.566,308.103,307.288,301.704,299.857,298.955,295.203,290.035,289.041
1984,288.513,289.708,299.849,304.926,309.2,306.171,301.047,298.757,297.734,295.783,292.249,291.092
1985,290.969,293.043,300.746,304.971,308.707,307.117,301.103,298.973,298.347,294.726,291.773,289.95
1986,289.045,291.879,297.916,305.242,307.778,307.713,300.539,298.813,298.735,296.776,294.608,290.457
1987,289.824,294.025,299.066,304.383,306.537,307.946,302.605,301.408,298.958,296.212,292.977,290.062
1988,291.521,295.233,299.206,305.947,309.601,307.057,300.613,299.65,299.969,296.96,293.841,291.869
1989,289.182,293.801,298.04,303.894,308.442,305.502,301.376,300.209,299.072,297.721,295.416,290.774
1990,292.84,293.285,297.345,304.17,307.374,304.182,299.529,299.58,298.446,296.384,292.26,290.059
1991,289.179,295.206,299.996,304.159,309.125,305.285,302.352,298.707,298.343,296.487,293.103,290.642
1992,290.616,292.781,299.345,304.543,307.89,308.35,303.53,299.695,297.736,296.243,292.484,290.155
1993,290.876,294.172,297.242,304.506,308.924,306.781,301.038,299.842,298.362,296.508,292.94,289.349
1994,291.451,292.546,300.733,303.297,309.058,305.292,299.706,298.75,297.77,295.648,292.893,290.06
1995,288.563,293.577,297.313,303.436,307.83,308.199,301.874,299.199,298.604,296.846,292.973,291.163
1996,290.072,292.784,300.149,304.095,308.05,307.062,301.683,298.653,298.558,295.244,292.262,288.865
1997,289.061,292.647,299.193,302.53,305.652,304.065,301.07,299.07,298.674,296.027,293.178,288.462
1998,288.021,291.65,296.395,304.939,309.242,306.881,300.61,300.079,299.544,297.365,293.408,290.144
1999,289.492,294.328,299.685,305.63,308.486,304.908,301.429,299.193,298.412,295.838,292.711,289.177
2000,290.132,291.647,297.529,305.66,307.199,305.488,300.711,299.874,299.15,299.142,295.446,291.663
2001,290.262,294.35,299.143,304.002,307.566,302.475,299.245,299.372,299.353,297.283,293.499,291.33
2002,289.96,293.028,299.536,304.795,309.366,307.031,304.459,299.732,298.011,296.675,293.961,292.257
2003,290.029,292.89,298.557,305.413,307.835,306.496,300.616,299.357,298.096,295.475,293.273,290.008
2004,289.121,292.392,301.055,305.903,308.102,305.794,301.32,299.007,299.32,295.674,293.932,291.08
2005,289.851,293.698,299.381,303.043,307.574,307.903,299.653,299.378,298.868,295.891,293.028,290.026
2006,291.406,297.514,296.901,304.507,307.902,306.158,300.678,298.833,298.886,297.213,293.908,291.686
2007,290.977,293.707,297.922,305.623,307.726,305.737,300.202,299.314,298.758,295.393,293.855,290.705
2008,290.064,291.945,300.715,304.392,307.51,301.972,299.675,299.146,298.686,296.955,292.936,291.874
2009,291.593,294.915,299.886,304.21,308.857,307.64,301.25,300.072,299.004,296.576,292.606,291.411
2010,289.188,293.746,301.453,306.216,309.036,307.291,300.999,299.824,298.719,297.051,294.05,288.894
2011,287.895,293.646,299.353,303.943,308.989,304.73,299.854,299.068,298.283,296.497,293.77,290.011
2012,288.679,292.942,298.392,304.678,307.974,306.497,300.984,299.261,298.568,296.335,292.394,290.385
2013,288.982,292.546,298.047,303.784,308.883,302.789,300.088,298.95,299.079,296.851,291.883,290.019
2014,289.374,291.591,296.648,304.329,308.174,308.273,302.714,299.468,298.419,297.074,294.465,288.492
2015,287.345,293.151,296.056,303.111,308.915,305.563,300.448,299.343,298.664,298.282,295.597,290.991
2016,291.327,294.658,300.191,306.092,308.76,306.791,299.855,298.72,298.654,296.399,292.641,290.059
2017,290.259,294.684,299.314,305.58,309.453,305.562,300.425,299.876,299.487,298.422,294.392,291.739
2018,291.222,295.488,300.617,305.369,309.476,306.481,300.662,299.124,297.794,296.936,293.611,288.823
2019,289.089,293.127,298.12,305.161,308.16,308.398,301.04,299.637,298.785,296.034,293.139,287.546
2020,287.271,290.83,297.077,303.994,308.107,303.009,301.542,299.864,299.597,297.552,292.698,290.155
2021,291.069,294.884,299.903,304.491,305.496,303.522,301.623,299.539,299.251,296.728,291.505,289.072
2022,287.566,291.734,300.818,306.822,308.613,305.751,300.8,299.193,298.975,295.514,291.682,289.53
2023,288.067,293.624,298.219,302.4,305.177,305.501,300.984,299.244,299.361,296.529,293.457,290.263
