Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,287.804,290.017,294.073,299.639,299.847,301.374,301.623,301.277,300.55,297.03,293.653,290.492
1981,288.862,290.874,294.474,297.096,300.245,301.615,301.243,301.633,299.997,297.485,293.103,289.683
1982,289.469,289.441,293.899,297.347,300.657,300.635,301.022,301.676,300.058,297.086,292.958,289.424
1983,288.07,289.921,294.553,298.243,299.848,303.248,302.932,302.372,300.252,298.135,293.255,289.303
1984,287.311,290.673,296.514,300.347,300.789,302.115,300.694,301.689,298.864,297.292,291.952,289.015
1985,288.51,290.076,295.847,299.44,301.651,302.216,300.276,301.629,299.84,297.193,292.023,289.521
1986,288.533,290.914,294.939,298.967,301.987,303.629,301.458,301.772,299.469,295.874,292.47,289.642
1987,289.719,292.35,295.434,299.282,301.298,303.598,301.049,301.067,300.07,297.038,294.146,291.283
1988,289.65,292.228,294.714,298.854,300.865,301.525,301.666,300.926,300.152,297.902,293.793,291.068
1989,287.353,289.485,294.366,298.436,301.252,302.392,301.288,301.605,299.926,297.504,292.402,288.649
1990,289.671,290.53,293.966,296.706,300.815,301.173,301.382,302.283,300.127,297.199,294.186,290.0
1991,288.193,291.75,296.438,300.205,302.927,302.107,301.82,301.561,299.792,296.988,292.305,288.866
1992,287.618,288.405,294.264,298.57,300.145,301.703,301.019,301.51,300.131,296.43,292.594,288.681
1993,287.215,291.535,294.044,298.45,299.968,300.976,301.571,300.507,300.073,297.276,293.359,290.665
1994,289.422,289.923,295.124,298.359,301.372,301.819,302.805,302.414,301.227,296.503,293.407,289.478
1995,288.44,290.812,295.435,299.514,301.941,301.829,301.101,301.695,299.675,297.875,293.695,289.602
1996,288.098,291.439,295.818,299.06,300.491,301.928,301.322,301.348,300.5,297.106,293.469,290.282
1997,288.576,289.096,295.179,297.365,301.08,301.446,301.253,301.756,299.188,296.432,293.096,289.403
1998,287.622,290.885,293.918,299.634,303.139,302.047,301.232,300.786,301.401,298.977,294.913,291.243
1999,289.612,294.145,296.564,301.917,301.422,302.713,301.629,301.459,300.836,297.957,293.555,290.615
2000,288.943,289.414,294.793,298.992,301.622,302.53,301.813,301.613,300.121,297.986,293.341,290.062
2001,288.223,291.727,296.033,299.805,301.983,302.184,302.57,302.687,300.268,297.785,294.467,290.6
2002,290.075,292.798,296.514,299.008,300.969,302.926,301.982,301.462,300.403,297.175,293.676,289.902
2003,288.481,291.475,295.048,299.822,301.935,302.206,301.795,302.182,300.647,297.297,293.002,289.742
2004,288.684,291.21,296.816,298.247,300.557,301.042,300.544,302.071,299.895,296.41,292.794,289.644
2005,288.296,291.937,295.439,298.152,299.414,302.647,302.277,301.994,301.619,297.629,293.025,290.81
2006,289.011,293.498,295.798,298.713,301.052,301.696,302.519,302.847,300.514,297.898,293.084,290.132
2007,289.076,290.1,294.67,298.636,301.396,301.753,301.443,302.427,300.168,297.558,293.846,289.339
2008,288.169,289.672,295.776,298.897,300.728,301.406,301.278,300.994,300.735,297.426,292.826,290.436
2009,289.499,291.664,295.519,299.295,300.869,301.714,302.033,301.441,300.869,297.174,292.942,288.557
2010,288.958,290.726,296.322,298.593,300.022,301.03,301.303,301.305,300.054,297.215,293.432,289.316
2011,287.022,291.01,294.822,298.016,300.449,301.451,300.743,301.635,300.733,297.584,292.547,290.121
2012,287.445,290.598,295.014,298.422,301.019,301.347,301.456,302.003,299.98,298.157,294.296,291.092
2013,290.103,294.215,297.187,299.525,300.288,302.326,301.714,301.587,300.651,297.651,293.427,289.431
2014,289.972,291.52,296.152,300.832,301.062,302.061,302.102,301.227,300.711,298.494,294.571,291.819
2015,291.373,293.222,297.108,297.789,300.908,301.492,301.383,301.102,300.544,298.042,294.35,290.635
2016,289.863,293.305,296.373,298.994,300.149,301.816,301.487,302.824,300.711,299.011,295.107,292.698
2017,291.426,293.772,295.148,298.605,300.643,301.697,301.56,301.927,300.761,299.034,294.673,292.055
2018,289.942,292.606,296.015,298.908,299.926,301.855,302.084,302.109,300.841,297.585,293.573,290.908
2019,289.962,292.143,295.153,299.343,300.338,302.45,301.305,302.641,300.662,298.383,295.84,290.27
2020,289.104,291.82,295.876,297.793,300.106,301.249,301.106,301.908,300.849,299.501,294.198,290.371
2021,289.827,292.474,295.99,299.278,300.925,301.211,301.827,301.211,301.545,299.296,293.184,291.104
2022,289.098,289.123,297.319,297.925,300.118,300.497,302.074,302.197,300.645,297.816,293.105,290.521
2023,289.181,292.124,295.04,298.41,299.866,302.079,302.425,301.646,302.239,298.029,294.036,291.744
