Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,287.845,290.394,295.469,300.351,299.843,300.456,300.573,300.194,299.705,296.613,293.363,290.322
1981,289.294,291.042,295.198,297.532,299.45,300.385,300.168,300.247,299.403,296.89,293.701,290.109
1982,290.23,291.412,295.789,298.05,299.93,299.911,300.092,300.3,299.266,297.004,292.588,289.209
1983,288.408,290.952,295.817,298.478,299.258,300.546,300.264,299.887,299.248,297.612,293.436,288.744
1984,287.87,291.159,297.369,301.175,299.832,300.389,299.731,300.237,298.222,297.452,292.791,289.47
1985,289.721,291.156,297.613,299.173,300.399,300.607,299.358,300.189,299.035,297.292,292.49,290.365
1986,289.813,292.461,297.47,299.579,300.993,302.549,300.234,300.499,298.855,296.078,292.915,290.351
1987,290.031,292.513,295.935,299.074,299.976,301.036,300.216,300.191,299.304,296.799,294.052,291.401
1988,290.148,292.696,296.033,300.354,300.825,300.472,300.215,299.878,299.392,297.56,294.221,291.086
1989,287.32,290.648,295.601,300.235,301.909,301.14,300.324,300.573,299.788,297.616,292.514,289.594
1990,290.369,292.458,295.458,297.869,300.393,300.757,300.401,301.0,299.502,297.104,294.391,290.495
1991,289.069,293.292,298.673,300.168,300.326,300.136,301.036,300.766,299.084,297.28,292.013,289.183
1992,288.407,290.071,296.281,300.808,300.686,301.545,300.158,300.621,300.004,297.461,294.396,289.49
1993,288.974,293.163,295.374,299.447,299.575,300.207,300.553,300.081,299.328,297.327,293.7,291.106
1994,290.561,291.469,297.054,299.487,301.562,301.042,300.964,301.091,300.093,297.235,294.971,290.689
1995,289.641,292.619,298.188,301.434,302.268,300.702,300.24,300.342,299.326,297.882,294.058,289.562
1996,288.923,292.405,297.472,300.071,300.808,300.995,300.486,300.155,299.905,297.09,293.72,290.96
1997,289.073,291.237,297.431,298.192,300.567,300.255,300.397,300.223,298.75,296.383,293.627,289.49
1998,287.997,291.941,294.466,298.839,300.634,300.76,300.287,300.079,300.27,298.507,294.606,290.338
1999,289.469,294.214,297.278,302.615,300.597,300.884,300.215,300.004,299.487,297.856,293.205,290.18
2000,289.105,290.172,295.387,299.467,299.9,300.366,300.528,300.258,299.273,297.829,293.006,289.053
2001,287.772,291.863,295.948,299.995,299.983,299.881,300.826,300.902,299.691,297.862,293.892,289.295
2002,289.546,292.333,296.612,298.652,300.012,300.449,300.22,300.227,299.444,296.964,293.67,289.588
2003,287.993,291.837,294.79,299.194,300.104,300.217,300.407,301.076,300.149,297.702,292.549,289.693
2004,288.542,291.36,296.983,298.0,299.991,300.298,299.827,300.773,298.8,296.385,292.641,289.836
2005,288.844,292.806,296.637,298.012,299.147,301.023,300.901,300.513,300.211,297.572,292.535,290.174
2006,289.098,293.932,296.751,298.995,300.402,300.364,300.743,301.011,299.943,297.804,293.357,290.583
2007,289.097,291.196,295.4,298.42,299.916,300.121,300.01,300.742,299.278,297.191,294.001,289.284
2008,288.875,289.97,296.176,299.225,300.562,300.181,300.023,299.615,299.461,297.374,293.168,291.167
2009,290.299,292.915,296.665,299.742,300.118,300.589,301.057,300.296,299.923,297.492,293.599,289.265
2010,289.552,291.955,297.628,298.931,299.473,299.954,300.103,300.049,299.175,297.747,294.315,289.865
2011,287.952,291.934,295.938,298.763,299.878,300.258,299.955,299.79,299.727,297.854,292.844,290.487
2012,288.766,291.787,296.265,298.259,300.395,300.25,300.272,299.988,299.69,297.893,293.63,289.773
2013,288.467,293.608,297.42,299.424,299.092,300.696,300.488,299.546,299.709,297.417,294.118,290.284
2014,290.12,291.738,296.475,301.203,300.279,300.882,300.864,300.068,299.449,297.866,294.181,290.984
2015,290.782,292.881,297.051,297.868,299.742,300.12,299.882,299.826,299.786,297.774,294.214,290.003
2016,289.134,293.688,297.753,299.183,299.511,300.182,299.968,300.814,299.678,298.884,294.589,291.849
2017,290.501,292.807,294.977,297.863,300.015,299.999,300.205,300.227,300.032,298.156,294.421,291.756
2018,288.341,291.93,296.095,298.028,299.107,300.327,300.764,300.687,299.926,296.786,293.165,290.009
2019,289.663,292.088,295.615,298.896,300.095,300.621,300.331,301.228,299.804,297.71,294.444,289.425
2020,288.515,290.685,295.607,298.358,299.431,299.728,299.864,300.446,299.887,299.232,294.533,289.667
2021,289.019,292.036,297.059,299.08,299.654,299.865,300.516,299.871,300.407,298.533,292.977,290.87
2022,289.06,289.417,296.936,298.673,299.323,299.04,300.534,300.794,299.686,297.669,293.874,290.431
2023,289.089,292.426,295.819,298.712,299.799,300.77,301.177,300.343,300.794,297.817,294.215,291.428
